MaSanPham,Thang,TonDauKy,Nhap,Xuat,HaoHut,TonCuoiKy
SP0001,2024-10,182.0,24.0,9.0,0.0,197.0
SP0002,2024-10,392.0,356.0,312.0,3.0,433.0
SP0003,2024-10,0.37,0.34,0.32,0.0,0.4
SP0004,2024-10,95.0,8.0,0.0,0.0,103.0
SP0005,2024-10,307.0,423.0,416.0,6.0,308.0
SP0006,2024-10,482.0,241.0,237.0,0.0,486.0
SP0007,2024-10,272.0,177.0,167.0,1.0,281.0
SP0008,2024-10,488.0,295.0,270.0,1.0,512.0
SP0009,2024-10,410.0,228.0,200.0,1.0,437.0
SP0010,2024-10,79.0,265.0,230.0,1.0,113.0
SP0011,2024-10,519.0,204.0,175.0,1.0,547.0
SP0012,2024-10,228.0,296.0,275.0,6.0,243.0
SP0013,2024-10,269.0,79.0,31.0,0.0,317.0
SP0014,2024-10,493.0,208.0,186.0,0.0,515.0
SP0015,2024-10,268.0,16.0,2.0,0.0,282.0
SP0016,2024-10,181.0,167.0,142.0,1.0,205.0
SP0017,2024-10,443.0,205.0,180.0,2.0,466.0
SP0018,2024-10,213.0,24.0,11.0,0.0,226.0
SP0019,2024-10,431.0,439.0,419.0,4.0,447.0
SP0020,2024-10,497.0,3.0,0.0,0.0,500.0
SP0021,2024-10,408.0,318.0,284.0,3.0,439.0
SP0022,2024-10,440.0,7.0,0.0,0.0,447.0
