MaDonMuaHang,MaNhaCungCap,MaSanPham,NgayDatHang,SoLuong,DonGiaMua
PO002515,NCC028,SP0097,12/09/2024,71,53700.0
PO002025,NCC017,SP0052,03/02/2026,857,27500.0
PO003223,NCC041,SP0030,28/11/2025,551,576500.0
PO001302,NCC026,SP0140,15/11/2025,981,165200.0
PO002008,NCC029,SP0069,05/07/2026,322,42400.0
PO001135,NCC034,SP0136,05/10/2025,961,546400.0
PO000159,NCC032,SP0009,21/11/2025,559,342600.0
PO003012,NCC008,SP0027,02/11/2024,534,49200.0
PO002503,NCC043,SP0084,15/04/2025,777,90900.0
PO000929,NCC043,SP0155,11/03/2026,906,152000.0
PO002789,NCC013,SP0176,13/03/2026,872,74000.0
PO000172,NCC013,SP0053,16/05/2026,108,125200.0
PO000518,NCC043,SP0101,08/01/2025,495,240700.0
PO003262,NCC019,SP0070,16/12/2025,604,91700.0
PO003062,NCC036,SP0062,22/03/2026,663,140900.0
PO002403,NCC013,SP0193,13/07/2025,82,84800.0
PO002256,NCC003,SP0006,01/12/2024,956,613900.0
PO000292,NCC019,SP0181,04/10/2024,343,488000.0
PO001996,NCC002,SP0198,28/12/2024,353,19600.0
PO001089,NCC023,SP0036,03/03/2025,220,139600.0
PO001991,NCC008,SP0043,26/06/2026,876,121800.0
PO002312,NCC037,SP0063,07/01/2026,972,64500.0
PO003116,NCC032,SP0205,25/09/2025,756,256600.0
PO002481,NCC008,SP0121,10/09/2024,734,106600.0
PO000419,NCC003,SP0137,23/10/2025,355,650100.0
PO002630,NCC022,SP0074,07/08/2024,472,658900.0
PO002534,NCC044,SP0034,06/11/2024,825,145700.0
PO000044,NCC035,SP0044,10/03/2026,177,891800.0
PO000063,NCC015,SP0096,21/02/2026,197,44200.0
PO001070,NCC006,SP0004,08/08/2024,677,124200.0
PO002561,NCC011,SP0094,06/02/2025,574,91300.0
PO002746,NCC018,,13/04/2025,103,482300.0
PO002132,NCC007,SP0024,05/02/2025,709,48800.0
PO001951,NCC017,SP0096,13/08/2024,748,42700.0
PO002508,NCC037,SP0186,27/03/2026,576,656500.0
PO002353,NCC033,SP0134,27/11/2024,773,123100.0
PO002175,NCC024,SP0158,12/06/2026,100,107000.0
PO000621,NCC013,SP0129,09/06/2026,193,145300.0
PO000094,NCC020,SP0134,17/10/2025,68,90600.0
PO002417,NCC027,SP0181,01/02/2025,558,454100.0
PO001660,NCC021,SP0215,27/08/2025,482,66300.0
PO002010,NCC038,SP0215,01/04/2025,251,45800.0
PO002440,NCC042,SP0050,15/01/2026,773,395600.0
PO000135,NCC040,SP0037,09/06/2025,124,103600.0
PO003095,NCC023,SP0160,09/10/2024,466,53400.0
PO000028,NCC002,SP0196,09/08/2025,336,88700.0
PO000306,NCC026,,27/06/2025,734,59100.0
PO002780,NCC019,SP0164,17/03/2025,369,525800.0
PO003173,NCC030,SP0054,01/03/2025,526,95600.0
PO000623,NCC033,SP0002,12/04/2026,119,25800.0
PO002592,NCC024,SP0116,15/04/2025,447,438500.0
PO003023,NCC045,SP0150,11/09/2024,787,102600.0
PO002317,NCC007,SP0196,08/10/2025,621,85600.0
PO002169,NCC006,SP0177,05/11/2025,22,151900.0
PO001184,NCC028,SP0069,26/11/2024,574,34800.0
PO002229,NCC010,SP0154,10/03/2025,196,24600.0
PO003326,NCC016,SP0153,25/04/2025,824,118500.0
PO001722,NCC021,SP0050,23/06/2025,854,413800.0
PO001022,NCC035,SP0134,27/12/2025,122,91000.0
PO001615,NCC010,SP0080,23/01/2026,830,101700.0
PO003441,NCC019,SP0174,09/10/2024,299,480500.0
PO000303,NCC026,SP0118,03/05/2026,417,145100.0
PO002065,NCC005,SP0044,22/10/2024,617,881800.0
PO000561,NCC016,SP0082,23/02/2025,367,600300.0
PO000568,NCC017,SP0199,31/08/2024,393,93200.0
PO002895,NCC008,SP0008,2025-12-03,444,893100.0
PO002629,NCC042,SP0094,17/06/2025,546,76400.0
PO003188,NCC009,SP0173,02/03/2025,24,77100.0
PO002725,NCC023,SP0102,25/08/2025,857,500700.0
PO000349,NCC044,SP0105,01/03/2025,282,96400.0
PO002017,NCC032,SP0071,04/02/2026,487,448300.0
PO001867,NCC012,SP0217,08/02/2026,715,176500.0
PO002182,NCC038,SP0133,22/06/2025,28,147000.0
PO000727,NCC018,SP0087,31/10/2025,32,131200.0
PO002679,NCC027,SP0004,08/12/2024,191,113100.0
PO002943,NCC014,SP0208,26/08/2025,903,83500.0
PO000106,NCC037,SP0210,23/12/2025,977,19800.0
PO002637,NCC029,SP0087,11/08/2025,515,125800.0
PO002384,NCC040,SP0128,04/04/2026,576,145300.0
PO000170,NCC908,SP0123,17/08/2025,300,162700.0
PO001732,NCC036,SP0121,26/08/2025,387,105700.0
PO001940,NCC023,SP0107,15/07/2025,131,190100.0
PO000317,NCC031,SP0175,30/04/2026,435,19800.0
PO000426,NCC002,SP0140,27/06/2025,213,151300.0
PO002359,NCC027,SP0095,10/10/2024,945,64500.0
PO000599,NCC026,SP0061,01/05/2025,198,120500.0
PO002788,NCC012,SP0102,2025-09-25,546,515900.0
PO000604,NCC002,SP0008,17/12/2024,913,719000.0
PO001892,NCC905,SP0156,16/01/2025,620,84900.0
PO000862,NCC017,SP0040,01/06/2026,431,112600.0
PO001203,NCC031,SP0127,13/07/2025,491,29100.0
PO000997,NCC017,SP0124,07/01/2026,118,55800.0
PO000432,NCC003,SP0158,08/09/2025,838,96800.0
PO000494,NCC013,SP0206,11/04/2025,248,34100.0
PO002851,NCC005,SP0181,2025-07-05,854,459600.0
PO002306,NCC041,SP0008,07/01/2025,173,813700.0
PO003075,NCC043,SP0173,14/06/2026,52,86500.0
PO000293,NCC022,SP0143,13/08/2024,161,92700.0
PO001437,NCC017,SP0049,31/10/2024,859,114300.0
PO002465,NCC011,SP0218,28/07/2025,268,106300.0
PO000327,NCC019,SP0115,16/01/2025,770,21100.0
PO001652,NCC012,SP0162,2026-05-21,931,104100.0
PO001188,NCC025,SP0118,09/10/2024,254,118300.0
PO001484,NCC019,SP0093,01/11/2024,830,733700.0
PO003381,NCC030,SP0081,17/08/2025,144,30300.0
PO000358,NCC022,SP0119,04/06/2025,891,142200.0
PO003225,NCC034,SP0179,01/09/2024,734,162100.0
PO000013,NCC015,SP0124,04/02/2025,409,52100.0
PO000988,NCC032,SP0023,25/10/2025,160,123600.0
PO002197,NCC044,SP0192,17/08/2024,985,287900.0
PO000915,NCC029,SP0217,23/06/2025,652,166600.0
PO002424,NCC006,SP0053,22/04/2026,660,158100.0
PO003248,NCC012,SP0197,04/08/2024,28,500800.0
PO002819,NCC013,SP0205,24/06/2025,402,277500.0
PO003201,NCC008,SP0047,25/12/2024,321,103100.0
PO000482,NCC020,SP0131,21/10/2025,513,27400.0
PO002072,NCC039,SP0139,02/06/2025,489,113000.0
PO002691,NCC015,SP0053,11/07/2025,599,119400.0
PO000839,NCC012,SP0065,11/10/2024,144,542500.0
PO000329,NCC009,SP0025,06/10/2024,336,25700.0
PO003301,NCC001,SP0035,30/07/2025,39,517800.0
PO001389,NCC041,SP0104,02/10/2025,506,774200.0
PO9900000,NCC004,SP0059,07/02/2026,911,499400.0
PO001810,NCC025,SP0171,12/06/2025,628,20900.0
PO002501,NCC016,SP0155,09/11/2024,925,168400.0
PO000466,NCC007,SP0015,26/04/2026,164,61500.0
PO000194,NCC006,SP0016,19/01/2026,255,514900.0
PO002729,NCC019,SP0102,24/01/2026,816,520600.0
PO000302,NCC033,SP0206,02/10/2024,780,37200.0
PO003204,NCC907,SP0034,30/05/2026,971,124300.0
PO001348,NCC027,SP0001,14/01/2025,551,28300.0
PO002001,NCC017,SP0159,10/05/2026,528,449000.0
PO000183,NCC020,SP0056,11/11/2024,46,42900.0
PO000658,NCC005,SP0139,21/01/2026,861,107600.0
PO9900050,NCC001,SP0091,31/12/2025,114,47000.0
PO003399,NCC011,SP0196,05/07/2025,928,95100.0
PO001845,NCC025,SP0100,16/11/2025,313,171400.0
PO000253,NCC036,SP0031,07/11/2025,696,39000.0
PO001010,NCC909,SP0138,11/02/2025,261,23400.0
PO000549,NCC008,SP0010,02/01/2026,798,531300.0
PO003007,NCC020,SP0046,02/12/2025,119,24600.0
PO001429,NCC013,,14/09/2024,40,19100.0
PO000110,NCC014,SP0120,22/11/2025,85,101100.0
PO000715,NCC043,SP0111,15/10/2024,417,37300.0
PO001957,NCC041,SP0197,22/01/2025,981,504600.0
PO000969,NCC022,SP0046,28/02/2026,731,26300.0
PO000898,NCC038,SP0161,08/07/2024,216,72400.0
PO000156,NCC907,SP0102,27/01/2026,397,542800.0
PO000224,NCC029,SP0217,19/05/2026,414,129800.0
PO000555,NCC041,SP0206,23/04/2025,243,38000.0
PO003449,NCC034,SP0083,23/11/2024,494,44100.0
PO000778,NCC025,SP0035,04/11/2024,716,595500.0
PO001136,NCC038,SP0021,26/03/2026,47,34400.0
PO001252,NCC030,SP0135,09/07/2026,808,599000.0
PO002873,NCC012,SP0071,10/11/2025,364,519600.0
PO000344,NCC029,SP0115,16/10/2025,599,21700.0
PO000775,NCC035,SP0219,18/07/2025,400,35900.0
PO003171,NCC027,SP0199,27/03/2025,259,71900.0
PO000965,NCC031,SP0213,10/01/2026,311,24400.0
PO000834,NCC043,SP0046,02/04/2026,303,28100.0
PO001243,NCC014,SP0032,07/09/2024,637,110500.0
PO002821,NCC006,SP0033,17/08/2025,381,56500.0
PO001640,NCC012,SP0034,07/11/2024,485,157700.0
PO002339,NCC022,SP0092,27/09/2024,969,31800.0
PO002815,NCC013,SP0200,27/12/2025,259,285100.0
PO002686,NCC013,SP0138,09/11/2024,414,23100.0
PO002408,NCC007,SP0219,17/01/2025,216,36800.0
PO000632,NCC014,SP0175,03/04/2026,70,19500.0
PO001119,NCC031,SP0219,20/12/2025,853,42200.0
PO001281,NCC007,SP0065,12/09/2024,592,468700.0
PO000371,NCC034,SP0036,06/05/2026,878,157600.0
PO001001,NCC029,SP0089,31/01/2026,853,116200.0
PO000062,NCC020,SP0071,11/12/2024,708,539600.0
PO001413,NCC002,SP0096,01/11/2024,362,44900.0
PO000178,NCC043,SP0169,26/07/2025,736,463100.0
PO002683,NCC029,SP0189,17/03/2025,846,77300.0
PO000879,NCC035,SP0132,24/07/2025,476,254400.0
PO002936,NCC014,SP0031,10/09/2024,498,42800.0
PO002849,NCC017,SP0134,08/08/2024,909,94600.0
PO003437,NCC015,SP0156,07/09/2024,268,69400.0
PO001803,NCC009,SP0010,12/05/2025,835,625100.0
PO003065,NCC012,SP0074,24/06/2026,577,706100.0
PO000545,NCC034,SP0077,10/03/2025,263,114100.0
PO003489,NCC044,SP0065,28/05/2025,853,537500.0
PO000713,NCC015,SP0092,06/03/2025,506,34600.0
PO003495,NCC045,SP0219,23/02/2025,526,37700.0
PO000228,NCC015,SP0124,25/04/2025,621,38100.0
PO001502,NCC041,SP0161,04/02/2026,887,61100.0
PO000369,NCC031,SP0130,17/06/2026,796,165200.0
PO001201,NCC023,SP0148,06/12/2024,274,38500.0
PO002986,NCC011,SP0042,29/07/2026,61,100500.0
PO9900037,NCC001,SP0213,05/12/2025,599,24500.0
PO000759,NCC010,SP0158,04/01/2025,863,82000.0
PO000580,NCC016,SP0140,29/06/2026,986,157600.0
PO002379,NCC004,SP0131,27/10/2024,434,30900.0
PO001450,NCC015,SP0124,17/12/2024,974,37400.0
PO001780,NCC009,SP0162,03/10/2025,841,95400.0
PO003415,NCC902,SP0100,12/09/2024,67,160800.0
PO002727,NCC008,SP0094,11/11/2025,325,85600.0
PO002949,NCC020,SP0134,22/05/2026,651,114200.0
PO002736,NCC013,SP0023,08/10/2024,780,103800.0
PO000472,NCC007,SP0199,21/01/2026,438,99100.0
PO003049,NCC001,SP0011,17/06/2025,739,30200.0
PO001344,NCC007,SP0046,17/05/2026,246,24500.0
PO001522,NCC045,SP0038,22/09/2024,641,590200.0
PO003398,NCC023,,05/19/2026,696,139900.0
PO001666,NCC040,SP0050,18/06/2026,743,406300.0
PO001912,NCC018,SP0081,31/05/2026,418,31700.0
PO001967,NCC034,SP0193,17/05/2025,385,89500.0
PO001053,NCC015,SP0022,04/02/2026,937,676600.0
PO002550,NCC036,SP0134,28/07/2025,256,119600.0
PO002903,NCC044,SP0149,06/10/2024,199,939800.0
PO003131,NCC043,SP0195,22/03/2026,663,131900.0
PO002043,NCC010,SP0070,06/07/2025,988,112200.0
PO002300,NCC041,SP0072,26/02/2025,669,370100.0
PO000451,NCC042,SP0187,30/09/2025,23,149500.0
PO001467,NCC006,SP0074,17/08/2024,987,777600.0
PO001321,NCC029,SP0088,30/06/2025,578,66100.0
PO003170,NCC036,SP0169,18/01/2026,108,538900.0
PO000596,NCC042,SP0063,16/02/2025,273,53300.0
PO001776,NCC029,SP0027,2026-01-04,909,52500.0
PO002510,NCC008,SP0218,10/07/2025,279,93700.0
PO000398,NCC026,SP0040,25/07/2026,630,108300.0
PO001632,NCC039,SP0006,05/10/2024,764,644900.0
PO002130,NCC027,SP0172,05/12/2024,210,452300.0
PO000720,NCC035,SP0111,11/30/2024,554,39900.0
PO002368,NCC004,SP0090,26/10/2024,423,490100.0
PO002279,NCC013,SP0131,27/10/2024,533,30600.0
PO000458,NCC039,SP0176,03/03/2026,162,91000.0
PO001170,NCC025,SP0199,21/11/2025,42,91500.0
PO002195,NCC004,SP0019,17/04/2026,880,93200.0
PO000958,NCC041,SP0028,04/05/2026,695,108000.0
PO001712,NCC036,SP0062,12/04/2026,545,167400.0
PO001212,NCC014,SP0141,14/03/2025,941,57500.0
PO9900036,NCC009,SP0173,02/03/2025,24,77100.0
PO000487,NCC043,SP0177,28/09/2024,432,128800.0
PO001264,NCC044,SP0015,27/10/2024,841,48600.0
PO001086,NCC012,SP0051,25/02/2025,400,174600.0
PO002165,NCC021,SP0047,28/04/2025,844,77300.0
PO000291,NCC037,SP0019,18/11/2024,760,98300.0
PO001256,NCC017,SP0044,15/01/2025,70,765800.0
PO003317,NCC041,SP0171,20/03/2025,199,20800.0
PO003413,NCC001,SP0173,24/09/2024,437,91800.0
PO002213,NCC022,SP0009,30/01/2026,234,282700.0
PO002430,NCC013,SP0217,15/02/2026,750,138600.0
PO002830,NCC038,SP0070,23/04/2025,902,105200.0
PO002180,NCC009,SP0052,04/05/2026,218,26400.0
PO003256,NCC016,SP0063,09/05/2025,487,51600.0
PO002333,NCC031,SP0147,08/09/2024,557,43200.0
PO000011,NCC023,SP0123,20/05/2026,553,132500.0
PO000279,NCC901,SP0205,14/06/2025,124,308700.0
PO002028,NCC045,SP0048,15/07/2026,814,44200.0
PO000204,NCC005,SP0007,01/01/2025,179,149800.0
PO000233,NCC014,SP0195,27/10/2025,177,126600.0
PO000393,NCC033,SP0115,02/03/2026,962,20400.0
PO003419,NCC022,SP0079,24/03/2026,153,21100.0
PO000092,NCC006,SP0157,22/08/2024,646,174300.0
PO000353,NCC024,SP0139,25/10/2024,218,133000.0
PO001823,NCC012,SP0131,14/07/2025,123,29400.0
PO002319,NCC021,SP0006,24/09/2024,722,733900.0
PO000433,NCC024,SP0025,16/09/2025,393,25600.0
PO001985,NCC011,SP0022,16/10/2024,298,869500.0
PO000039,NCC015,SP0069,09/04/2025,677,44300.0
PO003298,NCC008,SP0054,21/02/2026,973,95100.0
PO002183,NCC029,SP0046,04/03/2025,132,25100.0
PO000569,NCC033,SP0196,10/11/2025,906,76500.0
PO001513,NCC037,SP0195,21/03/2026,592,148700.0
PO003200,NCC010,SP0220,11/08/2024,922,40900.0
PO003450,NCC026,SP0047,30/12/2025,685,97900.0
PO000771,NCC036,SP0201,22/08/2025,371,611100.0
PO000055,NCC035,SP0084,20/11/2025,237,80800.0
PO003360,NCC022,SP0167,10/02/2025,295,32200.0
PO003182,NCC037,SP0143,30/10/2025,47,92200.0
PO001035,NCC032,SP0098,18/02/2025,322,80700.0
PO9900044,NCC001,SP0134,04/12/2025,853,111900.0
PO001800,NCC009,SP0069,26/04/2025,237,37500.0
PO003163,NCC044,SP0147,14/08/2024,517,47500.0
PO001654,NCC043,SP0103,2026-06-07,321,135000.0
PO000567,NCC024,,04/17/2026,347,52900.0
PO000140,NCC018,SP0137,12/08/2025,449,556400.0
PO000975,NCC003,SP0208,30/12/2024,896,80100.0
PO001124,NCC045,SP0082,24/03/2026,117,504400.0
PO002669,NCC023,SP0187,12/09/2025,321,160700.0
PO002021,NCC021,SP0063,27/06/2025,195,49300.0
PO001152,NCC017,SP0163,04/01/2026,158,113700.0
PO000895,NCC007,SP0048,08/10/2024,637,40400.0
PO002832,NCC043,SP0100,09/07/2025,397,147600.0
PO003443,NCC010,SP0052,04/07/2025,868,27400.0
PO002671,NCC028,SP0191,28/08/2025,203,33600.0
PO002578,NCC900,SP0124,18/10/2025,395,42500.0
PO003348,NCC902,SP0151,14/04/2025,251,137800.0
PO002351,NCC025,SP0016,2025-01-05,613,528700.0
PO000649,NCC002,SP0002,11/08/2025,685,28200.0
PO001115,NCC011,SP0090,16/09/2025,440,540500.0
PO000245,NCC005,SP0162,22/04/2025,687,99500.0
PO000830,NCC011,SP0041,27/05/2025,937,871600.0
PO003368,NCC013,SP0084,09/03/2026,174,107800.0
PO000901,NCC025,SP0130,16/04/2025,87,139500.0
PO002711,NCC019,SP0066,11/09/2024,478,366300.0
PO002721,NCC021,SP0113,04/05/2026,218,114600.0
PO003195,NCC040,SP0216,05/06/2025,816,45600.0
PO003192,NCC019,SP0051,13/11/2025,507,170200.0
PO002341,NCC033,SP0083,14/05/2026,167,49000.0
PO002844,NCC016,SP0022,20/04/2025,764,840500.0
PO001924,NCC032,SP0068,08/07/2026,951,38500.0
PO000406,NCC034,SP0195,17/09/2025,456,164000.0
PO001482,NCC016,SP0141,16/10/2024,575,46500.0
PO003281,NCC032,SP0175,24/09/2024,715,20200.0
PO001276,NCC011,SP0184,20/12/2025,112,120200.0
PO001953,NCC044,SP0005,2025-07-25,611,136000.0
PO000473,NCC027,SP0086,08/01/2026,140,127400.0
PO003468,NCC002,SP0131,20/06/2026,196,31800.0
PO001079,NCC023,SP0006,23/01/2026,180,598900.0
PO000701,NCC013,SP0097,12/06/2025,409,52700.0
PO000756,NCC019,SP0041,30/06/2026,141,718000.0
PO000272,NCC006,SP0116,03/11/2025,304,394100.0
PO002621,NCC037,SP0070,23/12/2024,972,101200.0
PO001981,NCC043,SP0118,03/09/2024,822,123500.0
PO001205,NCC034,SP0129,29/12/2024,176,121000.0
PO002920,NCC004,SP0014,04/12/2025,386,447800.0
PO002461,NCC010,,02/07/2026,777,38700.0
PO000666,NCC906,SP0198,11/02/2025,535,18800.0
PO000684,NCC041,SP0030,28/09/2024,154,668600.0
PO002525,NCC019,,16/02/2025,102,158800.0
PO003335,NCC021,SP0089,15/10/2024,487,112300.0
PO000248,NCC034,SP0166,09/05/2025,837,259300.0
PO001363,NCC904,SP0112,02/08/2025,762,91000.0
PO001082,NCC018,SP0206,21/12/2025,201,38800.0
PO003250,NCC034,SP0216,25/04/2025,405,48200.0
PO003363,NCC043,SP0191,28/04/2025,598,35400.0
PO001723,NCC003,SP0132,21/06/2025,27,293100.0
PO001592,NCC007,SP0130,26/07/2026,97,157000.0
PO001288,NCC004,SP0063,26/12/2025,476,56900.0
PO001299,NCC032,SP0195,29/10/2025,700,119100.0
PO001607,NCC009,SP0099,2025-09-26,558,131600.0
PO001329,NCC004,,09/09/2024,537,37600.0
PO001931,NCC030,SP0187,06/04/2026,853,130000.0
PO000753,NCC004,SP0129,02/01/2025,972,130500.0
PO000012,NCC903,SP0023,14/11/2024,478,108500.0
PO003452,NCC030,SP0200,01/07/2026,523,266300.0
PO001350,NCC909,SP0120,09/03/2025,187,83600.0
PO002157,NCC019,SP0021,08/03/2025,323,33500.0
PO001266,NCC001,SP0041,06/04/2026,722,807900.0
PO002773,NCC011,SP0170,13/10/2025,153,158000.0
PO002281,NCC038,SP0183,2026-06-06,764,96200.0
PO001979,NCC037,SP0030,13/11/2024,446,595900.0
PO002695,NCC010,SP0085,06/07/2026,957,68100.0
PO002328,NCC003,SP0154,04/08/2024,834,24200.0
PO002896,NCC041,SP0074,14/04/2026,77,680500.0
PO003036,NCC022,SP0021,08/09/2024,163,36400.0
PO002147,NCC015,SP0178,18/01/2025,377,142800.0
PO002081,NCC031,SP0214,11/10/2024,239,40100.0
PO002622,NCC027,SP0089,27/05/2025,697,116600.0
PO001943,NCC043,SP0030,29/06/2025,371,576000.0
PO003315,NCC032,SP0215,22/07/2026,84,65200.0
PO001661,NCC015,SP0014,21/03/2025,32,397300.0
PO000182,NCC005,SP0049,25/09/2025,333,115000.0
PO003066,NCC045,SP0051,27/02/2026,942,135300.0
PO002573,NCC002,SP0098,26/06/2026,521,83200.0
PO000310,NCC014,SP0002,09/05/2026,587,26200.0
PO003438,NCC034,,25/11/2024,808,54500.0
PO000320,NCC016,SP0001,01/08/2025,377,29000.0
PO003304,NCC006,SP0186,17/04/2026,709,634400.0
PO002464,NCC030,SP0086,18/09/2025,638,100700.0
PO002672,NCC040,SP0054,13/01/2026,63,89400.0
PO003313,NCC005,SP0219,10/10/2024,744,45000.0
PO002089,NCC015,SP0103,2026-06-25,144,136900.0
PO000816,NCC016,SP0112,03/12/2025,127,105200.0
PO002649,NCC028,SP0139,11/01/2025,593,130000.0
PO002599,NCC018,SP0051,15/08/2024,594,181600.0
PO002523,NCC032,SP0095,30/09/2024,617,49300.0
PO9900014,NCC018,SP0135,21/09/2025,820,576700.0
PO001890,NCC036,SP0036,06/05/2025,346,168700.0
PO001044,NCC036,SP0151,04/09/2024,944,132900.0
PO001911,NCC018,SP0155,08/02/2025,957,164300.0
PO001838,NCC011,SP0059,14/08/2024,891,463300.0
PO9900048,NCC037,SP0127,19/08/2024,428,29400.0
PO000266,NCC029,SP0090,08/02/2025,440,526800.0
PO000695,NCC014,SP0078,28/09/2024,158,132100.0
PO001855,NCC026,SP0146,19/12/2025,90,69400.0
PO002634,NCC045,,08/05/2026,31,157200.0
PO001763,NCC034,SP0061,05/05/2026,277,137000.0
PO000948,NCC023,SP0064,2025-11-21,58,130600.0
PO002675,NCC012,SP0178,16/01/2025,375,152900.0
PO001830,NCC012,SP0185,27/08/2024,155,19700.0
PO002644,NCC025,SP0080,25/05/2026,604,115200.0
PO000468,NCC039,SP0032,20/05/2025,695,101000.0
PO001987,NCC010,SP0071,29/09/2024,793,549800.0
PO002046,NCC031,SP0017,02/06/2026,829,39200.0
PO001162,NCC040,,03/01/2025,162,37500.0
PO002541,NCC008,SP0003,24/11/2024,600,42100.0
PO001046,NCC041,SP0063,18/02/2025,595,57200.0
PO002612,NCC026,SP0179,22/03/2026,482,133300.0
PO000589,NCC043,SP0035,2024-11-15,364,521400.0
PO002029,NCC025,SP0109,15/05/2025,885,638700.0
PO000382,NCC016,SP0032,07/20/2025,359,119300.0
PO002172,NCC028,SP0038,10/03/2025,369,624600.0
PO002726,NCC039,SP0185,13/08/2025,962,19400.0
PO001043,NCC014,SP0187,19/08/2024,468,117700.0
PO001362,NCC020,SP0219,14/02/2026,673,46300.0
PO001427,NCC038,SP0018,08/04/2026,981,513800.0
PO003361,NCC007,SP0001,09/07/2026,909,29900.0
PO000176,NCC041,SP0125,11/01/2026,650,146800.0
PO003465,NCC035,SP0060,21/06/2026,381,21700.0
PO000427,NCC030,SP0137,24/01/2026,613,544200.0
PO002917,NCC024,SP0112,16/01/2025,161,111100.0
PO002684,NCC029,SP0184,09/02/2026,872,174100.0
PO000115,NCC014,SP0031,30/07/2025,531,40300.0
PO002891,NCC013,SP0096,28/07/2025,506,41800.0
PO002357,NCC016,SP0023,25/03/2025,331,104700.0
PO002881,NCC028,,29/04/2026,604,22400.0
PO000888,NCC016,SP0103,29/05/2026,933,117300.0
PO002034,NCC009,SP0059,31/10/2024,117,503600.0
PO000740,NCC013,SP0176,29/11/2024,741,75500.0
PO000203,NCC014,SP0073,26/08/2024,841,62700.0
PO001726,NCC024,SP0094,04/11/2025,381,85100.0
PO002347,NCC039,SP0183,20/11/2024,141,89300.0
PO001406,NCC005,SP0050,05/06/2025,170,504400.0
PO002878,NCC011,SP0009,11/12/2025,693,260500.0
PO000818,NCC034,SP0153,08/12/2025,203,108800.0
PO000367,NCC009,SP0060,03/03/2026,383,19100.0
PO003384,NCC024,SP0160,23/06/2026,898,52200.0
PO002112,NCC008,SP0037,14/01/2026,226,90900.0
PO001642,NCC037,SP0131,12/06/2024,84,29200.0
PO003407,NCC014,SP0189,02/10/2024,33,95000.0
PO003142,NCC034,SP0187,21/12/2024,290,124000.0
PO001061,NCC039,SP0073,01/10/2024,312,65300.0
PO001665,NCC005,SP0034,24/12/2025,234,157000.0
PO000687,NCC043,SP0156,2025-08-12,55,65400.0
PO000927,NCC045,SP0204,21/04/2025,702,890400.0
PO001412,NCC016,,23/08/2024,431,204600.0
