Thang,Vung,MaNhanVien,ChiTieuDoanhThu
2025-05-01,Miền Trung,NV06,2995567000.0
2025-05-01,Miền Trung,NV07,3116887000.0
2025-05-01,Miền Trung,NV11,3207335000.0
2025-05-01,Miền Trung,NV16,2523240000.0
2025-05-01,Miền Trung,NV18,2705662000.0
2025-05-01,Miền Trung,NV21,2161876000.0
2025-05-01,Miền Trung,NV24,2814838000.0
2025-06-01,Miền Bắc,NV08,2605913000.0
2025-06-01,Miền Bắc,NV10,2674329000.0
2025-06-01,Miền Bắc,NV13,1829582000.0
2025-06-01,Miền Bắc,NV15,2345117000.0
2025-06-01,Miền Bắc,NV17,2406700000.0
2025-06-01,Miền Bắc,NV19,2262270000.0
2025-06-01,Miền Bắc,NV20,1702241000.0
2025-06-01,Miền Bắc,NV22,2151156000.0
2025-06-01,Miền Bắc,NV30,2086667000.0
2025-06-01,Miền Nam,NV01,1969796000.0
2025-06-01,Miền Nam,NV02,1527898000.0
2025-06-01,Miền Nam,NV09,1952291000.0
2025-06-01,Miền Nam,NV12,2680745000.0
2025-06-01,Miền Nam,NV14,1737608000.0
2025-06-01,Miền Nam,NV23,1732400000.0
2025-06-01,Miền Nam,NV25,1543692000.0
2025-06-01,Miền Nam,NV26,2009555000.0
2025-06-01,Miền Nam,NV27,2899370000.0
2025-06-01,Miền Nam,NV28,2367384000.0
2025-06-01,Miền Nam,NV29,1872786000.0
2025-06-01,Miền Trung,NV03,2947029000.0
2025-06-01,Miền Trung,NV04,5195197000.0
2025-06-01,Miền Trung,NV05,3400795000.0
2025-06-01,Miền Trung,NV06,4017584000.0
2025-06-01,Miền Trung,NV07,4283523000.0
2025-06-01,Miền Trung,NV11,4193463000.0
2025-06-01,Miền Trung,NV16,3475627000.0
2025-06-01,Miền Trung,NV18,3658327000.0
2025-06-01,Miền Trung,NV21,2902215000.0
2025-06-01,Miền Trung,NV24,3999928000.0
2025-07-01,Miền Bắc,NV08,2825866000.0
2025-07-01,Miền Bắc,NV10,2806569000.0
2025-07-01,Miền Bắc,NV13,2017778000.0
2025-07-01,Miền Bắc,NV15,2436322000.0
2025-07-01,Miền Bắc,NV17,2633808000.0
2025-07-01,Miền Bắc,NV19,2437082000.0
2025-07-01,Miền Bắc,NV20,1821287000.0
2025-07-01,Miền Bắc,NV22,2332944000.0
2025-07-01,Miền Bắc,NV30,2227179000.0
2025-07-01,Miền Nam,NV01,2136485000.0
2025-07-01,Miền Nam,NV02,1782039000.0
2025-07-01,Miền Nam,NV09,2382130000.0
2025-07-01,Miền Nam,NV12,3103662000.0
2025-07-01,Miền Nam,NV14,2037866000.0
2025-07-01,Miền Nam,NV23,1950367000.0
2025-07-01,Miền Nam,NV25,1704326000.0
2025-07-01,Miền Nam,NV26,2212000000.0
2025-07-01,Miền Nam,NV27,3527510000.0
2025-07-01,Miền Nam,NV28,2579092000.0
2025-07-01,Miền Nam,NV29,2138442000.0
2025-07-01,Miền Trung,NV03,2906858000.0
2025-07-01,Miền Trung,NV04,4882867000.0
2025-07-01,Miền Trung,NV05,3570950000.0
2025-07-01,Miền Trung,NV06,3941668000.0
2025-07-01,Miền Trung,NV07,4077127000.0
2025-07-01,Miền Trung,NV11,4015926000.0
2025-07-01,Miền Trung,NV16,3163501000.0
2025-07-01,Miền Trung,NV18,3675099000.0
2025-07-01,Miền Trung,NV21,2655469000.0
2025-07-01,Miền Trung,NV24,3782916000.0
2025-08-01,Miền Bắc,NV08,2722539000.0
2025-08-01,Miền Bắc,NV10,2560844000.0
2025-08-01,Miền Bắc,NV13,1937889000.0
2025-08-01,Miền Bắc,NV15,2535836000.0
2025-08-01,Miền Bắc,NV17,2619907000.0
2025-08-01,Miền Bắc,NV19,2440459000.0
2025-08-01,Miền Bắc,NV20,1875423000.0
2025-08-01,Miền Bắc,NV22,2215524000.0
2025-08-01,Miền Bắc,NV30,2308005000.0
2025-08-01,Miền Nam,NV01,1877197000.0
2025-08-01,Miền Nam,NV02,1708210000.0
2025-08-01,Miền Nam,NV09,2073248000.0
2025-08-01,Miền Nam,NV12,2818903000.0
2025-08-01,Miền Nam,NV14,1900895000.0
2025-08-01,Miền Nam,NV23,1698438000.0
2025-08-01,Miền Nam,NV25,1604727000.0
2025-08-01,Miền Nam,NV26,1924048000.0
2025-08-01,Miền Nam,NV27,3139388000.0
2025-08-01,Miền Nam,NV28,2406120000.0
2025-08-01,Miền Nam,NV29,2064911000.0
2025-08-01,Miền Trung,NV03,2592397000.0
2025-08-01,Miền Trung,NV04,4432045000.0
2025-08-01,Miền Trung,NV05,2939266000.0
2025-08-01,Miền Trung,NV06,3424462000.0
2025-08-01,Miền Trung,NV07,3593419000.0
2025-08-01,Miền Trung,NV11,3830557000.0
2025-08-01,Miền Trung,NV16,2813811000.0
2025-08-01,Miền Trung,NV18,3334381000.0
2025-08-01,Miền Trung,NV21,2499752000.0
2025-08-01,Miền Trung,NV24,3171043000.0
2025-09-01,Miền Bắc,NV08,2497012000.0
2025-09-01,Miền Bắc,NV10,2335867000.0
2025-09-01,Miền Bắc,NV13,1723353000.0
2025-09-01,Miền Bắc,NV15,2277180000.0
2025-09-01,Miền Bắc,NV17,2223843000.0
2025-09-01,Miền Bắc,NV19,2176295000.0
2025-09-01,Miền Bắc,NV20,1622052000.0
2025-09-01,Miền Bắc,NV22,2135268000.0
2025-09-01,Miền Bắc,NV30,1958857000.0
2025-09-01,Miền Nam,NV01,1819576000.0
2025-09-01,Miền Nam,NV02,1561778000.0
2025-09-01,Miền Nam,NV09,2065145000.0
2025-09-01,Miền Nam,NV12,2860730000.0
2025-09-01,Miền Nam,NV14,1862878000.0
2025-09-01,Miền Nam,NV23,1775944000.0
2025-09-01,Miền Nam,NV25,1513957000.0
2025-09-01,Miền Nam,NV26,2020715000.0
2025-09-01,Miền Nam,NV27,2921277000.0
2025-09-01,Miền Nam,NV28,2331386000.0
2025-09-01,Miền Nam,NV29,1949342000.0
2025-09-01,Miền Trung,NV03,2432823000.0
2025-09-01,Miền Trung,NV04,4305974000.0
2025-09-01,Miền Trung,NV05,2968902000.0
2025-09-01,Miền Trung,NV06,3304700000.0
2025-09-01,Miền Trung,NV07,3439286000.0
2025-09-01,Miền Trung,NV11,3529434000.0
2025-09-01,Miền Trung,NV16,2709041000.0
2025-09-01,Miền Trung,NV18,3131323000.0
2025-09-01,Miền Trung,NV21,2350663000.0
2025-09-01,Miền Trung,NV24,3242828000.0
2025-10-01,Miền Bắc,NV08,3457271000.0
2025-10-01,Miền Bắc,NV10,3125212000.0
2025-10-01,Miền Bắc,NV13,2260931000.0
2025-10-01,Miền Bắc,NV15,2889542000.0
2025-10-01,Miền Bắc,NV17,3106374000.0
2025-10-01,Miền Bắc,NV19,2837886000.0
2025-10-01,Miền Bắc,NV20,2155162000.0
2025-10-01,Miền Bắc,NV22,2816836000.0
2025-10-01,Miền Bắc,NV30,2490791000.0
2025-10-01,Miền Nam,NV01,2149246000.0
2025-10-01,Miền Nam,NV02,1738364000.0
2025-10-01,Miền Nam,NV09,2307673000.0
2025-10-01,Miền Nam,NV12,2908525000.0
2025-10-01,Miền Nam,NV14,2078286000.0
2025-10-01,Miền Nam,NV23,1901881000.0
2025-10-01,Miền Nam,NV25,1740617000.0
2025-10-01,Miền Nam,NV26,2065253000.0
2025-10-01,Miền Nam,NV27,3380493000.0
2025-10-01,Miền Nam,NV28,2536321000.0
2025-10-01,Miền Nam,NV29,2036792000.0
2025-10-01,Miền Trung,NV03,2584323000.0
2025-10-01,Miền Trung,NV04,3976133000.0
2025-10-01,Miền Trung,NV05,2894532000.0
2025-10-01,Miền Trung,NV06,3311318000.0
2025-10-01,Miền Trung,NV07,3287556000.0
2025-10-01,Miền Trung,NV11,3621978000.0
2025-10-01,Miền Trung,NV16,2737646000.0
2025-10-01,Miền Trung,NV18,3231446000.0
2025-10-01,Miền Trung,NV21,2281068000.0
2025-10-01,Miền Trung,NV24,3212234000.0
2025-11-01,Miền Bắc,NV08,3976555000.0
2025-11-01,Miền Bắc,NV10,3482275000.0
2025-11-01,Miền Bắc,NV13,2650964000.0
2025-11-01,Miền Bắc,NV15,3387530000.0
2025-11-01,Miền Bắc,NV17,3708922000.0
2025-11-01,Miền Bắc,NV19,3242645000.0
2025-11-01,Miền Bắc,NV20,2461345000.0
2025-11-01,Miền Bắc,NV22,3082338000.0
2025-11-01,Miền Bắc,NV30,3008685000.0
2025-11-01,Miền Nam,NV01,2273565000.0
2025-11-01,Miền Nam,NV02,1884977000.0
2025-11-01,Miền Nam,NV09,2550955000.0
2025-11-01,Miền Nam,NV12,3329471000.0
2025-11-01,Miền Nam,NV14,2210923000.0
2025-11-01,Miền Nam,NV23,2143879000.0
2025-11-01,Miền Nam,NV25,1805491000.0
2025-11-01,Miền Nam,NV26,2398556000.0
2025-11-01,Miền Nam,NV27,3710104000.0
2025-11-01,Miền Nam,NV28,2924148000.0
2025-11-01,Miền Nam,NV29,2363647000.0
2025-11-01,Miền Trung,NV03,3367975000.0
2025-11-01,Miền Trung,NV04,5325224000.0
2025-11-01,Miền Trung,NV05,3994185000.0
2025-11-01,Miền Trung,NV06,4437834000.0
2025-11-01,Miền Trung,NV07,4483874000.0
2025-11-01,Miền Trung,NV11,4558488000.0
2025-11-01,Miền Trung,NV16,3780508000.0
2025-11-01,Miền Trung,NV18,4309062000.0
2025-11-01,Miền Trung,NV21,3127223000.0
2025-11-01,Miền Trung,NV24,4170100000.0
2025-12-01,Miền Bắc,NV08,5179013000.0
2025-12-01,Miền Bắc,NV10,4735477000.0
2025-12-01,Miền Bắc,NV13,3501675000.0
2025-12-01,Miền Bắc,NV15,4393437000.0
2025-12-01,Miền Bắc,NV17,4512849000.0
2025-12-01,Miền Bắc,NV19,4079608000.0
2025-12-01,Miền Bắc,NV20,3509842000.0
2025-12-01,Miền Bắc,NV22,4039365000.0
2025-12-01,Miền Bắc,NV30,3866654000.0
2025-12-01,Miền Nam,NV01,4084742000.0
2025-12-01,Miền Nam,NV02,3448306000.0
2025-12-01,Miền Nam,NV09,4330448000.0
2025-12-01,Miền Nam,NV12,5546106000.0
2025-12-01,Miền Nam,NV14,3733108000.0
2025-12-01,Miền Nam,NV23,3595581000.0
2025-12-01,Miền Nam,NV25,3237827000.0
2025-12-01,Miền Nam,NV26,3873491000.0
2025-12-01,Miền Nam,NV27,6316057000.0
2025-12-01,Miền Nam,NV28,5036482000.0
2025-12-01,Miền Nam,NV29,4192032000.0
2025-12-01,Miền Trung,NV03,4394537000.0
2025-12-01,Miền Trung,NV04,6894218000.0
2025-12-01,Miền Trung,NV05,5370748000.0
2025-12-01,Miền Trung,NV06,5662902000.0
2025-12-01,Miền Trung,NV07,5943958000.0
2025-12-01,Miền Trung,NV11,6486446000.0
2025-12-01,Miền Trung,NV16,4787945000.0
2025-12-01,Miền Trung,NV18,5631558000.0
2025-12-01,Miền Trung,NV21,3987154000.0
2025-12-01,Miền Trung,NV24,5667232000.0
2026-01-01,Miền Bắc,NV08,4912766000.0
2026-01-01,Miền Bắc,NV10,4624443000.0
2026-01-01,Miền Bắc,NV13,3342221000.0
2026-01-01,Miền Bắc,NV15,4139171000.0
2026-01-01,Miền Bắc,NV17,4700287000.0
2026-01-01,Miền Bắc,NV19,4034367000.0
2026-01-01,Miền Bắc,NV20,3276338000.0
2026-01-01,Miền Bắc,NV22,4020224000.0
2026-01-01,Miền Bắc,NV30,3803577000.0
2026-01-01,Miền Nam,NV01,3019000000.0
2026-01-01,Miền Nam,NV02,2456908000.0
2026-01-01,Miền Nam,NV09,3272343000.0
2026-01-01,Miền Nam,NV12,4152659000.0
2026-01-01,Miền Nam,NV14,2966313000.0
2026-01-01,Miền Nam,NV23,2630764000.0
2026-01-01,Miền Nam,NV25,2341791000.0
2026-01-01,Miền Nam,NV26,2891760000.0
2026-01-01,Miền Nam,NV27,4861759000.0
2026-01-01,Miền Nam,NV28,3863356000.0
2026-01-01,Miền Nam,NV29,2988792000.0
2026-01-01,Miền Trung,NV03,5121283000.0
2026-01-01,Miền Trung,NV04,8533033000.0
2026-01-01,Miền Trung,NV05,6038883000.0
2026-01-01,Miền Trung,NV06,6823072000.0
2026-01-01,Miền Trung,NV07,6572306000.0
2026-01-01,Miền Trung,NV11,7461864000.0
2026-01-01,Miền Trung,NV16,5726296000.0
2026-01-01,Miền Trung,NV18,6154583000.0
2026-01-01,Miền Trung,NV21,4715325000.0
2026-01-01,Miền Trung,NV24,6688756000.0
2026-02-01,Miền Bắc,NV08,1705595000.0
2026-02-01,Miền Bắc,NV10,1629353000.0
2026-02-01,Miền Bắc,NV13,1207973000.0
2026-02-01,Miền Bắc,NV15,1484743000.0
2026-02-01,Miền Bắc,NV17,1578441000.0
2026-02-01,Miền Bắc,NV19,1434288000.0
2026-02-01,Miền Bắc,NV20,1053607000.0
2026-02-01,Miền Bắc,NV22,1442031000.0
2026-02-01,Miền Bắc,NV30,1395496000.0
2026-02-01,Miền Nam,NV01,1285254000.0
