MaDonHang,MaKhachHang,NgayDatHang,KenhBan,NhanVienBanHang,TrangThai
DH001622,KH0140,2024-08-02 19:37:00,TMĐT - Tiki,NV07,Đã giao
DH006848,KH0119,2024-08-02 21:27:00,TMĐT - Lazada,NV15,Đang xử lý
DH004670,KH0002,2024-08-02 22:05:00,TMĐT - Lazada,NV04,Đã giao
DH006201,KH0246,2024-08-02 22:17:00,Bán lẻ trực tiếp,NV06,Đã giao
DH004639,KH0412,2024-08-02 22:43:00,Showroom,NV03,Đã giao
DH008442,KH0249,2024-08-02 23:32:00,TMĐT - Shopee,NV13,Đã giao
DH001419,KH0391,2024-08-03 04:19:00,Bán lẻ trực tiếp,NV27,Đã giao
DH004654,KH0448,2024-08-03 04:36:00,Bán lẻ trực tiếp,NV02,Trả hàng
DH001736,KH0273,2024-08-03 09:41:00,TMĐT - Tiki,NV26,Đã giao
DH004169,KH0018,2024-08-03 11:27:00,Đại lý,NV07,Đã giao
DH002555,KH0071,2024-08-03 11:29:00,Đại lý,NV17,Mới
DH009344,KH0155,2024-08-03 13:34:00,Showroom,NV21,Mới
DH003211,KH0246,2024-08-03 16:28:00,TMĐT - Lazada,NV07,Đã giao
DH001558,KH0270,2024-08-03 18:50:00,Showroom,NV15,Đã giao
DH010999,KH0315,2024-08-03 19:11:00,TMĐT - Shopee,NV20,Đã giao
DH004667,KH0155,2024-08-03 22:05:00,TMĐT - Tiki,NV01,Đã giao
DH008322,KH0098,2024-08-03 22:43:00,TMĐT - Shopee,NV10,Đã giao
DH010698,KH0447,2024-08-04 02:42:00,Showroom,NV09,Mới
DH006452,KH0056,2024-08-04 03:24:00,Bán lẻ trực tiếp,NV14,Đã giao
DH007828,KH0262,2024-08-04 05:11:00,Bán lẻ trực tiếp,NV08,Đang xử lý
DH004967,KH0265,2024-08-04 06:01:00,Đại lý,NV15,Đã giao
DH009144,KH0368,2024-08-04 06:55:00,TMĐT - Shopee,NV30,Đã giao
DH010927,KH0248,2024-08-04 07:00:00,Đại lý,NV01,Đã giao
DH006091,KH0140,2024-08-04 07:48:00,TMĐT - Tiki,NV25,Đã hủy
DH006235,KH0135,2024-08-04 07:55:00,Bán lẻ trực tiếp,NV22,Đã hủy
DH008531,KH0442,2024-08-04 08:07:00,TMĐT - Lazada,NV01,Đã giao
DH006572,KH0419,2024-08-04 09:21:00,TMĐT - Shopee,NV25,Đã giao
DH006269,KH0243,2024-08-04 09:49:00,TMĐT - Lazada,NV07,Đã giao
DH006497,KH0400,2024-08-04 11:39:00,TMĐT - Shopee,NV04,Mới
DH009151,KH0292,2024-08-04 12:22:00,Showroom,NV26,Đã giao
DH002981,KH0367,2024-08-04 15:01:00,Đại lý,NV10,Đã giao
DH011275,KH0432,2024-08-04 16:50:00,Showroom,NV01,Đã giao
DH002452,KH0122,2024-08-04 21:37:00,Đại lý,NV16,Đã giao
DH001813,KH0442,2024-08-04 22:34:00,Bán lẻ trực tiếp,NV02,Đang xử lý
DH000356,KH0236,2024-08-05 00:04:00,TMĐT - Tiki,NV20,Đã giao
DH000589,KH0035,2024-08-05 01:44:00,TMĐT - Tiki,NV05,Mới
DH004223,KH0274,2024-08-05 02:56:00,TMĐT - Tiki,NV25,Đã giao
DH005488,KH0341,2024-08-05 03:54:00,TMĐT - Tiki,NV21,Đã giao
DH009676,KH0218,2024-08-05 06:22:00,TMĐT - Tiki,NV06,Đã giao
DH007044,KH0227,2024-08-05 08:54:00,TMĐT - Shopee,NV10,Đã giao
DH009755,KH0374,2024-08-05 12:03:00,Showroom,NV12,Đã giao
DH003109,KH0306,2024-08-05 13:44:00,Đại lý,NV20,Đã giao
DH008606,KH0155,2024-08-05 14:05:00,Đại lý,NV25,Đã giao
DH003045,KH0447,2024-08-05 20:36:00,TMĐT - Shopee,NV25,Đã giao
DH003658,KH0447,2024-08-05 21:35:00,TMĐT - Lazada,NV26,Đang xử lý
DH011726,KH0177,2024-08-05 22:47:00,Bán lẻ trực tiếp,NV25,Đã giao
DH007358,KH0114,2024-08-05 23:21:00,Bán lẻ trực tiếp,NV26,Đã giao
DH006757,KH0051,2024-08-05 23:38:00,TMĐT - Lazada,NV24,Đã giao
DH003589,KH0171,2024-08-06 00:13:00,Đại lý,NV28,Đã giao
DH006647,KH0017,2024-08-06 01:51:00,Showroom,NV06,Đã giao
DH008445,KH0155,2024-08-06 03:01:00,TMĐT - Tiki,NV18,Đã giao
DH003264,KH0113,2024-08-06 03:26:00,Bán lẻ trực tiếp,NV11,Đã giao
DH007610,KH0012,2024-08-06 03:37:00,Showroom,NV09,Đã giao
DH009720,KH0413,2024-08-06 05:01:00,Đại lý,NV29,Đã giao
DH006712,KH0077,2024-08-06 06:45:00,Showroom,NV21,Đã giao
DH007979,KH0337,2024-08-06 06:57:00,TMĐT - Tiki,NV06,Đã giao
DH005379,KH0391,2024-08-06 12:52:00,TMĐT - Shopee,NV14,Đã giao
DH002404,KH0137,2024-08-06 13:33:00,TMĐT - Tiki,NV28,Đã giao
DH001159,KH0385,2024-08-06 13:40:00,TMĐT - Lazada,NV08,Đã giao
DH006297,KH0394,2024-08-06 16:08:00,Showroom,NV17,Đã giao
DH001091,KH0227,2024-08-06 16:31:00,TMĐT - Tiki,NV11,Đã giao
DH008380,KH0248,2024-08-06 17:08:00,TMĐT - Tiki,NV07,Đã giao
DH000950,KH0350,2024-08-06 18:31:00,TMĐT - Shopee,NV11,Đã giao
DH009110,KH0276,2024-08-06 22:28:00,Đại lý,NV29,Đã giao
DH006360,KH0070,2024-08-06 22:28:00,TMĐT - Lazada,NV18,Đã hủy
DH004519,KH0442,2024-08-06 23:59:00,TMĐT - Lazada,NV07,Đã giao
DH011155,KH0391,2024-08-07 00:08:00,Showroom,NV07,Đang xử lý
DH006310,KH0016,2024-08-07 00:20:00,Showroom,NV18,Đã giao
DH000787,KH0316,2024-08-07 04:32:00,Bán lẻ trực tiếp,NV28,Đã giao
DH003988,KH0257,2024-08-07 06:39:00,TMĐT - Lazada,NV19,Đã giao
DH009659,KH0242,2024-08-07 09:56:00,TMĐT - Lazada,NV24,Trả hàng
DH004394,KH0155,2024-08-07 11:06:00,TMĐT - Lazada,NV29,Đã giao
DH008747,KH0269,2024-08-07 15:21:00,Đại lý,NV07,Đã giao
DH010097,KH0264,2024-08-07 15:32:00,Bán lẻ trực tiếp,NV14,Mới
DH000158,KH0164,2024-08-07 18:42:00,Đại lý,NV12,Đang xử lý
DH004505,KH0227,2024-08-07 20:03:00,Showroom,NV29,Đã giao
DH007722,KH0048,2024-08-07 20:06:00,Showroom,NV28,Đã giao
DH005114,KH0052,2024-08-07 21:43:00,TMĐT - Lazada,NV01,Đã giao
DH005430,KH0406,2024-08-07 23:11:00,TMĐT - Shopee,NV12,Đã giao
DH000730,KH0326,2024-08-07 23:56:00,TMĐT - Tiki,NV10,Đã giao
DH000483,KH0325,2024-08-08 00:24:00,Showroom,NV02,Đã giao
DH002644,KH0002,2024-08-08 00:57:00,TMĐT - Tiki,NV15,Đang xử lý
DH000292,KH0272,2024-08-08 07:09:00,TMĐT - Lazada,NV29,Đã giao
DH008801,KH0229,2024-08-08 07:42:00,TMĐT - Tiki,NV29,Đã giao
DH001002,KH0409,2024-08-08 08:56:00,Bán lẻ trực tiếp,NV02,Mới
DH010323,KH0396,2024-08-08 10:13:00,Đại lý,NV04,Đã giao
DH005242,KH0433,2024-08-08 14:11:00,Bán lẻ trực tiếp,NV28,Đã giao
DH007878,KH0183,2024-08-08 14:42:00,TMĐT - Shopee,NV12,Đã giao
DH011634,KH0281,2024-08-08 15:24:00,TMĐT - Lazada,NV21,Đã giao
DH008786,KH0128,2024-08-08 18:08:00,TMĐT - Tiki,NV22,Đã giao
DH011865,KH0070,2024-08-08 19:34:00,TMĐT - Lazada,NV24,Đã giao
DH004577,KH0385,2024-08-08 23:08:00,TMĐT - Tiki,NV06,Đã giao
DH001835,KH0095,2024-08-08 23:38:00,TMĐT - Tiki,NV28,Đã giao
DH002828,KH0412,2024-08-09 00:30:00,Bán lẻ trực tiếp,NV22,Đã giao
DH009728,KH0303,2024-08-09 01:11:00,TMĐT - Shopee,NV30,Đã giao
DH009105,KH0384,2024-08-09 02:18:00,TMĐT - Shopee,NV22,Đã giao
DH003990,KH0338,2024-08-09 03:04:00,TMĐT - Lazada,NV22,Đã giao
DH002920,KH0093,2024-08-09 04:22:00,TMĐT - Tiki,NV05,Đã giao
DH011880,KH0402,2024-08-09 09:06:00,TMĐT - Lazada,NV26,Đã giao
DH006382,KH0249,2024-08-09 13:07:00,Bán lẻ trực tiếp,NV19,Đã giao
DH010992,KH0448,2024-08-09 14:58:00,TMĐT - Lazada,NV27,Đã giao
DH005163,KH0391,2024-08-09 15:07:00,Bán lẻ trực tiếp,NV21,Đã giao
DH003047,KH0158,2024-08-09 15:28:00,Bán lẻ trực tiếp,NV29,Đã giao
DH001309,KH0406,2024-08-09 16:39:00,Bán lẻ trực tiếp,NV30,Đã giao
DH005234,KH0183,2024-08-09 16:52:00,TMĐT - Tiki,NV28,Đã giao
DH008406,KH0358,2024-08-09 18:26:00,TMĐT - Tiki,NV30,Đã giao
DH005126,KH0384,2024-08-09 18:29:00,Showroom,NV04,Đã giao
DH007937,KH0315,2024-08-09 18:44:00,TMĐT - Lazada,NV05,Đã giao
DH002152,KH0115,2024-08-09 19:06:00,TMĐT - Shopee,NV12,Đã giao
DH004162,KH0356,2024-08-09 20:49:00,Showroom,NV17,Đã giao
DH010066,KH0105,2024-08-09 22:52:00,Bán lẻ trực tiếp,NV03,Đã giao
DH004703,KH0215,2024-08-09 23:53:00,Showroom,NV04,Đã giao
DH010128,KH0166,2024-08-09 23:59:00,TMĐT - Shopee,NV13,Đã giao
DH001317,KH0347,2024-08-10 02:02:00,TMĐT - Lazada,NV29,Đã giao
DH001371,KH0396,2024-08-10 11:19:00,TMĐT - Lazada,NV09,Đã giao
DH000332,KH0254,2024-08-10 12:39:00,TMĐT - Shopee,NV08,Đang xử lý
DH002713,KH0012,2024-08-10 14:47:00,Đại lý,NV23,Đã giao
DH004354,KH0337,2024-08-10 17:44:00,TMĐT - Lazada,NV19,Đã giao
DH002207,KH0243,2024-08-10 20:32:00,TMĐT - Lazada,NV13,Đã giao
DH004907,KH0305,2024-08-10 23:30:00,Showroom,NV01,Đã hủy
DH010131,KH0167,2024-08-11 00:10:00,Đại lý,NV08,Đã giao
DH010701,KH0439,2024-08-11 01:22:00,Showroom,NV26,Đã giao
DH003334,KH0070,2024-08-11 01:27:00,Đại lý,NV09,Đã giao
DH009452,KH0122,2024-08-11 04:57:00,TMĐT - Tiki,NV30,Đã giao
DH010455,KH0009,2024-08-11 04:58:00,TMĐT - Tiki,NV14,Đã giao
DH006259,KH0325,2024-08-11 06:06:00,TMĐT - Lazada,NV18,Đã giao
DH008988,KH0092,2024-08-11 09:21:00,TMĐT - Shopee,NV11,Đã giao
DH000335,KH0390,2024-08-11 09:36:00,TMĐT - Shopee,NV05,Đã giao
DH004551,KH0142,2024-08-11 10:42:00,Showroom,NV02,Đang xử lý
DH002239,KH0148,2024-08-11 12:32:00,TMĐT - Lazada,NV16,Đã giao
DH000320,KH0391,2024-08-11 17:06:00,Đại lý,NV30,Đã hủy
DH000145,KH0404,2024-08-11 18:55:00,Showroom,NV30,Đã giao
DH001461,KH0070,2024-08-11 21:21:00,TMĐT - Shopee,NV24,Đã giao
DH004951,KH0051,2024-08-11 23:53:00,Showroom,NV02,Đã giao
DH004188,KH0442,2024-08-12 05:06:00,Đại lý,NV28,Đã giao
DH004272,KH0218,2024-08-12 07:17:00,Bán lẻ trực tiếp,NV06,Đã giao
DH006211,KH0367,2024-08-12 08:16:00,Showroom,NV14,Đã giao
DH008668,KH0447,2024-08-12 08:36:00,TMĐT - Tiki,NV21,Đã hủy
DH003720,KH0024,2024-08-12 13:01:00,Đại lý,NV03,Đã giao
DH002879,KH0146,2024-08-12 17:16:00,TMĐT - Shopee,NV23,Đã giao
DH009638,KH0117,2024-08-12 18:29:00,TMĐT - Lazada,NV29,Đã giao
DH007187,KH0199,2024-08-12 21:36:00,Bán lẻ trực tiếp,NV27,Đã giao
DH007307,KH0428,2024-08-12 22:12:00,TMĐT - Tiki,NV04,Đã giao
DH003012,KH0056,2024-08-12 22:33:00,TMĐT - Shopee,NV21,Đang xử lý
DH005072,KH0262,2024-08-13 00:12:00,Đại lý,NV30,Đã giao
DH009127,KH0432,2024-08-13 00:44:00,Showroom,NV24,Đã giao
DH006075,KH0240,2024-08-13 01:10:00,TMĐT - Lazada,NV26,Đã giao
DH010359,KH0391,2024-08-13 01:30:00,TMĐT - Shopee,NV11,Đã hủy
DH001142,KH0367,2024-08-13 02:25:00,TMĐT - Shopee,NV05,Đã giao
DH006654,KH0325,2024-08-13 02:48:00,Bán lẻ trực tiếp,NV01,Đã giao
DH002851,KH0115,2024-08-13 03:14:00,Bán lẻ trực tiếp,NV14,Đã giao
DH008718,KH0135,2024-08-13 04:48:00,TMĐT - Shopee,NV28,Đã giao
DH006768,KH0114,2024-08-13 06:26:00,TMĐT - Lazada,NV18,Đã giao
DH008745,KH0231,2024-08-13 08:30:00,Đại lý,NV06,Đang xử lý
DH007903,KH0140,2024-08-13 09:57:00,TMĐT - Lazada,NV16,Đã giao
DH007342,KH0227,2024-08-13 11:23:00,TMĐT - Shopee,NV27,Đã giao
DH002998,KH0070,2024-08-13 12:44:00,TMĐT - Shopee,NV08,Đã giao
DH010861,KH0446,2024-08-13 12:57:00,Showroom,NV11,Đã hủy
DH004430,KH0018,2024-08-13 13:24:00,Showroom,NV17,Đã giao
DH005172,KH0070,2024-08-13 14:13:00,TMĐT - Lazada,NV27,Đã giao
DH010811,KH0272,2024-08-13 15:25:00,TMĐT - Tiki,NV17,Đang xử lý
DH003013,KH0367,2024-08-13 16:04:00,Showroom,NV18,Đã giao
DH008244,KH0108,2024-08-13 16:06:00,TMĐT - Tiki,NV04,Đang xử lý
DH003671,KH0222,2024-08-13 17:04:00,Bán lẻ trực tiếp,NV12,Mới
DH002090,KH0035,2024-08-13 17:52:00,TMĐT - Lazada,NV01,Đã giao
DH000308,KH0031,2024-08-13 18:26:00,TMĐT - Lazada,NV15,Đã giao
DH003683,KH0200,2024-08-13 20:11:00,TMĐT - Shopee,NV10,Đã giao
DH009141,KH0053,2024-08-14 02:28:00,Bán lẻ trực tiếp,NV23,Đã giao
DH011960,KH0356,2024-08-14 03:58:00,TMĐT - Shopee,NV15,Đã giao
DH001358,KH0447,2024-08-14 05:09:00,TMĐT - Lazada,NV06,Đã giao
DH006788,KH0198,2024-08-14 11:31:00,Showroom,NV15,Đã giao
DH001348,KH0413,2024-08-14 13:05:00,TMĐT - Shopee,NV20,Đã hủy
DH000081,KH0054,2024-08-14 13:19:00,TMĐT - Lazada,NV24,Đã giao
DH007760,KH0062,2024-08-14 14:23:00,TMĐT - Tiki,NV13,Đã giao
DH009898,KH0218,2024-08-15 00:15:00,TMĐT - Shopee,NV01,Đã giao
DH001294,KH0187,2024-08-15 04:49:00,Bán lẻ trực tiếp,NV09,Đã giao
DH007103,KH0122,2024-08-15 08:33:00,Bán lẻ trực tiếp,NV25,Đã giao
DH000456,KH0257,2024-08-15 08:49:00,Bán lẻ trực tiếp,NV05,Đã giao
DH009014,KH0391,2024-08-15 09:37:00,TMĐT - Shopee,NV08,Đã giao
DH001112,KH0414,2024-08-15 11:45:00,Showroom,NV16,Đã giao
DH005292,KH0442,2024-08-15 12:21:00,Đại lý,NV29,Đang xử lý
DH001652,KH0332,2024-08-15 13:26:00,TMĐT - Lazada,NV01,Đã giao
DH010699,KH0166,2024-08-15 15:27:00,Đại lý,NV12,Đã giao
DH010783,KH0012,2024-08-15 18:49:00,Đại lý,NV28,Đã giao
DH001132,KH0354,2024-08-15 20:17:00,Bán lẻ trực tiếp,NV28,Đã giao
DH003331,KH0262,2024-08-15 20:47:00,Showroom,NV28,Đã giao
DH009870,KH0241,2024-08-15 21:32:00,TMĐT - Lazada,NV06,Đã giao
DH000916,KH0068,2024-08-15 21:55:00,Showroom,NV14,Đã hủy
DH000624,KH0316,2024-08-15 22:40:00,Showroom,NV21,Đã giao
DH008540,KH0262,2024-08-15 23:45:00,TMĐT - Lazada,NV16,Trả hàng
DH002210,KH0087,2024-08-16 01:22:00,TMĐT - Lazada,NV10,Đã giao
DH003620,KH0387,2024-08-16 04:29:00,Bán lẻ trực tiếp,NV03,Đã giao
DH003221,KH0363,2024-08-16 09:39:00,TMĐT - Lazada,NV10,Đã giao
DH005097,KH0127,2024-08-16 10:05:00,Đại lý,NV11,Đã giao
DH010089,KH0158,2024-08-16 18:51:00,TMĐT - Tiki,NV08,Đã giao
DH010869,KH0267,2024-08-17 01:12:00,Bán lẻ trực tiếp,NV06,Mới
DH009332,KH0155,2024-08-17 05:38:00,Bán lẻ trực tiếp,NV11,Đã giao
DH007508,KH0350,2024-08-17 05:53:00,Showroom,NV04,Đã giao
DH001238,KH0179,2024-08-17 07:37:00,Bán lẻ trực tiếp,NV11,Đã giao
DH000703,KH0397,2024-08-17 10:41:00,Đại lý,NV27,Đã giao
DH008851,KH0155,2024-08-17 12:09:00,TMĐT - Shopee,NV06,Đã giao
DH003695,KH0114,2024-08-17 12:43:00,Bán lẻ trực tiếp,NV18,Mới
DH004182,KH0186,2024-08-17 19:49:00,Showroom,NV13,Đã giao
DH003332,KH0389,2024-08-17 21:49:00,Showroom,NV21,Đã giao
DH007668,KH0242,2024-08-17 21:53:00,Bán lẻ trực tiếp,NV14,Đã giao
DH006345,KH0246,2024-08-17 22:05:00,Bán lẻ trực tiếp,NV20,Đã giao
DH009137,KH0356,2024-08-17 22:22:00,Bán lẻ trực tiếp,NV28,Đã giao
DH002601,KH0127,2024-08-17 23:00:00,TMĐT - Shopee,NV18,Đã giao
DH008916,KH0389,2024-08-18 00:06:00,Đại lý,NV06,Đã giao
DH008573,KH0325,2024-08-18 04:17:00,Bán lẻ trực tiếp,NV09,Đã giao
DH010069,KH0113,2024-08-18 06:06:00,TMĐT - Lazada,NV02,Đã giao
DH002012,KH0391,2024-08-18 06:54:00,TMĐT - Shopee,NV24,Đã giao
DH000597,KH0192,2024-08-18 07:05:00,TMĐT - Lazada,NV20,Đã giao
DH000687,KH0413,2024-08-18 09:11:00,Bán lẻ trực tiếp,NV01,Đang xử lý
DH009182,KH0446,2024-08-18 11:47:00,Showroom,NV30,Trả hàng
DH000117,KH0262,2024-08-18 12:33:00,Showroom,NV30,Đã giao
DH000743,KH0135,2024-08-18 14:45:00,Đại lý,NV01,Đã giao
DH002430,KH0218,2024-08-18 15:34:00,Bán lẻ trực tiếp,NV05,Đã giao
DH007047,KH0113,2024-08-18 19:20:00,Đại lý,NV10,Đã giao
DH003434,KH0077,2024-08-18 22:06:00,Đại lý,NV07,Đã giao
DH003643,KH0056,2024-08-19 00:10:00,TMĐT - Tiki,NV28,Đã giao
DH004057,KH0424,2024-08-19 04:12:00,TMĐT - Shopee,NV27,Đã giao
DH001502,KH0035,2024-08-19 07:56:00,Bán lẻ trực tiếp,NV15,Đã giao
DH009404,KH0147,2024-08-19 09:36:00,Đại lý,NV10,Đã giao
DH007725,KH0379,2024-08-19 13:32:00,Đại lý,NV20,Đã giao
DH006597,KH0089,2024-08-19 14:43:00,TMĐT - Lazada,NV08,Đã giao
DH004758,KH0120,2024-08-19 15:56:00,Đại lý,NV08,Đã giao
DH002093,KH0284,2024-08-19 17:45:00,Showroom,NV05,Đã giao
DH009276,KH0127,2024-08-19 17:59:00,Đại lý,NV06,Đã giao
DH004756,KH0262,2024-08-19 19:15:00,Bán lẻ trực tiếp,NV12,Đã giao
DH011560,KH0137,2024-08-19 19:16:00,TMĐT - Tiki,NV21,Mới
DH002696,KH0292,2024-08-19 20:38:00,TMĐT - Lazada,NV21,Đã giao
DH010588,KH0184,2024-08-19 23:00:00,TMĐT - Shopee,NV21,Đã giao
DH009944,KH0166,2024-08-19 23:28:00,TMĐT - Tiki,NV24,Đã giao
DH004384,KH0044,2024-08-20 01:35:00,Đại lý,NV17,Đã giao
DH006077,KH0314,2024-08-20 02:49:00,TMĐT - Shopee,NV28,Đang xử lý
DH008902,KH0051,2024-08-20 03:31:00,Showroom,NV08,Mới
DH002467,KH0359,2024-08-20 05:32:00,TMĐT - Shopee,NV02,Đã giao
DH006370,KH0306,2024-08-20 06:47:00,Bán lẻ trực tiếp,NV25,Đã giao
DH008568,KH0051,2024-08-20 08:18:00,Đại lý,NV04,Đang xử lý
DH001450,KH0411,2024-08-20 08:53:00,Bán lẻ trực tiếp,NV27,Đã giao
DH000273,KH0305,2024-08-20 10:34:00,Showroom,NV15,Đã giao
DH009721,KH0412,2024-08-20 11:27:00,TMĐT - Tiki,NV21,Đã giao
DH003783,KH0391,2024-08-20 11:36:00,Bán lẻ trực tiếp,NV14,Đã giao
DH003678,KH0261,2024-08-20 12:58:00,TMĐT - Shopee,NV14,Đã hủy
DH002699,KH0089,2024-08-20 19:34:00,Showroom,NV22,Đã giao
DH000468,KH0243,2024-08-20 20:06:00,TMĐT - Tiki,NV08,Đã hủy
DH003202,KH0082,2024-08-21 01:11:00,TMĐT - Lazada,NV27,Đã giao
DH005763,KH0409,2024-08-21 02:33:00,Đại lý,NV14,Đã giao
DH002674,KH0070,2024-08-21 07:19:00,Bán lẻ trực tiếp,NV09,Đã hủy
DH000416,KH0231,2024-08-21 08:48:00,TMĐT - Lazada,NV14,Đã giao
DH008470,KH0277,2024-08-21 11:20:00,Bán lẻ trực tiếp,NV12,Đã giao
DH009796,KH0181,2024-08-21 12:56:00,Bán lẻ trực tiếp,NV26,Đã giao
DH011252,KH0116,2024-08-21 13:02:00,Bán lẻ trực tiếp,NV05,Đã giao
DH010688,KH0428,2024-08-21 14:29:00,TMĐT - Shopee,NV07,Đã hủy
DH008133,KH0241,2024-08-21 14:31:00,TMĐT - Tiki,NV22,Đã giao
DH005766,KH0262,2024-08-21 17:05:00,TMĐT - Tiki,NV20,Đã giao
DH000230,KH0044,2024-08-21 17:53:00,Bán lẻ trực tiếp,NV04,Mới
DH004158,KH0074,2024-08-21 18:25:00,TMĐT - Tiki,NV17,Đã hủy
DH005573,KH0257,2024-08-21 18:44:00,TMĐT - Tiki,NV10,Đã giao
DH002681,KH0108,2024-08-21 18:55:00,TMĐT - Tiki,NV20,Đã giao
DH002464,KH0257,2024-08-21 22:00:00,Showroom,NV14,Đã giao
DH006882,KH0199,2024-08-21 23:06:00,TMĐT - Shopee,NV14,Đã giao
DH009974,KH0442,2024-08-22 02:23:00,Bán lẻ trực tiếp,NV06,Đã giao
DH003326,KH0221,2024-08-22 03:22:00,Đại lý,NV16,Đã giao
DH009763,KH0297,2024-08-22 04:11:00,TMĐT - Lazada,NV04,Đã giao
DH011823,KH0155,2024-08-22 04:26:00,Showroom,NV08,Đã giao
DH004935,KH0018,2024-08-22 05:56:00,Showroom,NV14,Đã giao
DH007646,KH0141,2024-08-22 06:27:00,Đại lý,NV16,Đã giao
DH006048,KH0220,2024-08-22 06:52:00,TMĐT - Tiki,NV13,Đã giao
DH010098,KH0171,2024-08-22 06:55:00,TMĐT - Tiki,NV12,Đã giao
DH010518,KH0306,2024-08-22 08:51:00,Showroom,NV14,Đã giao
DH003208,KH0409,2024-08-22 11:34:00,TMĐT - Shopee,NV10,Đã giao
DH005108,KH0070,2024-08-22 13:17:00,TMĐT - Tiki,NV30,Đã giao
DH001728,KH0012,2024-08-22 14:17:00,Đại lý,NV27,Đã giao
DH011343,KH0412,2024-08-22 14:31:00,TMĐT - Tiki,NV17,Đã giao
DH005320,KH0391,2024-08-22 15:07:00,Đại lý,NV04,Đã giao
DH009086,KH0135,2024-08-22 18:49:00,Đại lý,NV14,Đã giao
DH003619,KH0163,2024-08-22 20:11:00,Bán lẻ trực tiếp,NV08,Đã giao
DH007956,KH0273,2024-08-23 05:59:00,Bán lẻ trực tiếp,NV25,Mới
DH005691,KH0035,2024-08-23 08:34:00,Đại lý,NV19,Đã giao
DH007179,KH0054,2024-08-23 09:04:00,Đại lý,NV02,Đang xử lý
DH008143,KH0396,2024-08-23 10:06:00,TMĐT - Shopee,NV17,Đã giao
DH000949,KH0262,2024-08-23 16:55:00,Đại lý,NV08,Đã giao
DH009814,KH0121,2024-08-23 21:13:00,TMĐT - Lazada,NV20,Đã giao
DH010941,KH0415,2024-08-23 23:30:00,Bán lẻ trực tiếp,NV30,Đã giao
DH008364,KH0391,2024-08-24 01:12:00,TMĐT - Lazada,NV08,Đã giao
DH001721,KH0183,2024-08-24 02:24:00,TMĐT - Shopee,NV05,Trả hàng
DH000935,KH0035,2024-08-24 02:45:00,Bán lẻ trực tiếp,NV24,Đã giao
DH006541,KH0227,2024-08-24 03:21:00,TMĐT - Lazada,NV29,Đã giao
DH004587,KH0035,2024-08-24 04:13:00,Showroom,NV10,Mới
DH010692,KH0213,2024-08-24 09:53:00,TMĐT - Lazada,NV02,Đã hủy
DH000388,KH0197,2024-08-24 10:26:00,Bán lẻ trực tiếp,NV18,Đã giao
DH008797,KH0432,2024-08-24 11:48:00,TMĐT - Tiki,NV27,Đã giao
DH005323,KH0227,2024-08-24 11:54:00,Đại lý,NV01,Đã giao
DH002066,KH0377,2024-08-24 12:15:00,TMĐT - Shopee,NV18,Đã giao
DH007699,KH0277,2024-08-24 14:21:00,TMĐT - Lazada,NV26,Đang xử lý
DH008068,KH0041,2024-08-24 15:16:00,Bán lẻ trực tiếp,NV16,Đã giao
