MaChiPhi,Thang,KhoanMuc,SoTien
cp00098,01/09/2025,Chi phí khác,108811000.0
cp00099,01/10/2025,Lương nhân viên,6755922000.0
cp00100,10/01/2025,Thuê mặt bằng,1563137000.0
cp00101,01/10/2025,Marketing,2002025000.0
cp00102,01/10/2025,Vận chuyển,2024043000.0
cp00103,01/10/2025,Điện nước văn phòng,158574000.0
cp00104,01/10/2025,Khấu hao thiết bị,270391000.0
cp00105,01/10/2025,Chi phí khác,137244000.0
cp00106,01/11/2025,Lương nhân viên,5989172000.0
CP00107,01/11/2025,Thuê mặt bằng,1576318000.0
cp00108,01/11/2025,Marketing,4639730000.0
cp00109,01/11/2025,Vận chuyển,2979401000.0
cp00110,01/11/2025,Điện nước văn phòng,157073000.0
cp00111,11/01/2025,Khấu hao thiết bị,272959000.0
cp00112,01/11/2025,Chi phí khác,65689000.0
cp00113,01/12/2025,Lương nhân viên,6970689000.0
cp00114,01/12/2025,Thuê mặt bằng,1493944000.0
cp00115,01/12/2025,Marketing,4327222000.0
cp00116,01/12/2025,Vận chuyển,1364405000.0
cp00117,01/12/2025,Điện nước văn phòng,81616000.0
cp00118,01/12/2025,Khấu hao thiết bị,225145000.0
cp00119,01/12/2025,Chi phí khác,225412000.0
cp00120,2026-01,Lương nhân viên,5385149000.0
cp00121,01/01/2026,Thuê mặt bằng,1440082000.0
cp00122,01/01/2026,Marketing,2271465000.0
cp00123,01/01/2026,Vận chuyển,1255697000.0
cp00124,2026-01,Điện nước văn phòng,115280000.0
cp00125,01/01/2026,Khấu hao thiết bị,257451000.0
cp00126,01/01/2026,Chi phí khác,67059000.0
cp00127,01/02/2026,Lương nhân viên,6978717000.0
cp00128,01/02/2026,Thuê mặt bằng,1624554000.0
cp00129,01/02/2026,Marketing,701427000.0
cp00130,01/02/2026,Vận chuyển,624438000.0
cp00131,01/02/2026,Điện nước văn phòng,108699000.0
cp00132,01/02/2026,Khấu hao thiết bị,291290000.0
CP00133,01/02/2026,Chi phí khác,130470000.0
CP00134,01/03/2026,Lương nhân viên,5697919000.0
cp00135,01/03/2026,Thuê mặt bằng,1857399000.0
cp00136,01/03/2026,Marketing,2904395000.0
cp00137,01/03/2026,Vận chuyển,1131795000.0
cp00138,01/03/2026,Điện nước văn phòng,123011000.0
cp00139,2026-03,Khấu hao thiết bị,189824000.0
cp00140,01/03/2026,Chi phí khác,181528000.0
cp00141,01/04/2026,Lương nhân viên,5792421000.0
cp00142,01/04/2026,Thuê mặt bằng,1991964000.0
CP00143,01/04/2026,,3099532000.0
cp00144,01/04/2026,Vận chuyển,2277575000.0
cp00145,01/04/2026,Điện nước văn phòng,86550000.0
cp00146,01/04/2026,Khấu hao thiết bị,246736000.0
cp00147,01/04/2026,Chi phí khác,118448000.0
cp00148,01/05/2026,Lương nhân viên,5529406000.0
cp00149,01/05/2026,Thuê mặt bằng,1806249000.0
cp00150,01/05/2026,Marketing,2578178000.0
CP00151,01/05/2026,Vận chuyển,1875719000.0
cp00152,01/05/2026,Điện nước văn phòng,101936000.0
cp00153,01/05/2026,Khấu hao thiết bị,267969000.0
cp00154,01/05/2026,Chi phí khác,75006000.0
cp00155,2026-06,Lương nhân viên,6860390000.0
cp00156,01/06/2026,Thuê mặt bằng,1346275000.0
cp00157,01/06/2026,Marketing,1084420000.0
cp00158,01/06/2026,Vận chuyển,1133214000.0
cp00159,01/06/2026,Điện nước văn phòng,126603000.0
cp00160,01/06/2026,Khấu hao thiết bị,217894000.0
CP00161,01/06/2026,Chi phí khác,105631000.0
cp00162,01/07/2026,Lương nhân viên,4907687000.0
CP00163,01/07/2026,Thuê mặt bằng,1346627000.0
cp00164,01/07/2026,Marketing,2128324000.0
cp00165,01/07/2026,,1040727000.0
cp00166,01/07/2026,Điện nước văn phòng,119134000.0
cp00167,01/07/2026,Khấu hao thiết bị,234840000.0
cp00168,01/07/2026,Chi phí khác,83987000.0
