MaHoaDon,MaDonHang,NgayXuatHoaDon,HanThanhToan,SoTien,DaThu,ConLai
hd000063,dh009755,07/08/2024,19/08/2024,3237000.0,3237000.0,0.0
hd000064,dh003109,07/08/2024,18/08/2024,2493900.0,2493900.0,0.0
hd000065,dh008606,05/08/2024,29/09/2024,101308000.0,11100700.0,90207300.0
hd000066,dh003045,07/08/2024,16/08/2024,1183000.0,1183000.0,0.0
hd000067,dh003658,2024-08-08,16/08/2024,910000.0,910000.0,0.0
HD000068,DH011726,08/08/2024,23/08/2024,2022000.0,2022000.0,0.0
hd000069,dh007358,07/08/2024,19/08/2024,1191600.0,231300.0,960300.0
hd000070,dh006757,07/08/2024,22/08/2024,1128000.0,1067700.0,60300.0
hd000071,DH003589,09/08/2024,10/06/2024,342569700.0,342569700.0,0.0
hd000072,DH006647,09/08/2024,18/08/2024,9845000.0,8685500.0,1159500.0
hd000073,DH900002,09/08/2024,30/10/2024,165735600.0,165735600.0,0.0
HD000074,dh003264,06/08/2024,18/10/2024,176409600.0,176409600.0,0.0
hd000075,dh007610,07/08/2024,07/10/2024,227650100.0,79729200.0,147920900.0
hd000076,dh009720,08/08/2024,22/08/2024,1514300.0,1514300.0,0.0
hd000077,dh006712,08/08/2024,17/08/2024,631800.0,631800.0,0.0
HD000078,dh007979,08/08/2024,2024-08-22,872100.0,769100.0,103000.0
hd000079,dh005379,06/08/2024,16/08/2024,639200.0,639200.0,0.0
hd000080,dh002404,08/08/2024,25/10/2024,660358600.0,73249500.0,587109100.0
HD000081,dh001159,08/08/2024,16/08/2024,2897200.0,2897200.0,0.0
hd000082,dh006297,06/08/2024,14/08/2024,5011000.0,5011000.0,0.0
hd000083,dh001091,07/08/2024,15/08/2024,10654800.0,10654800.0,0.0
hd000084,dh008380,06/08/2024,18/10/2024,372349200.0,135397500.0,236951700.0
hd000085,dh000950,06/08/2024,15/08/2024,8502000.0,8502000.0,0.0
hd000086,dh009110,08/08/2024,23/10/2024,830605700.0,830605700.0,0.0
hd000087,dh004519,09/08/2024,20/08/2024,4656000.0,4656000.0,0.0
hd000088,DH900007,10/08/2024,24/08/2024,9938500.0,9938500.0,0.0
HD000089,dh006310,07/08/2024,27/09/2024,102874400.0,102874400.0,0.0
hd000090,dh000787,07/08/2024,17/08/2024,2601000.0,2601000.0,0.0
hd000091,dh003988,07/08/2024,20/08/2024,7102600.0,7102600.0,0.0
hd000092,dh009659,08/08/2024,10/10/2024,174910600.0,174910600.0,0.0
hd000093,dh004394,07/08/2024,10/10/2024,91066000.0,91066000.0,0.0
hd000094,DH008747,07/08/2024,16/08/2024,834300.0,834300.0,0.0
hd000095,dh010097,07/08/2024,19/10/2024,648857600.0,291403300.0,357454300.0
hd000096,dh000158,10/08/2024,07/11/2024,237462000.0,237462000.0,0.0
HD000097,dh004505,08/08/2024,23/08/2024,11725000.0,11725000.0,0.0
HD000098,dh007722,08/08/2024,05/10/2024,180129000.0,180129000.0,0.0
hd000099,dh005114,08/08/2024,16/08/2024,2930000.0,1199400.0,1730600.0
HD000100,dh005430,09/08/2024,16/08/2024,2918000.0,2918000.0,0.0
hd000101,,08/08/2024,15/08/2024,3986300.0,3986300.0,0.0
hd000102,dh000483,08/08/2024,23/08/2024,313200.0,274400.0,38800.0
hd000103,dh002644,10/08/2024,14/10/2024,224661500.0,224661500.0,0.0
HD000104,DH000292,10/08/2024,19/08/2024,2708000.0,2708000.0,0.0
hd000105,DH008801,09/08/2024,26/10/2024,148281000.0,51484500.0,96796500.0
hd000106,dh001002,08/08/2024,01/11/2024,492102600.0,335855000.0,156247600.0
HD000107,dh010323,11/08/2024,23/08/2024,9303600.0,9303600.0,0.0
hd000108,dh005242,11/08/2024,13/10/2024,22474300.0,3371700.0,19102600.0
hd000109,dh007878,09/08/2024,08/10/2024,390204600.0,390204600.0,0.0
hd000110,dh011634,09/08/2024,06/10/2024,223469100.0,144618700.0,78850400.0
hd000111,dh008786,09/08/2024,19/08/2024,5040000.0,5040000.0,0.0
hd000112,dh011865,08/08/2024,06/10/2024,119578100.0,77892600.0,41685500.0
HD000113,dh004577,09/08/2024,22/08/2024,7303800.0,7303800.0,0.0
hd000114,dh001835,09/08/2024,17/10/2024,523929400.0,523929400.0,0.0
hd000115,dh002828,09/08/2024,08/10/2024,232332700.0,232332700.0,0.0
hd000116,dh009728,12/08/2024,2024-10-30,129062000.0,129062000.0,0.0
hd000117,dh009105,09/08/2024,23/08/2024,3516000.0,3516000.0,0.0
hd000118,dh003990,12/08/2024,24/08/2024,3736000.0,2553900.0,1182100.0
hd000119,dh002920,12/08/2024,01/11/2024,504149000.0,416634500.0,87514500.0
hd000120,DH011880,08/11/2024,22/08/2024,10557000.0,10557000.0,0.0
hd000121,dh006382,12/08/2024,20/08/2024,956200.0,956200.0,0.0
hd000122,dh010992,11/08/2024,19/08/2024,6074500.0,6074500.0,0.0
hd000123,dh005163,09/08/2024,18/08/2024,4167500.0,4167500.0,0.0
hd000124,dh003047,09/08/2024,11/10/2024,510188400.0,510188400.0,0.0
hd000125,dh001309,12/08/2024,23/08/2024,1720000.0,1720000.0,0.0
hd000126,dh005234,11/08/2024,21/10/2024,155179800.0,18545700.0,136634100.0
hd000127,dh008406,10/08/2024,25/08/2024,1125900.0,1125900.0,0.0
hd000128,dh005126,09/08/2024,16/08/2024,656000.0,656000.0,0.0
hd000129,DH900004,10/08/2024,06/11/2024,42879100.0,42879100.0,0.0
hd000130,dh002152,11/08/2024,27/10/2024,502741400.0,502741400.0,0.0
hd000131,dh004162,11/08/2024,01/11/2024,126174000.0,126174000.0,0.0
HD000132,,11/08/2024,28/09/2024,450824200.0,268266300.0,182557900.0
hd000133,dh004703,11/08/2024,23/08/2024,2005000.0,2005000.0,0.0
hd000134,dh010128,12/08/2024,21/08/2024,200000.0,200000.0,0.0
HD000135,dh001317,10/08/2024,25/08/2024,2505600.0,2505600.0,0.0
hd000136,dh001371,11/08/2024,22/08/2024,755000.0,755000.0,0.0
hd000137,dh000332,10/08/2024,18/08/2024,9315800.0,9315800.0,0.0
hd000138,dh002713,12/08/2024,13/10/2024,316006300.0,208595400.0,107410900.0
HD000139,dh004354,11/08/2024,23/08/2024,1045800.0,1045800.0,0.0
hd000140,DH002207,12/08/2024,27/08/2024,793000.0,793000.0,0.0
hd000141,dh010131,11/08/2024,22/08/2024,1208700.0,1208700.0,0.0
hd000142,dh010701,08/13/2024,07/11/2024,80001000.0,80001000.0,0.0
hd000143,dh003334,12/08/2024,09/10/2024,45348800.0,35243600.0,10105200.0
HD000144,dh009452,11/08/2024,29/09/2024,541853800.0,243077100.0,298776700.0
hd000145,dh010455,14/08/2024,27/08/2024,2538000.0,2538000.0,0.0
hd000146,dh006259,13/08/2024,27/08/2024,6311800.0,6311800.0,0.0
HD000147,dh008988,12/08/2024,24/08/2024,6963400.0,6963400.0,0.0
HD000148,dh000335,14/08/2024,22/08/2024,1232100.0,1232100.0,0.0
hd000149,dh004551,14/08/2024,28/09/2024,27048600.0,27048600.0,0.0
hd000150,dh002239,13/08/2024,21/08/2024,12717000.0,12717000.0,0.0
hd000151,dh000145,11/08/2024,21/10/2024,64037700.0,64037700.0,0.0
hd000152,dh001461,12/08/2024,20/10/2024,195912300.0,195912300.0,0.0
hd000153,dh004951,11/08/2024,2024-08-23,5072800.0,5072800.0,0.0
hd000154,DH004188,15/08/2024,30/08/2024,1351000.0,1351000.0,0.0
HD000155,dh004272,14/08/2024,27/08/2024,416000.0,416000.0,0.0
hd000156,dh006211,14/08/2024,25/08/2024,1719000.0,1719000.0,0.0
hd000157,dh003720,13/08/2024,25/08/2024,2658400.0,1453800.0,1204600.0
hd000158,dh002879,12/08/2024,20/08/2024,759200.0,759200.0,0.0
HD000159,dh009638,2024-08-14,25/08/2024,128200.0,128200.0,0.0
hd000160,,15/08/2024,25/08/2024,11192000.0,11192000.0,0.0
hd000161,dh007307,12/08/2024,27/08/2024,2546400.0,2546400.0,0.0
hd000162,dh003012,15/08/2024,25/08/2024,913500.0,913500.0,0.0
hd000163,DH005072,15/08/2024,09/11/2024,316472100.0,316472100.0,0.0
hd000164,dh009127,15/08/2024,30/08/2024,1973200.0,1973200.0,0.0
HD000165,dh006075,16/08/2024,10/10/2024,319748600.0,25874400.0,293874200.0
HD000166,dh001142,13/08/2024,22/08/2024,688000.0,688000.0,0.0
hd000167,DH006654,13/08/2024,20/08/2024,8816000.0,5121600.0,3694400.0
hd000168,dh002851,14/08/2024,09/10/2024,139478300.0,90869100.0,48609200.0
hd000169,dh008718,16/08/2024,04/10/2024,491250600.0,49970000.0,441280600.0
hd000170,dh006768,2024-08-15,23/08/2024,100800.0,100800.0,0.0
hd000171,dh008745,15/08/2024,26/10/2024,452987200.0,117663900.0,335323300.0
hd000172,dh007903,16/08/2024,26/08/2024,85000.0,85000.0,0.0
HD000173,dh007342,13/08/2024,24/08/2024,2097000.0,2097000.0,0.0
hd000174,DH002998,16/08/2024,05/10/2024,400410000.0,400410000.0,0.0
HD000175,dh004430,14/08/2024,28/09/2024,330809600.0,330809600.0,0.0
hd000176,dh005172,13/08/2024,04/11/2024,369587200.0,264416900.0,105170300.0
hd000177,DH010811,13/08/2024,24/08/2024,6823800.0,6823800.0,0.0
hd000178,dh003013,13/08/2024,27/08/2024,7889300.0,7889300.0,0.0
hd000179,dh008244,15/08/2024,22/10/2024,117332200.0,18950500.0,98381700.0
hd000180,dh003671,16/08/2024,15/10/2024,126250600.0,90932100.0,35318500.0
hd000181,dh002090,16/08/2024,29/08/2024,10055000.0,6809500.0,3245500.0
hd000182,dh000308,15/08/2024,29/08/2024,3750200.0,741800.0,3008400.0
hd000183,DH900009,15/08/2024,13/11/2024,207091900.0,207091900.0,0.0
hd000184,dh009141,15/08/2024,24/08/2024,1514700.0,1514700.0,0.0
hd000185,dh011960,14/08/2024,2024-11-07,108752800.0,108752800.0,0.0
hd000186,DH001358,16/08/2024,23/08/2024,4454600.0,4454600.0,0.0
HD000187,dh006788,15/08/2024,17/10/2024,245832600.0,231809100.0,14023500.0
HD000188,dh000081,2024-08-15,29/08/2024,4976000.0,4976000.0,0.0
hd000189,dh007760,17/08/2024,03/11/2024,146699700.0,146699700.0,0.0
hd000190,,18/08/2024,27/08/2024,5670000.0,5670000.0,0.0
hd000191,dh001294,2024-08-15,08/11/2024,371183900.0,371183900.0,0.0
hd000192,dh007103,17/08/2024,03/10/2024,96976500.0,96976500.0,0.0
HD000193,dh000456,18/08/2024,02/09/2024,22100.0,13500.0,8600.0
HD000194,dh009014,17/08/2024,24/08/2024,6213000.0,6213000.0,0.0
hd000195,,16/08/2024,30/09/2024,778239500.0,778239500.0,0.0
hd000196,DH005292,17/08/2024,25/08/2024,1316000.0,1316000.0,0.0
HD000197,DH001652,17/08/2024,15/10/2024,124177000.0,89883900.0,34293100.0
hd000198,dh010699,15/08/2024,26/08/2024,1460000.0,1460000.0,0.0
hd000199,dh010783,18/08/2024,11/11/2024,444117800.0,444117800.0,0.0
hd000200,dh001132,15/08/2024,13/11/2024,353685600.0,270638700.0,83046900.0
hd000201,dh003331,16/08/2024,02/10/2024,48387100.0,10524500.0,37862600.0
hd000202,dh009870,15/08/2024,11/11/2024,555791500.0,167906900.0,387884600.0
hd000203,dh000624,18/08/2024,31/08/2024,5511000.0,5511000.0,0.0
hd000204,dh008540,16/08/2024,19/10/2024,234721300.0,97883700.0,136837600.0
HD000205,dh002210,19/08/2024,26/08/2024,6716500.0,6716500.0,0.0
HD000206,,16/08/2024,2024-08-26,1332500.0,1332500.0,0.0
hd000207,DH003221,17/08/2024,26/08/2024,382500.0,382500.0,0.0
hd000208,dh005097,17/08/2024,31/08/2024,1011800.0,1011800.0,0.0
hd000209,dh010089,17/08/2024,07/11/2024,360513400.0,168618500.0,191894900.0
hd000210,dh010869,19/08/2024,29/08/2024,7861000.0,4500100.0,3360900.0
HD000211,DH009332,18/08/2024,11/10/2024,294399200.0,294399200.0,0.0
hd000212,dh007508,17/08/2024,31/08/2024,7162000.0,7162000.0,0.0
HD000213,dh001238,18/08/2024,27/08/2024,477900.0,477900.0,0.0
hd000214,dh000703,17/08/2024,31/08/2024,1139600.0,1139600.0,0.0
hd000215,DH008851,17/08/2024,27/10/2024,56778400.0,13787600.0,42990800.0
HD000216,dh003695,19/08/2024,27/08/2024,6406200.0,4291500.0,2114700.0
HD000217,dh004182,17/08/2024,31/08/2024,1700800.0,1700800.0,0.0
hd000218,dh003332,19/08/2024,2024-10-11,200705800.0,200705800.0,0.0
hd000219,dh007668,17/08/2024,04/11/2024,652651800.0,237727300.0,414924500.0
HD000220,dh006345,19/08/2024,20/10/2024,198847800.0,198847800.0,0.0
HD000221,dh009137,17/08/2024,20/10/2024,266489600.0,53155900.0,213333700.0
hd000222,dh002601,18/08/2024,29/08/2024,10095300.0,10095300.0,0.0
HD000223,dh008916,18/08/2024,18/10/2024,642316200.0,541593800.0,100722400.0
hd000224,dh008573,20/08/2024,27/08/2024,176000.0,176000.0,0.0
hd000225,dh010069,19/08/2024,04/11/2024,271160700.0,271160700.0,0.0
hd000226,dh002012,19/08/2024,29/08/2024,8301800.0,8301800.0,0.0
hd000227,dh000597,20/08/2024,11/04/2024,655890700.0,392748400.0,263142300.0
hd000228,dh000687,20/08/2024,03/09/2024,10495100.0,10495100.0,0.0
HD000229,dh009182,20/08/2024,10/11/2024,281130400.0,266869100.0,14261300.0
hd000230,dh000117,20/08/2024,10/11/2024,167316700.0,167316700.0,0.0
HD000231,dh000743,19/08/2024,15/10/2024,447794000.0,166116900.0,281677100.0
hd000232,dh002430,18/08/2024,31/08/2024,313200.0,313200.0,0.0
hd000233,dh007047,20/08/2024,05/11/2024,168545000.0,168545000.0,0.0
hd000234,dh003434,20/08/2024,02/09/2024,8739900.0,8739900.0,0.0
hd000235,dh003643,22/08/2024,01/09/2024,6650200.0,2764800.0,3885400.0
hd000236,dh004057,19/08/2024,27/10/2024,486744300.0,322035500.0,164708800.0
hd000237,dh001502,20/08/2024,30/08/2024,378000.0,378000.0,0.0
hd000238,dh009404,19/08/2024,29/08/2024,1028000.0,1028000.0,0.0
hd000239,dh007725,21/08/2024,28/08/2024,16180000.0,16180000.0,0.0
hd000240,dh006597,21/08/2024,03/09/2024,1179000.0,1179000.0,0.0
hd000241,dh004758,19/08/2024,31/08/2024,6090000.0,6090000.0,0.0
hd000242,DH900002,19/08/2024,29/08/2024,8240200.0,6625800.0,1614400.0
hd000243,dh009276,21/08/2024,30/08/2024,1800000.0,1800000.0,0.0
hd000244,dh004756,20/08/2024,04/11/2024,275716100.0,275716100.0,0.0
hd000245,dh011560,21/08/2024,13/11/2024,305009200.0,177651400.0,127357800.0
hd000246,dh002696,22/08/2024,08/10/2024,107204900.0,107204900.0,0.0
hd000247,DH010588,20/08/2024,08/11/2024,534146300.0,534146300.0,0.0
HD000248,dh009944,2024-08-22,03/09/2024,3692800.0,3692800.0,0.0
hd000249,dh004384,21/08/2024,02/11/2024,245102400.0,245102400.0,0.0
hd000250,DH006077,21/08/2024,16/10/2024,224633100.0,43001100.0,181632000.0
HD000251,dh008902,23/08/2024,01/09/2024,2978100.0,2978100.0,0.0
hd000252,,22/08/2024,06/09/2024,3138000.0,3138000.0,0.0
hd000253,dh006370,20/08/2024,30/08/2024,1477000.0,1477000.0,0.0
hd000254,dh008568,23/08/2024,06/09/2024,4560200.0,4560200.0,0.0
hd000255,dh001450,22/08/2024,21/10/2024,217720200.0,170457500.0,47262700.0
hd000256,dh000273,20/08/2024,19/10/2024,485450300.0,485450300.0,0.0
hd000257,dh009721,22/08/2024,16/11/2024,411881800.0,48632400.0,363249400.0
HD000258,dh003783,21/08/2024,02/09/2024,474000.0,474000.0,0.0
hd000259,dh002699,20/08/2024,04/09/2024,2250000.0,2250000.0,0.0
hd000260,DH003202,22/08/2024,05/11/2024,240909000.0,240909000.0,0.0
hd000261,dh005763,21/08/2024,07/10/2024,258620400.0,258620400.0,0.0
HD000262,dh000416,23/08/2024,19/11/2024,455946900.0,102066800.0,353880100.0
HD000263,dh008470,22/08/2024,08/11/2024,179300200.0,137008400.0,42291800.0
hd000264,dh009796,23/08/2024,03/09/2024,6557000.0,6557000.0,0.0
hd000265,dh011252,24/08/2024,31/10/2024,278007800.0,97338100.0,180669700.0
hd000266,dh008133,23/08/2024,11/11/2024,442303500.0,295451600.0,146851900.0
hd000267,dh005766,24/08/2024,13/11/2024,335489200.0,225288200.0,110201000.0
hd000268,dh000230,21/08/2024,07/11/2024,365076000.0,365076000.0,0.0
hd000269,dh005573,21/08/2024,28/08/2024,52000.0,52000.0,0.0
HD000270,dh002681,23/08/2024,17/11/2024,500712000.0,500712000.0,0.0
hd000271,dh002464,24/08/2024,08/09/2024,3946200.0,3946200.0,0.0
hd000272,dh006882,22/08/2024,31/08/2024,1332800.0,885900.0,446900.0
hd000273,dh009974,24/08/2024,08/09/2024,1399000.0,1399000.0,0.0
hd000274,dh003326,24/08/2024,05/11/2024,150075800.0,150075800.0,0.0
HD000275,,24/08/2024,03/09/2024,1558900.0,1558900.0,0.0
hd000276,dh011823,25/08/2024,26/10/2024,423279200.0,423279200.0,0.0
hd000277,dh004935,24/08/2024,07/11/2024,312178800.0,312178800.0,0.0
hd000278,dh007646,24/08/2024,03/09/2024,9385000.0,9385000.0,0.0
hd000279,dh006048,23/08/2024,07/09/2024,12977900.0,12977900.0,0.0
hd000280,dh010098,25/08/2024,11/10/2024,262866200.0,256552100.0,6314100.0
hd000281,dh010518,22/08/2024,31/08/2024,3477600.0,3477600.0,0.0
hd000282,dh003208,23/08/2024,16/11/2024,497876600.0,32617600.0,465259000.0
HD000283,dh005108,25/08/2024,21/11/2024,223363800.0,181074100.0,42289700.0
hd000284,dh001728,25/08/2024,10/19/2024,617125100.0,617125100.0,0.0
hd000285,dh011343,22/08/2024,08/11/2024,354627400.0,354627400.0,0.0
HD000286,dh005320,25/08/2024,08/09/2024,721800.0,721800.0,0.0
HD000287,dh009086,24/08/2024,14/11/2024,145690800.0,44469700.0,101221100.0
HD000288,dh003619,22/08/2024,2024-09-01,5845400.0,5845400.0,0.0
HD000289,dh007956,24/08/2024,18/10/2024,464788200.0,464788200.0,0.0
hd000290,DH900000,24/08/2024,02/09/2024,59000.0,59000.0,0.0
hd000291,dh007179,23/08/2024,06/09/2024,4127000.0,4127000.0,0.0
hd000292,,24/08/2024,09/08/2024,4087400.0,4087400.0,0.0
HD000293,dh000949,25/08/2024,2024-10-26,278421300.0,278421300.0,0.0
hd000294,dh009814,26/08/2024,31/10/2024,558961400.0,474457400.0,84504000.0
hd000295,dh010941,25/08/2024,09/09/2024,1182000.0,1182000.0,0.0
hd000296,dh008364,27/08/2024,08/09/2024,8257700.0,6909000.0,1348700.0
hd000297,dh001721,27/08/2024,11/23/2024,535502000.0,161635000.0,373867000.0
HD000298,dh000935,26/08/2024,02/09/2024,2456200.0,2456200.0,0.0
HD000299,dh006541,27/08/2024,04/09/2024,1726100.0,1726100.0,0.0
hd000300,dh004587,26/08/2024,09/09/2024,1950800.0,1950800.0,0.0
HD000301,dh000388,25/08/2024,2024-11-03,110382400.0,110382400.0,0.0
hd000302,dh008797,26/08/2024,07/09/2024,338400.0,286500.0,51900.0
hd000303,DH900003,27/08/2024,03/09/2024,2678000.0,2678000.0,0.0
hd000304,dh002066,24/08/2024,04/09/2024,31000.0,31000.0,0.0
hd000305,dh007699,24/08/2024,09/10/2024,246787900.0,35913700.0,210874200.0
hd000306,dh008068,25/08/2024,01/09/2024,746700.0,128000.0,618700.0
hd000307,dh006836,25/08/2024,09/09/2024,5447200.0,5447200.0,0.0
hd000308,dh008518,25/08/2024,25/10/2024,424747400.0,424747400.0,0.0
hd000309,dh008265,24/08/2024,21/11/2024,299552000.0,299552000.0,0.0
hd000310,dh002006,26/08/2024,07/09/2024,3215600.0,1947600.0,1268000.0
hd000311,dh010229,26/08/2024,06/09/2024,16436800.0,16436800.0,0.0
hd000312,dh008462,27/08/2024,03/09/2024,208000.0,37800.0,170200.0
hd000313,dh000806,25/08/2024,27/10/2024,809383400.0,809383400.0,0.0
hd000314,DH004652,25/08/2024,05/09/2024,8418000.0,8418000.0,0.0
hd000315,dh008809,25/08/2024,04/09/2024,842000.0,842000.0,0.0
hd000316,DH006057,28/08/2024,06/11/2024,517300300.0,517300300.0,0.0
hd000317,dh003981,25/08/2024,04/09/2024,860200.0,551000.0,309200.0
hd000318,dh002770,28/08/2024,11/09/2024,1539800.0,1539800.0,0.0
hd000319,dh004203,26/08/2024,02/11/2024,240510300.0,240510300.0,0.0
hd000320,dh000291,25/08/2024,25/10/2024,522053700.0,522053700.0,0.0
hd000321,dh010973,25/08/2024,03/09/2024,2837300.0,2837300.0,0.0
hd000322,dh004806,25/08/2024,05/09/2024,1539000.0,1539000.0,0.0
hd000323,dh002667,25/08/2024,07/09/2024,2103500.0,1844500.0,259000.0
hd000324,dh007566,28/08/2024,09/09/2024,7038000.0,7038000.0,0.0
hd000325,dh002515,25/08/2024,11/15/2024,134540000.0,134540000.0,0.0
hd000326,dh003390,27/08/2024,09/07/2024,1504100.0,1504100.0,0.0
hd000327,dh009263,27/08/2024,03/09/2024,2829600.0,2829600.0,0.0
hd000328,dh001540,26/08/2024,10/22/2024,415548000.0,415548000.0,0.0
hd000329,dh006347,28/08/2024,22/10/2024,145709100.0,7391700.0,138317400.0
hd000330,dh007138,28/08/2024,07/09/2024,1080000.0,1080000.0,0.0
hd000331,dh002768,28/08/2024,26/10/2024,419674500.0,419674500.0,0.0
HD000332,dh002149,27/08/2024,12/11/2024,343190800.0,343190800.0,0.0
hd000333,dh000545,27/08/2024,08/09/2024,1368000.0,1368000.0,0.0
hd000334,dh011789,29/08/2024,08/09/2024,15656500.0,15656500.0,0.0
hd000335,dh006993,26/08/2024,23/10/2024,660473300.0,209383200.0,451090100.0
hd000336,dh011413,28/08/2024,11/09/2024,2751000.0,2751000.0,0.0
hd000337,dh009751,29/08/2024,12/09/2024,696200.0,696200.0,0.0
hd000338,dh003034,28/08/2024,10/09/2024,627000.0,627000.0,0.0
HD000339,dh006531,28/08/2024,10/09/2024,5817000.0,5817000.0,0.0
hd000340,dh002581,27/08/2024,05/09/2024,2650000.0,2650000.0,0.0
hd000341,dh006421,29/08/2024,06/11/2024,113114000.0,42994900.0,70119100.0
hd000342,dh001559,29/08/2024,05/09/2024,1960000.0,1960000.0,0.0
hd000343,dh006438,28/08/2024,19/10/2024,374727800.0,374727800.0,0.0
HD000344,DH006943,30/08/2024,12/11/2024,333639800.0,333639800.0,0.0
HD000345,dh001218,28/08/2024,21/11/2024,58175400.0,58175400.0,0.0
hd000346,dh008949,30/08/2024,28/11/2024,975477600.0,975477600.0,0.0
