Thang,Vung,MaNhanVien,ChiTieuDoanhThu
2024-10,Miền Trung,NV-04,3795837000.0
2024-10,Miền Trung,NV-05,
2024-10,M.Trung,NV06,3211623000.0
2024-10,Miền Trung,NV07,3265903000.0
10/2024,MT,NV-11,3559229000.0
2024-10,Miền Trung,NV-16,2614288000.0
2024-10,Miền Trung,NV-18,3055117000.0
2024-10,Miền Trung,NV-21,2373404000.0
2024-10,Miền Trung,NV-24,2988752000.0
2024-11,Miền Bắc,NV-08,3612236000.0
2024-11,Miền Bắc,NV-10,3435122000.0
Nov-24,M.Bắc,NV-13,2474759000.0
2024-11,MB,NV-15,3083163000.0
2024-11,Miền Bắc,NV-17,3443793000.0
2024-11,Miền Bắc,NV-19,3085263000.0
2024-11,M.Bắc,NV-20,2511275000.0
2024-11,Bắc,NV-22,3142472000.0
2024-11,Miền Bắc,NV-30,2855341000.0
2024-11,Miền Nam,NV-01,2076543000.0
2024-11,Miền Nam,NV-02,1820464000.0
2024-11,Miền Nam,NV-09,2183780000.0
2024-11,Miền Nam,NV12,2841226000.0
2024-11,Miền Nam,NV-14,1951407000.0
2024-11,Miền Nam,NV-23,1872325000.0
2024-11,Miền Nam,NV-25,1608580000.0
11/2024,Miền Nam,NV-26,1996624000.0
2024-11,SG,NV-27,3220340000.0
2024-11,Miền Nam,NV-28,2600697000.0
2024-11,SG,NV-29,2090489000.0
2024-11,Miền Trung,NV03,2600514000.0
2024-11,Central,NV-04,4116507000.0
2024-11,Miền Trung,NV-05,2956692000.0
2024-11,Central,NV92,3357771000.0
2024-11,Miền Trung,NV-07,3608012000.0
2024-11,MT,NV-11,3668069000.0
2024-11,Miền Trung,NV16,2782961000.0
11/2024,Miền Trung,NV-18,3106915000.0
Tháng 11/2024,M.Trung,NV-21,2428531000.0
2024-11,Miền Trung,NV-24,3134767000.0
2024-12,Miền Bắc,NV-08,4689816000.0
2024-12,Miền Bắc,NV-10,4432550000.0
Dec-24,Miền Bắc,NV-13,3304572000.0
2024-12,Miền Bắc,NV15,4284558000.0
2024-12,Miền Bắc,NV-17,4366837000.0
2024-12,Bắc,NV-19,3957031000.0
Tháng 12/2024,M.Bắc,NV-20,3165211000.0
2024-12,Miền Bắc,NV-22,
2024-12,Miền Bắc,NV30,3913205000.0
2024-12,Miền Nam,NV-01,3703960000.0
2024-12,Miền Nam,NV-02,3342292000.0
2024-12,Miền Nam,NV-09,4147189000.0
2024-12,Miền Nam,NV-12,5577649000.0
2024-12,M.Nam,NV-14,3556848000.0
Tháng 12/2024,Miền Nam,NV-23,3473016000.0
2024-12,Miền Nam,NV-25,3056018000.0
2024-12,M.Nam,NV-26,3960951000.0
2024-12,Miền Nam,NV27,6012861000.0
2024-12,South,NV-28,
12/2024,Miền Nam,NV-29,3821629000.0
2024-12,Central,NV-03,4425602000.0
Tháng 12/2024,Miền Trung,NV-04,7137637000.0
2024-12,Central,NV-05,5167937000.0
2024-12,MT,NV-06,6029224000.0
2024-12,Miền Trung,NV07,5834454000.0
2024-12,Miền Trung,NV-11,6517708000.0
2024-12,M.Trung,NV-16,5053879000.0
2024-12,Miền Trung,NV-18,5332675000.0
2024-12,Miền Trung,NV-21,4353728000.0
2024-12,Miền Trung,NV-24,5852881000.0
2025-01,M.Bắc,NV-08,3237814000.0
2025-01,MB,NV10,2870506000.0
2025-01,Miền Bắc,NV-13,2248274000.0
2025-01,Bắc,NV15,2608604000.0
2025-01,Miền Bắc,NV-17,2791688000.0
2025-01,Bắc,NV-19,2695554000.0
2025-01,Miền Bắc,NV-20,2125476000.0
2025-01,Miền Bắc,NV-22,2622007000.0
2025-01,Miền Bắc,NV-30,2576282000.0
2025-01,Miền Nam,NV01,2896006000.0
01/2025,Miền Nam,NV-02,2461606000.0
2025-01,MN,NV-09,3001916000.0
2025-01,MN,NV-12,4165253000.0
2025-01,Miền Nam,NV-14,2678904000.0
2025-01,Miền Nam,NV-23,2548042000.0
2025-01,Miền Nam,NV-25,2274736000.0
Tháng 01/2025,SG,NV-26,3003554000.0
2025-01,Miền Nam,NV-27,4422051000.0
2025-01,Miền Nam,NV-28,3422734000.0
2025-01,M.Nam,NV-29,2919364000.0
2025-01,Miền Trung,NV03,3601068000.0
2025-01,Miền Trung,NV-04,5676332000.0
2025-01,Miền Trung,NV-05,3863059000.0
2025-01,MT,NV-06,4610619000.0
2025-01,Miền Trung,NV-07,4661055000.0
2025-01,Miền Trung,NV-11,4822649000.0
2025-01,Miền Trung,NV-16,3913968000.0
2025-01,MT,NV-18,4331085000.0
2025-01,Miền Trung,NV-21,3090362000.0
2025-01,MT,NV-24,4291597000.0
2025-02,Bắc,NV-08,2236933000.0
2025-02,M.Bắc,NV-10,1991212000.0
2025-02,Miền Bắc,NV-13,1520952000.0
2025-02,Miền Bắc,NV-15,1928139000.0
2025-02,Miền Bắc,NV-17,2000142000.0
Feb-25,Miền Bắc,NV-19,1798117000.0
2025-02,Miền Bắc,NV-20,1394752000.0
2025-02,Miền Bắc,NV-22,1734834000.0
02/2025,M.Bắc,NV-30,1709728000.0
2025-02,Miền Nam,NV-01,1627427000.0
2025-02,Miền Nam,NV-02,1302519000.0
2025-02,Miền Nam,NV-09,1668999000.0
02/2025,Miền Nam,NV-12,2360900000.0
Feb-25,Miền Nam,NV-14,1608461000.0
2025-02,Miền Nam,NV23,1524079000.0
2025-02,Miền Nam,NV-25,1373273000.0
2025-02,Miền Nam,NV-26,1622221000.0
2025-02,Miền Nam,NV-27,2607081000.0
2025-02,Miền Nam,NV-28,1968391000.0
2025-02,SG,NV-29,1565977000.0
02/2025,Miền Trung,NV-03,1450012000.0
Feb-25,Central,NV-04,2387603000.0
2025-02,MT,NV05,1811942000.0
2025-02,Miền Trung,NV-06,
2025-02,Miền Trung,NV-07,1961069000.0
2025-02,Miền Trung,NV-11,2155264000.0
2025-02,Miền Trung,NV-16,1600152000.0
2025-02,Miền Trung,NV-18,1980474000.0
2025-02,M.Trung,NV-21,1437638000.0
2025-02,Miền Trung,NV-24,1879666000.0
2025-03,Miền Bắc,NV-08,2468342000.0
2025-03,Miền Bắc,NV-10,2326878000.0
2025-03,North,NV-13,1676758000.0
2025-03,MB,NV-15,2219160000.0
2025-03,M.Bắc,NV-17,2237869000.0
2025-03,Miền Bắc,NV19,1972315000.0
2025-03,Miền Bắc,NV-20,1600356000.0
2025-03,North,NV-22,2025564000.0
03/2025,Miền Bắc,NV-30,2037545000.0
2025-03,Miền Nam,NV-01,1489258000.0
2025-03,Miền Nam,NV-02,1274845000.0
2025-03,Miền Nam,NV-09,1484154000.0
2025-03,Miền Nam,NV-12,2044922000.0
2025-03,Miền Nam,NV14,1388463000.0
2025-03,South,NV23,1361479000.0
2025-03,Miền Nam,NV-25,1240949000.0
2025-03,Miền Nam,NV-26,1443462000.0
2025-03,HCM,NV-27,2359166000.0
2025-03,HCM,NV-28,1814523000.0
2025-03,South,NV-29,
2025-03,Central,NV-03,2309421000.0
2025-03,Miền Trung,NV-04,3691580000.0
2025-03,Miền Trung,NV-05,2507506000.0
2025-03,Miền Trung,NV06,2902757000.0
2025-03,Miền Trung,NV-07,3018890000.0
2025-03,Miền Trung,NV-11,3255052000.0
2025-03,Miền Trung,NV-16,2521381000.0
2025-03,Miền Trung,NV-18,2846428000.0
2025-03,Miền Trung,NV-21,
2025-03,Miền Trung,NV-24,2894737000.0
2025-04,Miền Bắc,NV-08,2311271000.0
2025-04,Miền Bắc,NV-10,2048051000.0
2025-04,Miền Bắc,NV13,1545773000.0
2025-04,Miền Bắc,NV-15,2038547000.0
04/2025,Miền Bắc,NV17,2180986000.0
2025-04,Miền Bắc,NV-19,1972096000.0
2025-04,Miền Bắc,NV-20,1508868000.0
2025-04,Miền Bắc,NV-22,1875951000.0
2025-04,Bắc,NV30,1689285000.0
2025-04,Miền Nam,NV-01,1637956000.0
2025-04,HCM,NV02,1457257000.0
2025-04,HCM,NV-09,1848610000.0
2025-04,Miền Nam,NV-12,2392441000.0
2025-04,Miền Nam,NV-14,1721251000.0
2025-04,Miền Nam,NV-23,1542699000.0
2025-04,Miền Nam,NV-25,1341738000.0
2025-04,HCM,NV-26,1789485000.0
2025-04,Miền Nam,NV93,2642943000.0
2025-04,Miền Nam,NV28,2166397000.0
2025-04,Miền Nam,NV-29,1762952000.0
2025-04,Trung,NV-03,2170650000.0
04/2025,Miền Trung,NV04,3575786000.0
2025-04,Miền Trung,NV-05,2741568000.0
Apr-25,M.Trung,NV-06,2800638000.0
2025-04,Miền Trung,NV-07,2893678000.0
2025-04,Miền Trung,NV-11,3308519000.0
2025-04,Miền Trung,NV-16,2565857000.0
Apr-25,Miền Trung,NV-18,2833736000.0
2025-04,MT,NV-21,2169944000.0
2025-04,Miền Trung,NV-24,2904888000.0
May-25,North,NV08,2812003000.0
2025-05,Miền Bắc,NV-10,2849514000.0
2025-05,Miền Bắc,NV-13,1935296000.0
May-25,Miền Bắc,NV-15,2451677000.0
2025-05,Miền Bắc,NV-17,
2025-05,North,NV-19,2455519000.0
2025-05,Miền Bắc,NV20,1957441000.0
2025-05,Miền Bắc,NV-22,2408694000.0
2025-05,Miền Bắc,NV-30,2329479000.0
2025-05,Miền Nam,NV91,1643889000.0
2025-05,Miền Nam,NV-02,1440027000.0
2025-05,M.Nam,NV-09,1818875000.0
2025-05,South,NV-12,2492225000.0
2025-05,Miền Nam,NV-14,1648697000.0
2025-05,Miền Nam,NV-23,1599188000.0
2025-05,Miền Nam,NV-25,1392868000.0
2025-05,SG,NV26,1627621000.0
2025-05,Miền Nam,NV27,2724399000.0
2025-05,South,NV-28,2152295000.0
2025-05,South,NV-29,1745776000.0
2025-05,Miền Trung,NV-03,2347080000.0
2025-05,M.Trung,NV04,3517497000.0
2025-05,Miền Trung,NV-05,2507311000.0
Tháng 05/2025,Central,NV-06,2995567000.0
2025-05,Trung,NV07,3116887000.0
2025-05,Miền Trung,NV-11,3207335000.0
2025-05,Miền Trung,NV-16,2523240000.0
2025-05,MT,NV-18,2705662000.0
2025-05,Miền Trung,NV21,2161876000.0
2025-05,MT,NV-24,2814838000.0
2025-06,Miền Bắc,NV-08,2605913000.0
Jun-25,Miền Bắc,NV10,2674329000.0
2025-06,M.Bắc,NV-13,1829582000.0
2025-06,Miền Bắc,NV-15,2345117000.0
2025-06,Miền Bắc,NV-17,2406700000.0
2025-06,Miền Bắc,NV-19,2262270000.0
2025-06,Miền Bắc,NV-20,1702241000.0
2025-06,Miền Bắc,NV-22,2151156000.0
2025-06,Bắc,NV30,2086667000.0
2025-06,South,NV-01,1969796000.0
2025-06,Miền Nam,NV-02,1527898000.0
2025-06,Miền Nam,NV-09,1952291000.0
2025-06,MN,NV-12,2680745000.0
2025-06,Miền Nam,NV-14,1737608000.0
2025-06,Miền Nam,NV-23,1732400000.0
2025-06,Miền Nam,NV-25,1543692000.0
2025-06,Miền Nam,NV-26,2009555000.0
2025-06,HCM,NV-27,2899370000.0
2025-06,Miền Nam,NV-28,2367384000.0
Tháng 06/2025,HCM,NV-29,1872786000.0
2025-06,MT,NV-03,2947029000.0
2025-06,MT,NV-04,5195197000.0
2025-06,Miền Trung,NV-05,3400795000.0
2025-06,Miền Trung,NV-06,4017584000.0
Jun-25,Miền Trung,NV-07,4283523000.0
2025-06,Miền Trung,NV-11,4193463000.0
2025-06,Miền Trung,NV-16,3475627000.0
2025-06,MT,NV18,3658327000.0
2025-06,Miền Trung,NV-21,2902215000.0
2025-06,Trung,NV-24,3999928000.0
07/2025,Miền Bắc,NV-08,2825866000.0
2025-07,M.Bắc,NV-10,2806569000.0
Jul-25,MB,NV-13,2017778000.0
07/2025,MB,NV-15,2436322000.0
2025-07,North,NV-17,2633808000.0
2025-07,Miền Bắc,NV-19,2437082000.0
2025-07,Miền Bắc,NV-20,1821287000.0
2025-07,MB,NV-22,2332944000.0
2025-07,Miền Bắc,NV-30,2227179000.0
07/2025,Miền Nam,NV-01,2136485000.0
2025-07,Miền Nam,NV02,
2025-07,Miền Nam,NV-09,2382130000.0
2025-07,SG,NV12,3103662000.0
2025-07,Miền Nam,NV-14,2037866000.0
2025-07,SG,NV-23,1950367000.0
Jul-25,M.Nam,NV-25,1704326000.0
2025-07,Miền Nam,NV-26,2212000000.0
2025-07,Miền Nam,NV-27,3527510000.0
Tháng 07/2025,Miền Nam,NV97,2579092000.0
2025-07,Miền Nam,NV-29,2138442000.0
2025-07,MT,NV03,2906858000.0
2025-07,Miền Trung,NV-04,4882867000.0
2025-07,Miền Trung,NV-05,3570950000.0
2025-07,Trung,NV-06,3941668000.0
2025-07,Trung,NV-07,4077127000.0
2025-07,M.Trung,NV-11,4015926000.0
07/2025,Miền Trung,NV-16,3163501000.0
2025-07,M.Trung,NV-18,3675099000.0
2025-07,M.Trung,NV-21,2655469000.0
07/2025,Miền Trung,NV-24,3782916000.0
2025-08,Miền Bắc,NV-08,2722539000.0
2025-08,Miền Bắc,NV-10,2560844000.0
2025-08,Bắc,NV-13,1937889000.0
2025-08,MB,NV-15,2535836000.0
2025-08,Miền Bắc,NV-17,2619907000.0
2025-08,M.Bắc,NV-19,2440459000.0
2025-08,Miền Bắc,NV-20,1875423000.0
2025-08,Bắc,NV-22,2215524000.0
2025-08,Miền Bắc,NV-30,2308005000.0
2025-08,South,NV-01,1877197000.0
2025-08,Miền Nam,NV02,1708210000.0
2025-08,SG,NV-09,2073248000.0
2025-08,Miền Nam,NV-12,2818903000.0
2025-08,HCM,NV-14,1900895000.0
2025-08,Miền Nam,NV-23,1698438000.0
2025-08,Miền Nam,NV94,1604727000.0
2025-08,South,NV-26,1924048000.0
2025-08,Miền Nam,NV-27,3139388000.0
2025-08,Miền Nam,NV-28,2406120000.0
2025-08,Miền Nam,NV-29,2064911000.0
2025-08,MT,NV-03,2592397000.0
2025-08,Miền Trung,NV-04,4432045000.0
2025-08,Miền Trung,NV-05,2939266000.0
2025-08,Miền Trung,NV06,3424462000.0
2025-08,M.Trung,NV-07,3593419000.0
2025-08,MT,NV11,3830557000.0
2025-08,Trung,NV-16,2813811000.0
Aug-25,Miền Trung,NV-18,3334381000.0
2025-08,Miền Trung,NV96,2499752000.0
2025-08,Trung,NV-24,3171043000.0
2025-09,Miền Bắc,NV-08,2497012000.0
2025-09,North,NV-10,2335867000.0
2025-09,M.Bắc,NV13,1723353000.0
2025-09,Miền Bắc,NV-15,2277180000.0
2025-09,Miền Bắc,NV17,2223843000.0
2025-09,M.Bắc,NV-19,2176295000.0
2025-09,North,NV-20,1622052000.0
2025-09,Miền Bắc,NV22,2135268000.0
2025-09,M.Bắc,NV-30,1958857000.0
2025-09,Miền Nam,NV-01,1819576000.0
2025-09,South,NV02,1561778000.0
2025-09,HCM,NV-09,2065145000.0
2025-09,South,NV-12,2860730000.0
2025-09,Miền Nam,NV-14,1862878000.0
2025-09,Miền Nam,NV-23,1775944000.0
2025-09,Miền Nam,NV-25,1513957000.0
2025-09,SG,NV26,2020715000.0
2025-09,M.Nam,NV27,2921277000.0
2025-09,Miền Nam,NV-28,2331386000.0
2025-09,Miền Nam,NV-29,1949342000.0
2025-09,Miền Trung,NV-03,2432823000.0
09/2025,Miền Trung,NV-04,4305974000.0
2025-09,Miền Trung,NV-05,2968902000.0
09/2025,Miền Trung,NV-06,3304700000.0
09/2025,Miền Trung,NV07,3439286000.0
2025-09,Central,NV-11,3529434000.0
2025-09,Miền Trung,NV16,2709041000.0
2025-09,Miền Trung,NV-18,3131323000.0
2025-09,M.Trung,NV-21,2350663000.0
2025-09,Central,NV-24,3242828000.0
2025-10,Miền Bắc,NV-08,3457271000.0
Tháng 10/2025,MB,NV10,
10/2025,Miền Bắc,NV-13,2260931000.0
2025-10,Miền Bắc,NV-15,2889542000.0
2025-10,Miền Bắc,NV-17,3106374000.0
2025-10,Miền Bắc,NV-19,2837886000.0
Oct-25,Miền Bắc,NV-20,2155162000.0
2025-10,M.Bắc,NV-22,2816836000.0
2025-10,North,NV-30,2490791000.0
2025-10,MN,NV-01,2149246000.0
2025-10,Miền Nam,NV-02,1738364000.0
2025-10,South,NV09,2307673000.0
2025-10,Miền Nam,NV-12,2908525000.0
2025-10,SG,NV-14,2078286000.0
2025-10,Miền Nam,NV23,1901881000.0
Tháng 10/2025,M.Nam,NV-25,1740617000.0
2025-10,SG,NV-26,2065253000.0
2025-10,Miền Nam,NV-27,3380493000.0
2025-10,Miền Nam,NV-28,2536321000.0
2025-10,SG,NV29,2036792000.0
Tháng 10/2025,Miền Trung,NV-03,2584323000.0
2025-10,Miền Trung,NV-04,3976133000.0
2025-10,Miền Trung,NV-05,2894532000.0
2025-10,Miền Trung,NV-06,3311318000.0
2025-10,Miền Trung,NV94,3287556000.0
2025-10,Miền Trung,NV-11,3621978000.0
Oct-25,Central,NV-16,2737646000.0
2025-10,MT,NV18,3231446000.0
Tháng 10/2025,Miền Trung,NV-21,2281068000.0
Oct-25,Miền Trung,NV-24,3212234000.0
2025-11,Miền Bắc,NV-08,3976555000.0
2025-11,Miền Bắc,NV-10,3482275000.0
2025-11,Miền Bắc,NV-13,2650964000.0
2025-11,Miền Bắc,NV-15,3387530000.0
2025-11,Miền Bắc,NV17,3708922000.0
2025-11,Miền Bắc,NV-19,3242645000.0
2025-11,North,NV-20,2461345000.0
2025-11,Miền Bắc,NV-22,3082338000.0
2025-11,North,NV30,3008685000.0
2025-11,M.Nam,NV-01,2273565000.0
2025-11,Miền Nam,NV-02,1884977000.0
2025-11,South,NV-09,2550955000.0
2025-11,SG,NV-12,3329471000.0
2025-11,M.Nam,NV-14,2210923000.0
2025-11,Miền Nam,NV-23,2143879000.0
2025-11,Miền Nam,NV-25,1805491000.0
2025-11,Miền Nam,NV-26,2398556000.0
2025-11,SG,NV-27,3710104000.0
11/2025,MN,NV-28,2924148000.0
2025-11,South,NV-29,2363647000.0
2025-11,Miền Trung,NV-03,3367975000.0
2025-11,Miền Trung,NV-04,5325224000.0
Nov-25,Miền Trung,NV-05,3994185000.0
2025-11,Miền Trung,NV-06,
2025-11,Miền Trung,NV-07,4483874000.0
2025-11,Central,NV-11,4558488000.0
2025-11,Miền Trung,NV-16,3780508000.0
2025-11,Miền Trung,NV-18,4309062000.0
Tháng 11/2025,Central,NV-21,3127223000.0
2025-11,Miền Trung,NV-24,4170100000.0
2025-12,Miền Bắc,NV-08,5179013000.0
12/2025,Miền Bắc,NV-10,4735477000.0
Dec-25,Bắc,NV-13,3501675000.0
2025-12,Miền Bắc,NV-15,4393437000.0
2025-12,Miền Bắc,NV17,4512849000.0
2025-12,Miền Bắc,NV-19,4079608000.0
12/2025,Miền Bắc,NV-20,3509842000.0
2025-12,Miền Bắc,NV-22,4039365000.0
2025-12,M.Bắc,NV-30,3866654000.0
2025-12,Miền Nam,NV-01,4084742000.0
2025-12,Miền Nam,NV-02,3448306000.0
2025-12,Miền Nam,NV-09,4330448000.0
2025-12,South,NV-12,5546106000.0
2025-12,Miền Nam,NV-14,3733108000.0
2025-12,SG,NV-23,3595581000.0
2025-12,Miền Nam,NV-25,3237827000.0
2025-12,MN,NV26,3873491000.0
2025-12,Miền Nam,NV-27,6316057000.0
2025-12,Miền Nam,NV-28,5036482000.0
2025-12,HCM,NV-29,4192032000.0
2025-12,Miền Trung,NV-03,4394537000.0
2025-12,M.Trung,NV-04,6894218000.0
Dec-25,Trung,NV-05,5370748000.0
12/2025,Central,NV-06,5662902000.0
2025-12,Miền Trung,NV-07,5943958000.0
2025-12,Miền Trung,NV-11,6486446000.0
2025-12,Miền Trung,NV-16,4787945000.0
2025-12,Miền Trung,NV-18,5631558000.0
12/2025,Miền Trung,NV-21,3987154000.0
2025-12,Miền Trung,NV-24,5667232000.0
2026-01,Miền Bắc,NV-08,4912766000.0
2026-01,North,NV-10,4624443000.0
2026-01,Miền Bắc,NV13,3342221000.0
01/2026,Miền Bắc,NV-15,4139171000.0
01/2026,Miền Bắc,NV-17,4700287000.0
Jan-26,Miền Bắc,NV-19,4034367000.0
2026-01,Miền Bắc,NV-20,3276338000.0
2026-01,Miền Bắc,NV-22,4020224000.0
2026-01,North,NV-30,3803577000.0
2026-01,Miền Nam,NV-01,3019000000.0
2026-01,MN,NV02,2456908000.0
2026-01,Miền Nam,NV-09,3272343000.0
2026-01,SG,NV-12,4152659000.0
01/2026,Miền Nam,NV-14,2966313000.0
Jan-26,Miền Nam,NV-23,2630764000.0
2026-01,M.Nam,NV-25,2341791000.0
2026-01,MN,NV-26,2891760000.0
2026-01,Miền Nam,NV-27,4861759000.0
2026-01,Miền Nam,NV-28,3863356000.0
2026-01,Miền Nam,NV-29,2988792000.0
2026-01,Miền Trung,NV-03,5121283000.0
2026-01,Miền Trung,NV-04,8533033000.0
2026-01,Miền Trung,NV-05,6038883000.0
2026-01,Miền Trung,NV-06,6823072000.0
01/2026,Miền Trung,NV-07,6572306000.0
01/2026,Miền Trung,NV11,7461864000.0
2026-01,Miền Trung,NV-16,5726296000.0
2026-01,Miền Trung,NV-18,6154583000.0
Jan-26,Miền Trung,NV21,4715325000.0
01/2026,Miền Trung,NV24,6688756000.0
Tháng 02/2026,Miền Bắc,NV-08,1705595000.0
2026-02,M.Bắc,NV-10,1629353000.0
2026-02,Miền Bắc,NV-13,1207973000.0
02/2026,Miền Bắc,NV-15,1484743000.0
2026-02,Miền Bắc,NV-17,1578441000.0
2026-02,Bắc,NV-19,1434288000.0
2026-02,Miền Bắc,NV-20,1053607000.0
2026-02,MB,NV-22,1442031000.0
2026-02,Miền Bắc,NV-30,1395496000.0
2026-02,Miền Nam,NV-01,1285254000.0
2026-02,Miền Nam,NV02,
2026-02,Miền Nam,NV-09,1396129000.0
2026-02,Miền Nam,NV-12,1894832000.0
2026-02,Miền Nam,NV-14,1267465000.0
2026-02,Miền Nam,NV-23,1228912000.0
2026-02,M.Nam,NV-25,1085675000.0
2026-02,Miền Nam,NV-26,1301171000.0
Feb-26,Miền Nam,NV-27,2046932000.0
2026-02,Miền Nam,NV28,1572970000.0
2026-02,Miền Nam,NV29,1278660000.0
02/2026,Miền Trung,NV-03,1603035000.0
2026-02,Miền Trung,NV-04,2624145000.0
Feb-26,Miền Trung,NV-05,1837360000.0
2026-02,Miền Trung,NV-06,2091540000.0
Feb-26,MT,NV-07,2150336000.0
2026-02,Miền Trung,NV-11,2270423000.0
2026-02,Miền Trung,NV-16,1762355000.0
2026-02,Miền Trung,NV-18,2124342000.0
2026-02,MT,NV-21,1518535000.0
2026-02,Miền Trung,NV-24,2046125000.0
2026-03,Miền Bắc,NV91,1772677000.0
2026-03,Miền Bắc,NV-10,1589969000.0
2026-03,Miền Bắc,NV-13,
2026-03,Miền Bắc,NV-15,1433864000.0
2026-03,Miền Bắc,NV-17,1515726000.0
2026-03,M.Bắc,NV-19,1416974000.0
2026-03,Miền Bắc,NV-20,1139541000.0
2026-03,Miền Bắc,NV-22,1325038000.0
Mar-26,Miền Bắc,NV-30,1332044000.0
2026-03,Miền Nam,NV-01,1694208000.0
Mar-26,Miền Nam,NV-02,1423068000.0
2026-03,HCM,NV-09,1789349000.0
2026-03,M.Nam,NV-12,2434511000.0
03/2026,Miền Nam,NV-14,1702161000.0
2026-03,Miền Nam,NV-23,1606183000.0
Tháng 03/2026,MN,NV-25,1328502000.0
2026-03,Miền Nam,NV-26,1670461000.0
2026-03,Miền Nam,NV-27,2754028000.0
2026-03,Miền Nam,NV28,2022636000.0
2026-03,SG,NV-29,1797558000.0
2026-03,Miền Trung,NV-03,1961221000.0
2026-03,Miền Trung,NV-04,3382614000.0
2026-03,Miền Trung,NV05,2503329000.0
2026-03,MT,NV-06,2636215000.0
2026-03,Miền Trung,NV-07,2715044000.0
Tháng 03/2026,Central,NV-11,2987450000.0
2026-03,Miền Trung,NV-16,2310563000.0
2026-03,Miền Trung,NV-18,2600978000.0
Mar-26,Miền Trung,NV-21,1869559000.0
2026-03,Miền Trung,NV-24,2709854000.0
Apr-26,Miền Bắc,NV-08,2051945000.0
2026-04,Miền Bắc,NV93,2050652000.0
