HeThongNguon,TenBang,Grain,TenCot,KieuDuLieu,VaiTro,YNghiaNghiepVu,GiaTriHopLe,KhoaNoiSangBang
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,MaHoaDon,VARCHAR(30),PK,Mã định danh duy nhất của hóa đơn,HDxxxxxx,
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,MaDonHang,VARCHAR(30),FK,Đơn hàng phát sinh hóa đơn này,Phải tồn tại trong Fact_DonHang,Fact_DonHang.MaDonHang
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,NgayXuatHoaDon,DATE,Attribute,Ngày xuất hóa đơn (sau ngày đặt hàng 0-3 ngày),Ngày hợp lệ,
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,HanThanhToan,DATE,Attribute,Hạn thanh toán (NgayXuatHoaDon + 30 ngày),"Ngày hợp lệ, >= NgayXuatHoaDon",
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,SoTien,"DECIMAL(18,2)",Metric,Tổng tiền phải thu của hóa đơn,VNĐ > 0,
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,DaThu,"DECIMAL(18,2)",Metric,Số tiền đã thu — mô phỏng tuổi nợ (đúng hạn/quá hạn 30-60-90/nợ khó đòi >180),0 <= DaThu <= SoTien (bản sạch),
02_KeToan,Fact_HoaDonCongNoPhaiThu,1 dòng = 1 hóa đơn bán hàng / khoản công nợ phải thu,ConLai,"DECIMAL(18,2)",Metric,Số tiền còn phải thu = SoTien - DaThu,= SoTien - DaThu (bản sạch),
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,MaCongNoPhaiTra,VARCHAR(30),PK,Mã định danh duy nhất của khoản công nợ phải trả,CNTxxxxxx,
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,MaDonMuaHang,VARCHAR(30),FK,Đơn mua hàng phát sinh công nợ,Phải tồn tại trong Fact_DonMuaHang,Fact_DonMuaHang.MaDonMuaHang
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,MaNhaCungCap,VARCHAR(20),FK,Nhà cung cấp được nợ tiền,Phải tồn tại trong Dim_NhaCungCap,Dim_NhaCungCap.MaNhaCungCap
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,NgayHoaDon,DATE,Attribute,Ngày hóa đơn mua hàng (sau ngày đặt mua 1-5 ngày),Ngày hợp lệ,
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,HanThanhToan,DATE,Attribute,Hạn thanh toán (NgayHoaDon + 45 ngày),"Ngày hợp lệ, >= NgayHoaDon",
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,SoTien,"DECIMAL(18,2)",Metric,Tổng tiền phải trả = SoLuong × DonGiaMua,VNĐ > 0,
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,DaTra,"DECIMAL(18,2)",Metric,Số tiền đã trả cho NCC — mô phỏng tuổi nợ tương tự công nợ phải thu,0 <= DaTra <= SoTien (bản sạch),
02_KeToan,Fact_CongNoPhaiTra,1 dòng = 1 khoản công nợ phải trả nhà cung cấp,ConLai,"DECIMAL(18,2)",Metric,Số tiền còn phải trả = SoTien - DaTra,= SoTien - DaTra (bản sạch),
02_KeToan,Fact_ChiPhi,1 dòng = 1 khoản mục chi phí trong 1 tháng,MaChiPhi,VARCHAR(20),PK,Mã định danh duy nhất của dòng chi phí,CPxxxxx,
02_KeToan,Fact_ChiPhi,1 dòng = 1 khoản mục chi phí trong 1 tháng,Thang,VARCHAR(10),Attribute (Key),Tháng phát sinh chi phí,yyyy-mm,
02_KeToan,Fact_ChiPhi,1 dòng = 1 khoản mục chi phí trong 1 tháng,KhoanMuc,NVARCHAR(100),Attribute,Khoản mục chi phí,"Lương NV, Thuê mặt bằng, Marketing, Vận chuyển, Điện nước VP, Khấu hao TB, Chi phí khác",
02_KeToan,Fact_ChiPhi,1 dòng = 1 khoản mục chi phí trong 1 tháng,SoTien,"DECIMAL(18,2)",Metric,Số tiền chi phí (Marketing/Vận chuyển có hệ số mùa vụ),VNĐ > 0,
02_KeToan,Dim_GiaVon,1 dòng = 1 sản phẩm (giá vốn hiện hành),MaSanPham,VARCHAR(20),PK / FK,Sản phẩm áp dụng giá vốn,Phải tồn tại trong Dim_SanPham,Dim_SanPham.MaSanPham
02_KeToan,Dim_GiaVon,1 dòng = 1 sản phẩm (giá vốn hiện hành),GiaVon,"DECIMAL(18,2)",Metric,Giá vốn — tỷ lệ GiaVon/GiaNiemYet khác nhau theo NhomHang (biên lợi nhuận),"VNĐ > 0, < GiaNiemYet (bản sạch)",
03_Kho_MuaHang,Dim_SanPham,1 dòng = 1 sản phẩm,MaSanPham,VARCHAR(20),PK,Mã định danh duy nhất của sản phẩm,SPxxxx (SP0001..SP0220),
03_Kho_MuaHang,Dim_SanPham,1 dòng = 1 sản phẩm,TenSanPham,NVARCHAR(250),Attribute,Tên sản phẩm — luôn khớp đúng NhomHang tương ứng,Chuỗi ký tự tiếng Việt,
03_Kho_MuaHang,Dim_SanPham,1 dòng = 1 sản phẩm,NhomHang,NVARCHAR(100),Attribute,Nhóm hàng — quyết định biên lợi nhuận (xem Dim_GiaVon),Nguyên liệu đầu vào / Thực phẩm chế biến / Đồ uống / Gia dụng,
03_Kho_MuaHang,Dim_SanPham,1 dòng = 1 sản phẩm,DonViTinh,NVARCHAR(20),Attribute,Đơn vị tính,Thùng / Hộp / Kg / Tấn / Cái,
03_Kho_MuaHang,Dim_SanPham,1 dòng = 1 sản phẩm,GiaNiemYet,"DECIMAL(18,2)",Metric,Giá bán niêm yết,VNĐ > 0,
03_Kho_MuaHang,Dim_SanPham,1 dòng = 1 sản phẩm,HanSuDungNgay,INT,Attribute [NGOÀI ĐỀ BÀI],Hạn sử dụng tính bằng ngày kể từ ngày sản xuất — chỉ có ý nghĩa với Nguyên liệu/Thực phẩm chế biến/Đồ uống; Gia dụng để trống (không phải hàng thực phẩm) — xem ASSUMPTIONS.md mục 9,180-730 ngày hoặc rỗng (Gia dụng),
03_Kho_MuaHang,Dim_NhaCungCap,1 dòng = 1 nhà cung cấp,MaNhaCungCap,VARCHAR(20),PK,Mã định danh duy nhất của nhà cung cấp,NCCxxx (NCC001..NCC045),
03_Kho_MuaHang,Dim_NhaCungCap,1 dòng = 1 nhà cung cấp,TenNhaCungCap,NVARCHAR(250),Attribute,Tên nhà cung cấp (công ty kiểu Việt Nam),Chuỗi ký tự tiếng Việt,
03_Kho_MuaHang,Dim_NhaCungCap,1 dòng = 1 nhà cung cấp,Vung,NVARCHAR(50),Attribute,Vùng địa lý của nhà cung cấp,Miền Bắc / Miền Trung / Miền Nam,
03_Kho_MuaHang,Dim_NhaCungCap,1 dòng = 1 nhà cung cấp,NgayHopTac,DATE,Attribute,Ngày bắt đầu hợp tác,"Ngày hợp lệ, trước DATE_START của kỳ dữ liệu",
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),MaSanPham,VARCHAR(20),PK Composite / FK,Sản phẩm được chốt tồn,Phải tồn tại trong Dim_SanPham,Dim_SanPham.MaSanPham
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),Thang,VARCHAR(10),PK Composite,Tháng chốt tồn kho,yyyy-mm,
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),TonDauKy,INT,Metric,Tồn kho đầu kỳ (= TonCuoiKy tháng trước),Số nguyên >= 0,
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),Nhap,INT,Metric,Số lượng nhập trong kỳ (có hệ số mùa vụ + tốc độ luân chuyển SP),Số nguyên >= 0,
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),Xuat,INT,Metric,Số lượng xuất trong kỳ (SP luân chuyển nhanh/chậm/tồn đọng),Số nguyên >= 0,
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),HaoHut,INT,Metric [NGOÀI ĐỀ BÀI],"Số lượng hao hụt trong kỳ (hư hỏng/hết hạn), tỷ lệ khác nhau theo nhóm hàng — xem ASSUMPTIONS.md mục 9","Số nguyên >= 0, tính theo % lượng Nhập",
03_Kho_MuaHang,Fact_NhapXuatTonKho,1 dòng = 1 sản phẩm x 1 tháng (snapshot tồn kho),TonCuoiKy,INT,Metric,Tồn cuối kỳ = TonDauKy + Nhap - Xuat - HaoHut,= TonDauKy + Nhap - Xuat - HaoHut (bản sạch),
03_Kho_MuaHang,Fact_DonMuaHang,1 dòng = 1 đơn mua hàng từ nhà cung cấp,MaDonMuaHang,VARCHAR(30),PK,Mã định danh duy nhất của đơn mua hàng,POxxxxxx,
03_Kho_MuaHang,Fact_DonMuaHang,1 dòng = 1 đơn mua hàng từ nhà cung cấp,MaNhaCungCap,VARCHAR(20),FK,Nhà cung cấp của đơn mua,Phải tồn tại trong Dim_NhaCungCap,Dim_NhaCungCap.MaNhaCungCap
03_Kho_MuaHang,Fact_DonMuaHang,1 dòng = 1 đơn mua hàng từ nhà cung cấp,MaSanPham,VARCHAR(20),FK,Sản phẩm được mua,Phải tồn tại trong Dim_SanPham,Dim_SanPham.MaSanPham
03_Kho_MuaHang,Fact_DonMuaHang,1 dòng = 1 đơn mua hàng từ nhà cung cấp,NgayDatHang,DATE,Attribute,Ngày lập đơn mua hàng,Ngày hợp lệ trong 24 tháng lịch sử,
03_Kho_MuaHang,Fact_DonMuaHang,1 dòng = 1 đơn mua hàng từ nhà cung cấp,SoLuong,INT,Metric,Số lượng đặt mua,Số nguyên dương,
03_Kho_MuaHang,Fact_DonMuaHang,1 dòng = 1 đơn mua hàng từ nhà cung cấp,DonGiaMua,"DECIMAL(18,2)",Metric,Đơn giá mua (35-70% GiaNiemYet),"VNĐ > 0, < GiaNiemYet tương ứng",
04_ExcelPhongBan,Dim_NhanVienSales,1 dòng = 1 nhân viên kinh doanh,MaNhanVien,VARCHAR(20),PK,Mã định danh duy nhất của nhân viên,NVxx (NV01..NV30),
04_ExcelPhongBan,Dim_NhanVienSales,1 dòng = 1 nhân viên kinh doanh,TenNhanVien,NVARCHAR(150),Attribute,Tên nhân viên (kiểu Việt Nam),Chuỗi ký tự tiếng Việt,
04_ExcelPhongBan,Dim_NhanVienSales,1 dòng = 1 nhân viên kinh doanh,KhuVucPhuTrach,NVARCHAR(50),Attribute,Khu vực phụ trách — quyết định hệ số kế hoạch (xem Fact_ChiTieuKeHoach),Miền Bắc / Miền Trung / Miền Nam,
04_ExcelPhongBan,Dim_NhanVienSales,1 dòng = 1 nhân viên kinh doanh,ChucVu,NVARCHAR(50),Attribute,Chức vụ,"Nhân viên/Trưởng nhóm/Giám sát Kinh doanh, Senior Sales",
04_ExcelPhongBan,Dim_NhanVienSales,1 dòng = 1 nhân viên kinh doanh,NgayVaoLam,DATE,Attribute,Ngày vào làm,"Ngày hợp lệ, trước DATE_START của kỳ dữ liệu",
04_ExcelPhongBan,Fact_ChiTieuKeHoach,1 dòng = 1 tháng x 1 vùng x 1 nhân viên,Thang,VARCHAR(10),PK Composite,Tháng áp dụng chỉ tiêu,yyyy-mm,
04_ExcelPhongBan,Fact_ChiTieuKeHoach,1 dòng = 1 tháng x 1 vùng x 1 nhân viên,Vung,NVARCHAR(50),PK Composite,Vùng áp dụng — có hệ số vượt/không đạt kế hoạch riêng theo vùng,Miền Bắc / Miền Trung / Miền Nam,
04_ExcelPhongBan,Fact_ChiTieuKeHoach,1 dòng = 1 tháng x 1 vùng x 1 nhân viên,MaNhanVien,VARCHAR(20),PK Composite / FK,Nhân viên được giao chỉ tiêu (thuộc đúng Vung),Phải tồn tại trong Dim_NhanVienSales,Dim_NhanVienSales.MaNhanVien
04_ExcelPhongBan,Fact_ChiTieuKeHoach,1 dòng = 1 tháng x 1 vùng x 1 nhân viên,ChiTieuDoanhThu,"DECIMAL(18,2)",Metric,"Chỉ tiêu doanh thu kế hoạch — tính từ doanh thu thực tế x hệ số vùng, nên thực-tế-vs-kế-hoạch luôn có chênh",VNĐ > 0,
04_ExcelPhongBan,Dim_PhanNhomKhachHang,1 dòng = 1 khách hàng ĐÃ ĐƯỢC phòng KD phân nhóm (chỉ phủ ~70-90% Dim_KhachHang — cố ý KHÔNG đầy đủ),MaKhachHang,VARCHAR(20),PK / FK,Khách hàng được phân nhóm,Tập con của Dim_KhachHang.MaKhachHang (không đầy đủ),Dim_KhachHang.MaKhachHang
04_ExcelPhongBan,Dim_PhanNhomKhachHang,1 dòng = 1 khách hàng ĐÃ ĐƯỢC phòng KD phân nhóm (chỉ phủ ~70-90% Dim_KhachHang — cố ý KHÔNG đầy đủ),TenKhachHang,NVARCHAR(250),Attribute,Tên khách hàng do phòng KD tự ghi lại (không đồng bộ tự động),Chuỗi ký tự tiếng Việt,
04_ExcelPhongBan,Dim_PhanNhomKhachHang,1 dòng = 1 khách hàng ĐÃ ĐƯỢC phòng KD phân nhóm (chỉ phủ ~70-90% Dim_KhachHang — cố ý KHÔNG đầy đủ),NhomKH,NVARCHAR(50),Attribute,Phân nhóm khách hàng do phòng KD tự đặt,VIP / Thân thiết / Thường / Mới / Tiềm năng,
