MaHoaDon,MaDonHang,NgayXuatHoaDon,HanThanhToan,SoTien,DaThu,ConLai
HD000038,DH001558,2024-08-05 18:50:00,2024-08-16 18:50:00,10179000.0,10179000.0,0.0
HD000039,DH010999,2024-08-06 19:11:00,2024-10-26 19:11:00,341923800.0,341923800.0,0.0
HD000040,DH004667,2024-08-03 22:05:00,2024-09-18 22:05:00,303467800.0,303467800.0,0.0
HD000041,DH008322,2024-08-06 22:43:00,2024-08-13 22:43:00,1390000.0,1390000.0,0.0
HD000042,DH010698,2024-08-05 02:42:00,2024-08-12 02:42:00,1072000.0,1072000.0,0.0
HD000043,DH006452,2024-08-07 03:24:00,2024-08-17 03:24:00,4822800.0,4822800.0,0.0
HD000044,DH007828,2024-08-04 05:11:00,2024-10-02 05:11:00,167949600.0,167949600.0,0.0
HD000045,DH004967,2024-08-05 06:01:00,2024-10-17 06:01:00,374204900.0,374204900.0,0.0
HD000046,DH009144,2024-08-07 06:55:00,2024-10-07 06:55:00,205538000.0,186999200.0,18538800.0
HD000047,DH010927,2024-08-06 07:00:00,2024-10-14 07:00:00,655978700.0,224119300.0,431859400.0
HD000048,DH008531,2024-08-07 08:07:00,2024-08-16 08:07:00,4196000.0,1951700.0,2244300.0
HD000049,DH006572,2024-08-05 09:21:00,2024-08-14 09:21:00,299700.0,299700.0,0.0
HD000050,DH006269,2024-08-05 09:49:00,2024-08-16 09:49:00,1533600.0,1533600.0,0.0
HD000051,DH006497,2024-08-05 11:39:00,2024-10-07 11:39:00,825811400.0,353989500.0,471821900.0
HD000052,DH009151,2024-08-07 12:22:00,2024-10-20 12:22:00,130467800.0,130467800.0,0.0
HD000053,DH002981,2024-08-05 15:01:00,2024-08-17 15:01:00,979200.0,979200.0,0.0
HD000054,DH011275,2024-08-07 16:50:00,2024-08-14 16:50:00,2786800.0,2786800.0,0.0
HD000055,DH002452,2024-08-06 21:37:00,2024-10-10 21:37:00,254712000.0,254712000.0,0.0
HD000056,DH001813,2024-08-05 22:34:00,2024-08-12 22:34:00,2556000.0,2556000.0,0.0
HD000057,DH000356,2024-08-07 00:04:00,2024-10-31 00:04:00,194964800.0,194964800.0,0.0
HD000058,DH000589,2024-08-07 01:44:00,2024-08-17 01:44:00,4832000.0,4832000.0,0.0
HD000059,DH004223,2024-08-08 02:56:00,2024-09-27 02:56:00,471600500.0,233546200.0,238054300.0
HD000060,DH005488,2024-08-08 03:54:00,2024-10-12 03:54:00,317111600.0,140624200.0,176487400.0
HD000061,DH009676,2024-08-06 06:22:00,2024-08-19 06:22:00,9405000.0,994000.0,8411000.0
HD000062,DH007044,2024-08-08 08:54:00,2024-08-18 08:54:00,1100800.0,1100800.0,0.0
HD000063,DH009755,2024-08-07 12:03:00,2024-08-19 12:03:00,3237000.0,3237000.0,0.0
HD000064,DH003109,2024-08-07 13:44:00,2024-08-18 13:44:00,2493900.0,2493900.0,0.0
HD000065,DH008606,2024-08-05 14:05:00,2024-09-29 14:05:00,101308000.0,11100700.0,90207300.0
HD000066,DH003045,2024-08-07 20:36:00,2024-08-16 20:36:00,1183000.0,1183000.0,0.0
HD000067,DH003658,2024-08-08 21:35:00,2024-08-16 21:35:00,910000.0,910000.0,0.0
HD000068,DH011726,2024-08-08 22:47:00,2024-08-23 22:47:00,2022000.0,2022000.0,0.0
HD000069,DH007358,2024-08-07 23:21:00,2024-08-19 23:21:00,1191600.0,231300.0,960300.0
HD000070,DH006757,2024-08-07 23:38:00,2024-08-22 23:38:00,1128000.0,1067700.0,60300.0
HD000071,DH003589,2024-08-09 00:13:00,2024-10-06 00:13:00,342569700.0,342569700.0,0.0
HD000072,DH006647,2024-08-09 01:51:00,2024-08-18 01:51:00,9845000.0,8685500.0,1159500.0
HD000073,DH008445,2024-08-09 03:01:00,2024-10-30 03:01:00,165735600.0,165735600.0,0.0
HD000074,DH003264,2024-08-06 03:26:00,2024-10-18 03:26:00,176409600.0,176409600.0,0.0
HD000075,DH007610,2024-08-07 03:37:00,2024-10-07 03:37:00,227650100.0,79729200.0,147920900.0
HD000076,DH009720,2024-08-08 05:01:00,2024-08-22 05:01:00,1514300.0,1514300.0,0.0
HD000077,DH006712,2024-08-08 06:45:00,2024-08-17 06:45:00,631800.0,631800.0,0.0
HD000078,DH007979,2024-08-08 06:57:00,2024-08-22 06:57:00,872100.0,769100.0,103000.0
HD000079,DH005379,2024-08-06 12:52:00,2024-08-16 12:52:00,639200.0,639200.0,0.0
HD000080,DH002404,2024-08-08 13:33:00,2024-10-25 13:33:00,660358600.0,73249500.0,587109100.0
HD000081,DH001159,2024-08-08 13:40:00,2024-08-16 13:40:00,2897200.0,2897200.0,0.0
HD000082,DH006297,2024-08-06 16:08:00,2024-08-14 16:08:00,5011000.0,5011000.0,0.0
HD000083,DH001091,2024-08-07 16:31:00,2024-08-15 16:31:00,10654800.0,10654800.0,0.0
HD000084,DH008380,2024-08-06 17:08:00,2024-10-18 17:08:00,372349200.0,135397500.0,236951700.0
HD000085,DH000950,2024-08-06 18:31:00,2024-08-15 18:31:00,8502000.0,8502000.0,0.0
HD000086,DH009110,2024-08-08 22:28:00,2024-10-23 22:28:00,830605700.0,830605700.0,0.0
HD000087,DH004519,2024-08-09 23:59:00,2024-08-20 23:59:00,4656000.0,4656000.0,0.0
HD000088,DH011155,2024-08-10 00:08:00,2024-08-24 00:08:00,9938500.0,9938500.0,0.0
HD000089,DH006310,2024-08-07 00:20:00,2024-09-27 00:20:00,102874400.0,102874400.0,0.0
HD000090,DH000787,2024-08-07 04:32:00,2024-08-17 04:32:00,2601000.0,2601000.0,0.0
HD000091,DH003988,2024-08-07 06:39:00,2024-08-20 06:39:00,7102600.0,7102600.0,0.0
HD000092,DH009659,2024-08-08 09:56:00,2024-10-10 09:56:00,174910600.0,174910600.0,0.0
HD000093,DH004394,2024-08-07 11:06:00,2024-10-10 11:06:00,91066000.0,91066000.0,0.0
HD000094,DH008747,2024-08-07 15:21:00,2024-08-16 15:21:00,834300.0,834300.0,0.0
HD000095,DH010097,2024-08-07 15:32:00,2024-10-19 15:32:00,648857600.0,291403300.0,357454300.0
HD000096,DH000158,2024-08-10 18:42:00,2024-11-07 18:42:00,237462000.0,237462000.0,0.0
HD000097,DH004505,2024-08-08 20:03:00,2024-08-23 20:03:00,11725000.0,11725000.0,0.0
HD000098,DH007722,2024-08-08 20:06:00,2024-10-05 20:06:00,180129000.0,180129000.0,0.0
HD000099,DH005114,2024-08-08 21:43:00,2024-08-16 21:43:00,2930000.0,1199400.0,1730600.0
HD000100,DH005430,2024-08-09 23:11:00,2024-08-16 23:11:00,2918000.0,2918000.0,0.0
HD000101,DH000730,2024-08-08 23:56:00,2024-08-15 23:56:00,3986300.0,3986300.0,0.0
HD000102,DH000483,2024-08-08 00:24:00,2024-08-23 00:24:00,313200.0,274400.0,38800.0
HD000103,DH002644,2024-08-10 00:57:00,2024-10-14 00:57:00,224661500.0,224661500.0,0.0
HD000104,DH000292,2024-08-10 07:09:00,2024-08-19 07:09:00,2708000.0,2708000.0,0.0
HD000105,DH008801,2024-08-09 07:42:00,2024-10-26 07:42:00,148281000.0,51484500.0,96796500.0
HD000106,DH001002,2024-08-08 08:56:00,2024-11-01 08:56:00,492102600.0,335855000.0,156247600.0
HD000107,DH010323,2024-08-11 10:13:00,2024-08-23 10:13:00,9303600.0,9303600.0,0.0
HD000108,DH005242,2024-08-11 14:11:00,2024-10-13 14:11:00,22474300.0,3371700.0,19102600.0
HD000109,DH007878,2024-08-09 14:42:00,2024-10-08 14:42:00,390204600.0,390204600.0,0.0
HD000110,DH011634,2024-08-09 15:24:00,2024-10-06 15:24:00,223469100.0,144618700.0,78850400.0
HD000111,DH008786,2024-08-09 18:08:00,2024-08-19 18:08:00,5040000.0,5040000.0,0.0
HD000112,DH011865,2024-08-08 19:34:00,2024-10-06 19:34:00,119578100.0,77892600.0,41685500.0
HD000113,DH004577,2024-08-09 23:08:00,2024-08-22 23:08:00,7303800.0,7303800.0,0.0
HD000114,DH001835,2024-08-09 23:38:00,2024-10-17 23:38:00,523929400.0,523929400.0,0.0
HD000115,DH002828,2024-08-09 00:30:00,2024-10-08 00:30:00,232332700.0,232332700.0,0.0
HD000116,DH009728,2024-08-12 01:11:00,2024-10-30 01:11:00,129062000.0,129062000.0,0.0
HD000117,DH009105,2024-08-09 02:18:00,2024-08-23 02:18:00,3516000.0,3516000.0,0.0
HD000118,DH003990,2024-08-12 03:04:00,2024-08-24 03:04:00,3736000.0,2553900.0,1182100.0
HD000119,DH002920,2024-08-12 04:22:00,2024-11-01 04:22:00,504149000.0,416634500.0,87514500.0
HD000120,DH011880,2024-08-11 09:06:00,2024-08-22 09:06:00,10557000.0,10557000.0,0.0
HD000121,DH006382,2024-08-12 13:07:00,2024-08-20 13:07:00,956200.0,956200.0,0.0
HD000122,DH010992,2024-08-11 14:58:00,2024-08-19 14:58:00,6074500.0,6074500.0,0.0
HD000123,DH005163,2024-08-09 15:07:00,2024-08-18 15:07:00,4167500.0,4167500.0,0.0
HD000124,DH003047,2024-08-09 15:28:00,2024-10-11 15:28:00,510188400.0,510188400.0,0.0
HD000125,DH001309,2024-08-12 16:39:00,2024-08-23 16:39:00,1720000.0,1720000.0,0.0
HD000126,DH005234,2024-08-11 16:52:00,2024-10-21 16:52:00,155179800.0,18545700.0,136634100.0
HD000127,DH008406,2024-08-10 18:26:00,2024-08-25 18:26:00,1125900.0,1125900.0,0.0
HD000128,DH005126,2024-08-09 18:29:00,2024-08-16 18:29:00,656000.0,656000.0,0.0
HD000129,DH007937,2024-08-10 18:44:00,2024-11-06 18:44:00,42879100.0,42879100.0,0.0
HD000130,DH002152,2024-08-11 19:06:00,2024-10-27 19:06:00,502741400.0,502741400.0,0.0
HD000131,DH004162,2024-08-11 20:49:00,2024-11-01 20:49:00,126174000.0,126174000.0,0.0
HD000132,DH010066,2024-08-11 22:52:00,2024-09-28 22:52:00,450824200.0,268266300.0,182557900.0
HD000133,DH004703,2024-08-11 23:53:00,2024-08-23 23:53:00,2005000.0,2005000.0,0.0
HD000134,DH010128,2024-08-12 23:59:00,2024-08-21 23:59:00,200000.0,200000.0,0.0
HD000135,DH001317,2024-08-10 02:02:00,2024-08-25 02:02:00,2505600.0,2505600.0,0.0
HD000136,DH001371,2024-08-11 11:19:00,2024-08-22 11:19:00,755000.0,755000.0,0.0
HD000137,DH000332,2024-08-10 12:39:00,2024-08-18 12:39:00,9315800.0,9315800.0,0.0
HD000138,DH002713,2024-08-12 14:47:00,2024-10-13 14:47:00,316006300.0,208595400.0,107410900.0
HD000139,DH004354,2024-08-11 17:44:00,2024-08-23 17:44:00,1045800.0,1045800.0,0.0
HD000140,DH002207,2024-08-12 20:32:00,2024-08-27 20:32:00,793000.0,793000.0,0.0
HD000141,DH010131,2024-08-11 00:10:00,2024-08-22 00:10:00,1208700.0,1208700.0,0.0
HD000142,DH010701,2024-08-13 01:22:00,2024-11-07 01:22:00,80001000.0,80001000.0,0.0
HD000143,DH003334,2024-08-12 01:27:00,2024-10-09 01:27:00,45348800.0,35243600.0,10105200.0
HD000144,DH009452,2024-08-11 04:57:00,2024-09-29 04:57:00,541853800.0,243077100.0,298776700.0
HD000145,DH010455,2024-08-14 04:58:00,2024-08-27 04:58:00,2538000.0,2538000.0,0.0
HD000146,DH006259,2024-08-13 06:06:00,2024-08-27 06:06:00,6311800.0,6311800.0,0.0
HD000147,DH008988,2024-08-12 09:21:00,2024-08-24 09:21:00,6963400.0,6963400.0,0.0
HD000148,DH000335,2024-08-14 09:36:00,2024-08-22 09:36:00,1232100.0,1232100.0,0.0
HD000149,DH004551,2024-08-14 10:42:00,2024-09-28 10:42:00,27048600.0,27048600.0,0.0
HD000150,DH002239,2024-08-13 12:32:00,2024-08-21 12:32:00,12717000.0,12717000.0,0.0
HD000151,DH000145,2024-08-11 18:55:00,2024-10-21 18:55:00,64037700.0,64037700.0,0.0
HD000152,DH001461,2024-08-12 21:21:00,2024-10-20 21:21:00,195912300.0,195912300.0,0.0
HD000153,DH004951,2024-08-11 23:53:00,2024-08-23 23:53:00,5072800.0,5072800.0,0.0
HD000154,DH004188,2024-08-15 05:06:00,2024-08-30 05:06:00,1351000.0,1351000.0,0.0
HD000155,DH004272,2024-08-14 07:17:00,2024-08-27 07:17:00,416000.0,416000.0,0.0
HD000156,DH006211,2024-08-14 08:16:00,2024-08-25 08:16:00,1719000.0,1719000.0,0.0
HD000157,DH003720,2024-08-13 13:01:00,2024-08-25 13:01:00,2658400.0,1453800.0,1204600.0
HD000158,DH002879,2024-08-12 17:16:00,2024-08-20 17:16:00,759200.0,759200.0,0.0
HD000159,DH009638,2024-08-14 18:29:00,2024-08-25 18:29:00,128200.0,128200.0,0.0
HD000160,DH007187,2024-08-15 21:36:00,2024-08-25 21:36:00,11192000.0,11192000.0,0.0
HD000161,DH007307,2024-08-12 22:12:00,2024-08-27 22:12:00,2546400.0,2546400.0,0.0
HD000162,DH003012,2024-08-15 22:33:00,2024-08-25 22:33:00,913500.0,913500.0,0.0
HD000163,DH005072,2024-08-15 00:12:00,2024-11-09 00:12:00,316472100.0,316472100.0,0.0
HD000164,DH009127,2024-08-15 00:44:00,2024-08-30 00:44:00,1973200.0,1973200.0,0.0
HD000165,DH006075,2024-08-16 01:10:00,2024-10-10 01:10:00,319748600.0,25874400.0,293874200.0
HD000166,DH001142,2024-08-13 02:25:00,2024-08-22 02:25:00,688000.0,688000.0,0.0
HD000167,DH006654,2024-08-13 02:48:00,2024-08-20 02:48:00,8816000.0,5121600.0,3694400.0
HD000168,DH002851,2024-08-14 03:14:00,2024-10-09 03:14:00,139478300.0,90869100.0,48609200.0
HD000169,DH008718,2024-08-16 04:48:00,2024-10-04 04:48:00,491250600.0,49970000.0,441280600.0
HD000170,DH006768,2024-08-15 06:26:00,2024-08-23 06:26:00,100800.0,100800.0,0.0
HD000171,DH008745,2024-08-15 08:30:00,2024-10-26 08:30:00,452987200.0,117663900.0,335323300.0
HD000172,DH007903,2024-08-16 09:57:00,2024-08-26 09:57:00,85000.0,85000.0,0.0
HD000173,DH007342,2024-08-13 11:23:00,2024-08-24 11:23:00,2097000.0,2097000.0,0.0
HD000174,DH002998,2024-08-16 12:44:00,2024-10-05 12:44:00,400410000.0,400410000.0,0.0
HD000175,DH004430,2024-08-14 13:24:00,2024-09-28 13:24:00,330809600.0,330809600.0,0.0
HD000176,DH005172,2024-08-13 14:13:00,2024-11-04 14:13:00,369587200.0,264416900.0,105170300.0
HD000177,DH010811,2024-08-13 15:25:00,2024-08-24 15:25:00,6823800.0,6823800.0,0.0
HD000178,DH003013,2024-08-13 16:04:00,2024-08-27 16:04:00,7889300.0,7889300.0,0.0
HD000179,DH008244,2024-08-15 16:06:00,2024-10-22 16:06:00,117332200.0,18950500.0,98381700.0
HD000180,DH003671,2024-08-16 17:04:00,2024-10-15 17:04:00,126250600.0,90932100.0,35318500.0
HD000181,DH002090,2024-08-16 17:52:00,2024-08-29 17:52:00,10055000.0,6809500.0,3245500.0
HD000182,DH000308,2024-08-15 18:26:00,2024-08-29 18:26:00,3750200.0,741800.0,3008400.0
HD000183,DH003683,2024-08-15 20:11:00,2024-11-13 20:11:00,207091900.0,207091900.0,0.0
HD000184,DH009141,2024-08-15 02:28:00,2024-08-24 02:28:00,1514700.0,1514700.0,0.0
HD000185,DH011960,2024-08-14 03:58:00,2024-11-07 03:58:00,108752800.0,108752800.0,0.0
HD000186,DH001358,2024-08-16 05:09:00,2024-08-23 05:09:00,4454600.0,4454600.0,0.0
HD000187,DH006788,2024-08-15 11:31:00,2024-10-17 11:31:00,245832600.0,231809100.0,14023500.0
HD000188,DH000081,2024-08-15 13:19:00,2024-08-29 13:19:00,4976000.0,4976000.0,0.0
HD000189,DH007760,2024-08-17 14:23:00,2024-11-03 14:23:00,146699700.0,146699700.0,0.0
HD000190,DH009898,2024-08-18 00:15:00,2024-08-27 00:15:00,5670000.0,5670000.0,0.0
HD000191,DH001294,2024-08-15 04:49:00,2024-11-08 04:49:00,371183900.0,371183900.0,0.0
HD000192,DH007103,2024-08-17 08:33:00,2024-10-03 08:33:00,96976500.0,96976500.0,0.0
HD000193,DH000456,2024-08-18 08:49:00,2024-09-02 08:49:00,22100.0,13500.0,8600.0
HD000194,DH009014,2024-08-17 09:37:00,2024-08-24 09:37:00,6213000.0,6213000.0,0.0
HD000195,DH001112,2024-08-16 11:45:00,2024-09-30 11:45:00,778239500.0,778239500.0,0.0
HD000196,DH005292,2024-08-17 12:21:00,2024-08-25 12:21:00,1316000.0,1316000.0,0.0
HD000197,DH001652,2024-08-17 13:26:00,2024-10-15 13:26:00,124177000.0,89883900.0,34293100.0
HD000198,DH010699,2024-08-15 15:27:00,2024-08-26 15:27:00,1460000.0,1460000.0,0.0
HD000199,DH010783,2024-08-18 18:49:00,2024-11-11 18:49:00,444117800.0,444117800.0,0.0
HD000200,DH001132,2024-08-15 20:17:00,2024-11-13 20:17:00,353685600.0,270638700.0,83046900.0
HD000201,DH003331,2024-08-16 20:47:00,2024-10-02 20:47:00,48387100.0,10524500.0,37862600.0
HD000202,DH009870,2024-08-15 21:32:00,2024-11-11 21:32:00,555791500.0,167906900.0,387884600.0
HD000203,DH000624,2024-08-18 22:40:00,2024-08-31 22:40:00,5511000.0,5511000.0,0.0
HD000204,DH008540,2024-08-16 23:45:00,2024-10-19 23:45:00,234721300.0,97883700.0,136837600.0
HD000205,DH002210,2024-08-19 01:22:00,2024-08-26 01:22:00,6716500.0,6716500.0,0.0
HD000206,DH003620,2024-08-16 04:29:00,2024-08-26 04:29:00,1332500.0,1332500.0,0.0
HD000207,DH003221,2024-08-17 09:39:00,2024-08-26 09:39:00,382500.0,382500.0,0.0
HD000208,DH005097,2024-08-17 10:05:00,2024-08-31 10:05:00,1011800.0,1011800.0,0.0
HD000209,DH010089,2024-08-17 18:51:00,2024-11-07 18:51:00,360513400.0,168618500.0,191894900.0
HD000210,DH010869,2024-08-19 01:12:00,2024-08-29 01:12:00,7861000.0,4500100.0,3360900.0
HD000211,DH009332,2024-08-18 05:38:00,2024-10-11 05:38:00,294399200.0,294399200.0,0.0
HD000212,DH007508,2024-08-17 05:53:00,2024-08-31 05:53:00,7162000.0,7162000.0,0.0
HD000213,DH001238,2024-08-18 07:37:00,2024-08-27 07:37:00,477900.0,477900.0,0.0
HD000214,DH000703,2024-08-17 10:41:00,2024-08-31 10:41:00,1139600.0,1139600.0,0.0
HD000215,DH008851,2024-08-17 12:09:00,2024-10-27 12:09:00,56778400.0,13787600.0,42990800.0
HD000216,DH003695,2024-08-19 12:43:00,2024-08-27 12:43:00,6406200.0,4291500.0,2114700.0
HD000217,DH004182,2024-08-17 19:49:00,2024-08-31 19:49:00,1700800.0,1700800.0,0.0
HD000218,DH003332,2024-08-19 21:49:00,2024-10-11 21:49:00,200705800.0,200705800.0,0.0
HD000219,DH007668,2024-08-17 21:53:00,2024-11-04 21:53:00,652651800.0,237727300.0,414924500.0
HD000220,DH006345,2024-08-19 22:05:00,2024-10-20 22:05:00,198847800.0,198847800.0,0.0
HD000221,DH009137,2024-08-17 22:22:00,2024-10-20 22:22:00,266489600.0,53155900.0,213333700.0
HD000222,DH002601,2024-08-18 23:00:00,2024-08-29 23:00:00,10095300.0,10095300.0,0.0
HD000223,DH008916,2024-08-18 00:06:00,2024-10-18 00:06:00,642316200.0,541593800.0,100722400.0
HD000224,DH008573,2024-08-20 04:17:00,2024-08-27 04:17:00,176000.0,176000.0,0.0
HD000225,DH010069,2024-08-19 06:06:00,2024-11-04 06:06:00,271160700.0,271160700.0,0.0
HD000226,DH002012,2024-08-19 06:54:00,2024-08-29 06:54:00,8301800.0,8301800.0,0.0
HD000227,DH000597,2024-08-20 07:05:00,2024-11-04 07:05:00,655890700.0,392748400.0,263142300.0
HD000228,DH000687,2024-08-20 09:11:00,2024-09-03 09:11:00,10495100.0,10495100.0,0.0
HD000229,DH009182,2024-08-20 11:47:00,2024-11-10 11:47:00,281130400.0,266869100.0,14261300.0
HD000230,DH000117,2024-08-20 12:33:00,2024-11-10 12:33:00,167316700.0,167316700.0,0.0
HD000231,DH000743,2024-08-19 14:45:00,2024-10-15 14:45:00,447794000.0,166116900.0,281677100.0
HD000232,DH002430,2024-08-18 15:34:00,2024-08-31 15:34:00,313200.0,313200.0,0.0
HD000233,DH007047,2024-08-20 19:20:00,2024-11-05 19:20:00,168545000.0,168545000.0,0.0
HD000234,DH003434,2024-08-20 22:06:00,2024-09-02 22:06:00,8739900.0,8739900.0,0.0
HD000235,DH003643,2024-08-22 00:10:00,2024-09-01 00:10:00,6650200.0,2764800.0,3885400.0
HD000236,DH004057,2024-08-19 04:12:00,2024-10-27 04:12:00,486744300.0,322035500.0,164708800.0
HD000237,DH001502,2024-08-20 07:56:00,2024-08-30 07:56:00,378000.0,378000.0,0.0
HD000238,DH009404,2024-08-19 09:36:00,2024-08-29 09:36:00,1028000.0,1028000.0,0.0
HD000239,DH007725,2024-08-21 13:32:00,2024-08-28 13:32:00,16180000.0,16180000.0,0.0
HD000240,DH006597,2024-08-21 14:43:00,2024-09-03 14:43:00,1179000.0,1179000.0,0.0
HD000241,DH004758,2024-08-19 15:56:00,2024-08-31 15:56:00,6090000.0,6090000.0,0.0
HD000242,DH002093,2024-08-19 17:45:00,2024-08-29 17:45:00,8240200.0,6625800.0,1614400.0
HD000243,DH009276,2024-08-21 17:59:00,2024-08-30 17:59:00,1800000.0,1800000.0,0.0
HD000244,DH004756,2024-08-20 19:15:00,2024-11-04 19:15:00,275716100.0,275716100.0,0.0
HD000245,DH011560,2024-08-21 19:16:00,2024-11-13 19:16:00,305009200.0,177651400.0,127357800.0
HD000246,DH002696,2024-08-22 20:38:00,2024-10-08 20:38:00,107204900.0,107204900.0,0.0
HD000247,DH010588,2024-08-20 23:00:00,2024-11-08 23:00:00,534146300.0,534146300.0,0.0
HD000248,DH009944,2024-08-22 23:28:00,2024-09-03 23:28:00,3692800.0,3692800.0,0.0
HD000249,DH004384,2024-08-21 01:35:00,2024-11-02 01:35:00,245102400.0,245102400.0,0.0
HD000250,DH006077,2024-08-21 02:49:00,2024-10-16 02:49:00,224633100.0,43001100.0,181632000.0
HD000251,DH008902,2024-08-23 03:31:00,2024-09-01 03:31:00,2978100.0,2978100.0,0.0
HD000252,DH002467,2024-08-22 05:32:00,2024-09-06 05:32:00,3138000.0,3138000.0,0.0
HD000253,DH006370,2024-08-20 06:47:00,2024-08-30 06:47:00,1477000.0,1477000.0,0.0
HD000254,DH008568,2024-08-23 08:18:00,2024-09-06 08:18:00,4560200.0,4560200.0,0.0
HD000255,DH001450,2024-08-22 08:53:00,2024-10-21 08:53:00,217720200.0,170457500.0,47262700.0
HD000256,DH000273,2024-08-20 10:34:00,2024-10-19 10:34:00,485450300.0,485450300.0,0.0
HD000257,DH009721,2024-08-22 11:27:00,2024-11-16 11:27:00,411881800.0,48632400.0,363249400.0
HD000258,DH003783,2024-08-21 11:36:00,2024-09-02 11:36:00,474000.0,474000.0,0.0
HD000259,DH002699,2024-08-20 19:34:00,2024-09-04 19:34:00,2250000.0,2250000.0,0.0
HD000260,DH003202,2024-08-22 01:11:00,2024-11-05 01:11:00,240909000.0,240909000.0,0.0
HD000261,DH005763,2024-08-21 02:33:00,2024-10-07 02:33:00,258620400.0,258620400.0,0.0
HD000262,DH000416,2024-08-23 08:48:00,2024-11-19 08:48:00,455946900.0,102066800.0,353880100.0
HD000263,DH008470,2024-08-22 11:20:00,2024-11-08 11:20:00,179300200.0,137008400.0,42291800.0
HD000264,DH009796,2024-08-23 12:56:00,2024-09-03 12:56:00,6557000.0,6557000.0,0.0
HD000265,DH011252,2024-08-24 13:02:00,2024-10-31 13:02:00,278007800.0,97338100.0,180669700.0
