MaDonMuaHang,MaNhaCungCap,MaSanPham,NgayDatHang,SoLuong,DonGiaMua
PO001336,NCC013,SP0021,2024-08-08 19:00:00,909,34900.0
PO000409,NCC003,SP0154,2024-08-09 07:44:26,1000,23700.0
PO000877,NCC035,SP0035,2024-08-09 21:44:08,524,559500.0
PO003240,NCC025,SP0162,2024-08-09 22:41:19,636,111300.0
PO002967,NCC034,SP0205,2024-08-10 02:51:13,383,257900.0
PO000527,NCC037,SP0175,2024-08-10 05:04:27,310,21100.0
PO000102,NCC034,SP0018,2024-08-10 07:02:37,280,532300.0
PO001307,NCC001,SP0012,2024-08-10 12:06:01,37,105200.0
PO001504,NCC015,SP0100,2024-08-11 02:01:33,454,170400.0
PO003200,NCC010,SP0220,2024-08-11 07:25:55,922,40900.0
PO003016,NCC036,SP0138,2024-08-11 21:51:42,307,26200.0
PO001174,NCC045,SP0077,2024-08-12 01:23:43,573,102900.0
PO003404,NCC014,SP0188,2024-08-12 12:11:35,641,100800.0
PO000295,NCC031,SP0070,2024-08-12 13:31:51,301,101500.0
PO001408,NCC025,SP0141,2024-08-12 14:27:11,102,42500.0
PO000185,NCC043,SP0116,2024-08-12 17:43:56,576,440800.0
PO001951,NCC017,SP0096,2024-08-13 00:18:58,748,42700.0
PO000293,NCC022,SP0143,2024-08-13 04:13:01,161,92700.0
PO002514,NCC031,SP0040,2024-08-13 05:55:24,761,125800.0
PO002078,NCC041,SP0071,2024-08-13 11:38:48,978,607100.0
PO002382,NCC043,SP0037,2024-08-13 14:40:41,998,104900.0
PO002009,NCC039,SP0203,2024-08-13 14:41:50,171,616900.0
PO002230,NCC001,SP0209,2024-08-13 16:49:16,648,72200.0
PO003163,NCC044,SP0147,2024-08-14 02:03:49,517,47500.0
PO000967,NCC023,SP0087,2024-08-14 02:49:33,778,117100.0
PO000899,NCC005,SP0027,2024-08-14 18:36:26,909,44800.0
PO001838,NCC011,SP0059,2024-08-14 22:06:09,891,463300.0
PO000141,NCC020,SP0191,2024-08-14 22:29:07,250,37200.0
PO002599,NCC018,SP0051,2024-08-15 08:55:54,594,181600.0
PO000438,NCC007,SP0045,2024-08-15 15:36:55,552,122700.0
PO000797,NCC045,SP0161,2024-08-15 15:37:21,50,77800.0
PO002235,NCC025,SP0101,2024-08-15 19:37:20,390,223600.0
PO002149,NCC029,SP0195,2024-08-16 03:20:14,82,118200.0
PO003219,NCC012,SP0021,2024-08-16 03:51:18,433,37300.0
PO003470,NCC016,SP0032,2024-08-16 15:23:48,236,119100.0
PO001900,NCC022,SP0214,2024-08-16 18:03:39,285,38800.0
PO000796,NCC026,SP0057,2024-08-16 21:17:29,815,163500.0
PO000842,NCC008,SP0209,2024-08-16 23:26:54,358,66200.0
PO001108,NCC002,SP0138,2024-08-17 03:13:11,151,25200.0
PO000071,NCC044,SP0208,2024-08-17 05:57:27,659,69900.0
PO003318,NCC034,SP0220,2024-08-17 06:21:25,644,40800.0
PO002197,NCC044,SP0192,2024-08-17 07:45:53,985,287900.0
PO001934,NCC039,SP0106,2024-08-17 12:18:28,50,129900.0
PO001746,NCC015,SP0036,2024-08-17 17:01:42,94,132200.0
PO000938,NCC032,SP0158,2024-08-17 18:57:54,129,109400.0
PO001467,NCC006,SP0074,2024-08-17 19:36:56,987,777600.0
PO000911,NCC009,SP0100,2024-08-18 00:00:22,70,152700.0
PO002058,NCC040,SP0021,2024-08-18 06:47:20,550,33200.0
PO001133,NCC044,SP0066,2024-08-18 11:50:28,931,388200.0
PO003152,NCC010,SP0113,2024-08-18 22:10:45,440,106600.0
PO002779,NCC037,SP0127,2024-08-19 12:07:33,428,29400.0
PO003068,NCC006,SP0152,2024-08-19 14:49:34,895,115500.0
PO002064,NCC021,SP0106,2024-08-19 19:01:56,229,109700.0
PO001043,NCC014,SP0187,2024-08-19 21:57:18,468,117700.0
PO000399,NCC032,SP0163,2024-08-19 22:50:42,629,110300.0
PO001568,NCC035,SP0114,2024-08-19 23:31:07,460,58500.0
PO003213,NCC018,SP0089,2024-08-20 01:17:07,839,120100.0
PO002393,NCC035,SP0197,2024-08-20 03:06:33,353,586900.0
PO002642,NCC002,SP0112,2024-08-20 04:08:29,91,111400.0
PO001909,NCC027,SP0147,2024-08-20 05:12:12,951,53900.0
PO003233,NCC016,SP0030,2024-08-20 17:20:00,956,550800.0
PO002545,NCC038,SP0005,2024-08-20 18:53:47,228,166600.0
PO000211,NCC031,SP0002,2024-08-21 01:36:46,114,24700.0
PO000556,NCC017,SP0009,2024-08-21 14:42:58,921,265600.0
PO001626,NCC045,SP0040,2024-08-21 16:45:28,126,103100.0
PO000551,NCC039,SP0038,2024-08-22 06:29:51,569,723000.0
PO001069,NCC028,SP0094,2024-08-22 06:56:07,21,82300.0
PO000092,NCC006,SP0157,2024-08-22 17:33:36,646,174300.0
PO000945,NCC003,SP0146,2024-08-22 18:45:32,131,55900.0
PO001176,NCC023,SP0170,2024-08-22 23:16:02,953,122500.0
PO003487,NCC035,SP0024,2024-08-23 01:20:51,246,54100.0
PO000608,NCC040,SP0103,2024-08-23 07:53:45,140,119900.0
PO001933,NCC002,SP0002,2024-08-23 09:40:01,34,24700.0
PO001955,NCC023,SP0095,2024-08-23 10:12:11,763,67300.0
PO001412,NCC016,SP0166,2024-08-23 11:34:19,431,204600.0
PO001782,NCC037,SP0041,2024-08-24 03:22:02,997,702500.0
PO000066,NCC018,SP0155,2024-08-24 09:23:51,54,150800.0
PO001675,NCC002,SP0175,2024-08-24 10:13:03,110,21000.0
PO001487,NCC019,SP0192,2024-08-24 17:06:45,254,391700.0
PO001873,NCC017,SP0026,2024-08-25 02:23:53,392,68000.0
PO003027,NCC012,SP0059,2024-08-25 12:03:24,760,478600.0
PO000588,NCC041,SP0158,2024-08-25 12:46:58,884,85000.0
PO003359,NCC001,SP0183,2024-08-25 15:12:57,205,96000.0
PO000030,NCC031,SP0200,2024-08-25 15:13:34,992,292300.0
PO001733,NCC029,SP0044,2024-08-25 20:20:11,937,956400.0
PO000203,NCC014,SP0073,2024-08-26 10:06:46,841,62700.0
PO003314,NCC023,SP0083,2024-08-26 13:17:53,921,45300.0
PO000222,NCC010,SP0212,2024-08-26 17:37:07,245,140700.0
PO002977,NCC027,SP0021,2024-08-27 01:45:22,179,34600.0
PO001830,NCC012,SP0185,2024-08-27 02:36:12,155,19700.0
PO002952,NCC016,SP0003,2024-08-27 05:04:19,177,45900.0
PO001020,NCC030,SP0085,2024-08-27 11:55:33,223,79100.0
PO000703,NCC045,SP0206,2024-08-27 21:49:35,349,35700.0
PO000659,NCC011,SP0211,2024-08-27 23:34:32,341,144100.0
PO001656,NCC031,SP0079,2024-08-28 08:16:53,914,19900.0
PO001334,NCC014,SP0004,2024-08-28 19:16:20,593,122000.0
PO002757,NCC014,SP0186,2024-08-29 08:02:30,611,733000.0
PO001045,NCC019,SP0066,2024-08-29 09:59:59,554,351000.0
PO000065,NCC045,SP0149,2024-08-29 12:21:44,136,791100.0
PO000333,NCC003,SP0125,2024-08-30 00:16:03,83,143300.0
PO001580,NCC044,SP0134,2024-08-30 12:35:21,631,94100.0
PO002816,NCC016,SP0004,2024-08-30 14:41:14,839,115500.0
PO002705,NCC037,SP0032,2024-08-30 19:51:44,150,111800.0
PO001129,NCC037,SP0110,2024-08-30 22:40:15,868,41300.0
PO000568,NCC017,SP0199,2024-08-31 10:54:23,393,93200.0
PO001335,NCC020,SP0148,2024-08-31 11:03:38,305,35900.0
PO002119,NCC015,SP0041,2024-08-31 14:47:09,205,712900.0
PO003316,NCC006,SP0191,2024-08-31 19:15:46,223,37900.0
PO002574,NCC044,SP0160,2024-08-31 19:43:39,630,45500.0
PO003225,NCC034,SP0179,2024-09-01 00:44:49,734,162100.0
PO001260,NCC002,SP0213,2024-09-01 08:20:08,613,24800.0
PO001588,NCC014,SP0071,2024-09-01 13:34:19,329,423400.0
PO001262,NCC037,SP0158,2024-09-02 02:50:20,553,102600.0
PO001997,NCC020,SP0096,2024-09-02 08:56:15,545,43200.0
PO003112,NCC044,SP0134,2024-09-02 14:59:39,919,105100.0
PO001974,NCC045,SP0054,2024-09-02 22:48:14,24,95800.0
PO000208,NCC019,SP0007,2024-09-03 00:17:51,226,116000.0
PO001981,NCC043,SP0118,2024-09-03 02:42:37,822,123500.0
PO000283,NCC003,SP0159,2024-09-03 03:06:39,232,394900.0
PO003063,NCC037,SP0038,2024-09-03 07:22:51,232,599600.0
PO003474,NCC042,SP0071,2024-09-03 15:29:43,136,498900.0
PO000812,NCC032,SP0010,2024-09-03 20:30:29,236,562500.0
PO001044,NCC036,SP0151,2024-09-04 19:08:01,944,132900.0
PO000230,NCC007,SP0161,2024-09-04 19:15:10,200,61100.0
PO000800,NCC020,SP0118,2024-09-05 07:45:45,651,130200.0
PO001631,NCC045,SP0122,2024-09-05 23:56:12,105,74400.0
PO002155,NCC009,SP0172,2024-09-06 01:11:11,303,489500.0
PO001601,NCC012,SP0197,2024-09-06 01:27:12,393,541100.0
PO000342,NCC040,SP0028,2024-09-06 05:15:25,63,91000.0
PO003274,NCC012,SP0058,2024-09-06 06:41:36,33,32300.0
PO002707,NCC026,SP0007,2024-09-06 11:32:18,353,126800.0
PO003437,NCC015,SP0156,2024-09-07 03:42:34,268,69400.0
PO002771,NCC014,SP0024,2024-09-07 08:22:19,505,66600.0
PO000453,NCC034,SP0148,2024-09-07 08:33:40,346,35100.0
PO001123,NCC024,SP0200,2024-09-07 09:49:33,917,343600.0
PO001243,NCC014,SP0032,2024-09-07 18:08:04,637,110500.0
PO001054,NCC019,SP0149,2024-09-07 18:32:00,119,862200.0
PO002074,NCC034,SP0193,2024-09-08 07:50:12,641,89900.0
PO003036,NCC022,SP0021,2024-09-08 08:54:20,163,36400.0
PO002333,NCC031,SP0147,2024-09-08 16:32:31,557,43200.0
PO000696,NCC027,SP0072,2024-09-08 17:20:06,371,422800.0
PO002151,NCC045,SP0204,2024-09-08 17:58:20,886,914300.0
PO003194,NCC019,SP0037,2024-09-08 22:36:35,238,112900.0
PO001329,NCC004,SP0191,2024-09-09 16:59:30,537,37600.0
PO002481,NCC008,SP0121,2024-09-10 02:19:01,734,106600.0
PO003187,NCC036,SP0087,2024-09-10 04:33:25,854,119200.0
PO001869,NCC029,SP0177,2024-09-10 04:45:08,904,158500.0
PO002334,NCC013,SP0025,2024-09-10 16:30:41,362,25500.0
PO002936,NCC014,SP0031,2024-09-10 19:53:37,498,42800.0
PO003023,NCC045,SP0150,2024-09-11 02:09:15,787,102600.0
PO003097,NCC041,SP0181,2024-09-11 05:53:47,590,482100.0
PO001298,NCC034,SP0089,2024-09-11 10:11:39,742,95200.0
PO000049,NCC033,SP0219,2024-09-11 11:13:53,462,41500.0
PO002711,NCC019,SP0066,2024-09-11 15:33:02,478,366300.0
PO000397,NCC003,SP0012,2024-09-11 21:50:25,387,97800.0
PO001922,NCC030,SP0189,2024-09-11 22:05:42,466,93700.0
PO001954,NCC028,SP0068,2024-09-11 23:24:38,405,39500.0
PO001281,NCC007,SP0065,2024-09-12 01:49:07,592,468700.0
PO002937,NCC027,SP0073,2024-09-12 03:18:36,460,61900.0
PO003415,NCC044,SP0100,2024-09-12 10:38:45,67,160800.0
PO001828,NCC040,SP0141,2024-09-12 12:30:33,625,45500.0
PO002515,NCC028,SP0097,2024-09-12 23:12:52,71,53700.0
PO002024,NCC007,SP0050,2024-09-13 01:26:45,55,485200.0
PO000294,NCC025,SP0119,2024-09-13 06:04:15,738,155300.0
PO003037,NCC013,SP0044,2024-09-13 14:50:03,375,832300.0
PO001056,NCC015,SP0005,2024-09-13 21:04:13,272,145000.0
PO003040,NCC039,SP0208,2024-09-13 23:23:20,922,73100.0
PO001705,NCC042,SP0073,2024-09-14 10:02:52,100,71000.0
PO001429,NCC013,SP0171,2024-09-14 10:43:15,40,19100.0
PO002910,NCC001,SP0032,2024-09-14 12:27:20,97,108900.0
PO000001,NCC039,SP0199,2024-09-15 16:23:33,461,73900.0
PO003137,NCC018,SP0184,2024-09-15 20:23:41,118,149800.0
PO000634,NCC023,SP0110,2024-09-15 22:51:15,727,42500.0
PO000664,NCC044,SP0070,2024-09-16 00:11:39,885,117200.0
PO000360,NCC030,SP0159,2024-09-16 14:18:25,943,463000.0
PO001226,NCC042,SP0060,2024-09-17 05:57:17,522,21300.0
PO002853,NCC039,SP0170,2024-09-17 14:45:16,958,159700.0
PO002470,NCC002,SP0078,2024-09-18 00:40:04,51,105000.0
PO002048,NCC011,SP0154,2024-09-18 06:59:14,766,25900.0
PO000048,NCC043,SP0116,2024-09-18 14:56:18,612,353900.0
PO002931,NCC041,SP0187,2024-09-19 05:09:56,146,157400.0
PO002811,NCC032,SP0171,2024-09-19 10:50:27,885,21300.0
PO001198,NCC027,SP0200,2024-09-19 18:06:02,227,292300.0
PO001952,NCC040,SP0105,2024-09-19 19:02:03,956,100700.0
PO000755,NCC017,SP0173,2024-09-20 01:20:13,586,104800.0
PO000336,NCC023,SP0136,2024-09-20 15:22:38,400,604400.0
PO000411,NCC012,SP0017,2024-09-20 19:32:13,969,40700.0
PO003356,NCC027,SP0209,2024-09-20 21:06:19,558,67800.0
PO001303,NCC016,SP0134,2024-09-21 07:47:33,736,108200.0
PO001190,NCC018,SP0114,2024-09-21 19:36:33,317,56800.0
PO002190,NCC009,SP0164,2024-09-21 21:59:00,177,481300.0
PO000023,NCC020,SP0159,2024-09-22 01:33:58,250,463700.0
PO001518,NCC025,SP0013,2024-09-22 09:41:36,222,79200.0
PO003024,NCC036,SP0067,2024-09-22 09:50:05,343,12600.0
PO001522,NCC045,SP0038,2024-09-22 10:21:01,641,590200.0
PO000673,NCC036,SP0216,2024-09-22 12:49:33,265,52400.0
PO001246,NCC015,SP0037,2024-09-22 17:15:42,442,93600.0
PO001564,NCC039,SP0162,2024-09-22 19:24:09,481,84400.0
PO002706,NCC030,SP0165,2024-09-23 02:53:05,26,21700.0
PO001366,NCC022,SP0186,2024-09-23 04:44:20,478,630700.0
PO002790,NCC022,SP0059,2024-09-23 12:20:30,445,498900.0
PO000383,NCC005,SP0054,2024-09-23 13:48:11,416,91600.0
PO002969,NCC029,SP0117,2024-09-24 03:43:01,629,35700.0
PO003413,NCC001,SP0173,2024-09-24 05:28:42,437,91800.0
PO002319,NCC021,SP0006,2024-09-24 09:54:03,722,733900.0
PO003281,NCC032,SP0175,2024-09-24 10:55:15,715,20200.0
PO002641,NCC011,SP0041,2024-09-24 14:32:59,425,687500.0
PO000300,NCC022,SP0048,2024-09-24 23:13:38,982,41400.0
PO000873,NCC024,SP0170,2024-09-25 00:04:21,218,148100.0
PO000138,NCC026,SP0174,2024-09-25 16:38:01,918,519700.0
PO001623,NCC023,SP0106,2024-09-25 21:55:49,81,114900.0
PO001238,NCC012,SP0220,2024-09-26 00:50:01,892,43500.0
PO000732,NCC024,SP0004,2024-09-26 02:50:27,581,102900.0
PO002959,NCC008,SP0153,2024-09-26 07:45:24,488,125700.0
PO002699,NCC010,SP0214,2024-09-26 20:04:04,535,42400.0
PO001488,NCC025,SP0111,2024-09-27 01:00:05,435,40600.0
PO002339,NCC022,SP0092,2024-09-27 03:09:09,969,31800.0
PO000206,NCC044,SP0011,2024-09-27 11:41:26,854,27500.0
PO003108,NCC022,SP0045,2024-09-27 14:50:17,342,119100.0
PO000695,NCC014,SP0078,2024-09-28 02:45:01,158,132100.0
PO002069,NCC006,SP0025,2024-09-28 03:02:36,277,22900.0
PO000684,NCC041,SP0030,2024-09-28 10:54:55,154,668600.0
PO000487,NCC043,SP0177,2024-09-28 21:56:53,432,128800.0
PO001117,NCC037,SP0138,2024-09-28 22:01:55,269,25100.0
PO002363,NCC002,SP0133,2024-09-28 22:04:34,646,159500.0
PO000665,NCC045,SP0088,2024-09-28 22:51:30,122,63800.0
PO002063,NCC017,SP0093,2024-09-29 02:39:32,157,771000.0
PO001008,NCC020,SP0013,2024-09-29 07:46:17,265,80500.0
PO001987,NCC010,SP0071,2024-09-29 08:52:24,793,549800.0
PO000391,NCC016,SP0203,2024-09-29 19:03:19,947,624000.0
PO002224,NCC012,SP0034,2024-09-29 20:10:59,173,175700.0
PO002523,NCC032,SP0095,2024-09-30 00:07:13,617,49300.0
PO003296,NCC025,SP0053,2024-09-30 00:28:36,673,163700.0
PO001316,NCC019,SP0008,2024-09-30 15:05:02,595,737600.0
PO002620,NCC034,SP0129,2024-09-30 15:32:22,88,117000.0
PO002866,NCC020,SP0071,2024-09-30 18:14:30,288,523700.0
PO001230,NCC009,SP0029,2024-10-01 08:19:52,953,140900.0
PO001664,NCC011,SP0064,2024-10-01 11:22:05,219,100700.0
PO002458,NCC004,SP0091,2024-10-01 13:29:55,403,43700.0
PO001061,NCC039,SP0073,2024-10-01 14:48:54,312,65300.0
PO000565,NCC011,SP0175,2024-10-01 15:08:02,897,20200.0
PO000850,NCC044,SP0129,2024-10-01 20:59:56,611,120600.0
PO001849,NCC036,SP0129,2024-10-01 22:57:25,771,154500.0
PO000523,NCC002,SP0007,2024-10-01 23:46:38,382,162800.0
PO000302,NCC033,SP0206,2024-10-02 00:45:11,780,37200.0
PO000974,NCC006,SP0082,2024-10-02 18:16:29,774,519000.0
PO002129,NCC019,SP0175,2024-10-02 20:57:31,471,20300.0
PO003425,NCC028,SP0174,2024-10-02 22:48:50,366,461100.0
PO003407,NCC014,SP0189,2024-10-02 23:58:11,33,95000.0
PO002441,NCC018,SP0145,2024-10-03 02:59:56,237,99600.0
PO002123,NCC007,SP0178,2024-10-03 05:17:18,285,155000.0
PO001896,NCC039,SP0024,2024-10-03 20:22:49,770,62000.0
PO001263,NCC019,SP0121,2024-10-04 07:28:28,562,112700.0
PO001107,NCC006,SP0097,2024-10-04 20:04:24,202,55700.0
PO000292,NCC019,SP0181,2024-10-04 20:22:31,343,488000.0
PO000381,NCC044,SP0115,2024-10-05 03:41:40,639,20200.0
PO001632,NCC039,SP0006,2024-10-05 06:55:25,764,644900.0
PO001462,NCC041,SP0050,2024-10-05 09:50:32,824,412200.0
PO000009,NCC043,SP0010,2024-10-05 16:15:14,235,558400.0
PO002732,NCC043,SP0143,2024-10-06 03:53:27,848,99400.0
PO002903,NCC044,SP0149,2024-10-06 08:02:56,199,939800.0
PO001578,NCC030,SP0191,2024-10-06 12:32:45,243,36800.0
PO000390,NCC038,SP0095,2024-10-06 14:09:54,95,54800.0
PO000329,NCC009,SP0025,2024-10-06 15:59:07,336,25700.0
PO003181,NCC011,SP0091,2024-10-06 16:26:17,407,43900.0
PO002097,NCC021,SP0202,2024-10-06 17:42:01,866,256200.0
PO002139,NCC016,SP0096,2024-10-06 18:06:45,140,41500.0
PO002181,NCC009,SP0012,2024-10-06 20:19:54,45,93500.0
PO000260,NCC001,SP0119,2024-10-06 21:24:34,955,157300.0
PO000892,NCC002,SP0069,2024-10-06 21:33:11,750,40100.0
PO001200,NCC030,SP0056,2024-10-06 22:00:49,536,40600.0
PO000906,NCC043,SP0202,2024-10-07 09:32:25,952,288700.0
PO002265,NCC024,SP0178,2024-10-07 10:27:27,305,152200.0
PO002290,NCC001,SP0077,2024-10-07 15:27:14,556,96900.0
PO000895,NCC007,SP0048,2024-10-08 06:49:49,637,40400.0
PO000792,NCC028,SP0167,2024-10-08 07:35:32,183,30100.0
PO001579,NCC043,SP0198,2024-10-08 09:49:06,738,18400.0
PO003070,NCC041,SP0144,2024-10-08 16:24:47,359,136800.0
PO000957,NCC019,SP0148,2024-10-08 22:41:14,839,37600.0
PO002736,NCC013,SP0023,2024-10-08 23:41:31,780,103800.0
PO003441,NCC019,SP0174,2024-10-09 01:03:23,299,480500.0
PO000534,NCC004,SP0131,2024-10-09 01:33:27,866,28400.0
PO001620,NCC040,SP0009,2024-10-09 03:14:45,225,284900.0
PO003307,NCC029,SP0160,2024-10-09 08:58:04,85,42400.0
PO003373,NCC045,SP0172,2024-10-09 09:38:18,176,450400.0
PO003297,NCC034,SP0219,2024-10-09 16:07:54,694,45000.0
PO003095,NCC023,SP0160,2024-10-09 16:58:11,466,53400.0
PO001188,NCC025,SP0118,2024-10-09 21:15:40,254,118300.0
PO000607,NCC040,SP0095,2024-10-10 05:07:34,802,52300.0
PO003313,NCC005,SP0219,2024-10-10 06:34:19,744,45000.0
PO002359,NCC027,SP0095,2024-10-10 08:41:11,945,64500.0
PO000018,NCC018,SP0148,2024-10-10 09:16:21,505,35300.0
PO001740,NCC001,SP0192,2024-10-10 15:14:31,540,355200.0
PO001857,NCC024,SP0028,2024-10-10 18:11:53,683,115700.0
PO001531,NCC009,SP0064,2024-10-10 23:07:23,343,121900.0
PO001294,NCC013,SP0113,2024-10-11 00:33:11,112,108800.0
PO002081,NCC031,SP0214,2024-10-11 08:07:35,239,40100.0
PO000839,NCC012,SP0065,2024-10-11 12:13:46,144,542500.0
PO001295,NCC022,SP0010,2024-10-12 07:51:34,808,527800.0
PO001416,NCC030,SP0016,2024-10-12 08:58:04,703,563400.0
PO001916,NCC033,SP0017,2024-10-12 09:46:15,414,36300.0
PO001395,NCC030,SP0031,2024-10-12 13:20:29,794,42700.0
PO003400,NCC014,SP0158,2024-10-12 17:24:19,251,99400.0
PO000423,NCC039,SP0072,2024-10-13 00:43:57,723,381600.0
PO002693,NCC032,SP0029,2024-10-13 03:10:32,278,159800.0
PO000270,NCC036,SP0071,2024-10-13 05:06:21,502,539000.0
PO001902,NCC014,SP0172,2024-10-13 06:46:39,679,491300.0
PO003106,NCC033,SP0146,2024-10-13 13:29:21,220,78600.0
PO000196,NCC007,SP0117,2024-10-13 15:05:58,773,32500.0
PO000614,NCC021,SP0018,2024-10-14 04:49:30,881,569300.0
PO001659,NCC038,SP0104,2024-10-14 11:16:39,476,688900.0
PO003335,NCC021,SP0089,2024-10-15 02:35:49,487,112300.0
PO002068,NCC045,SP0204,2024-10-15 10:56:51,329,840500.0
PO001641,NCC017,SP0140,2024-10-15 13:30:48,314,169400.0
PO001945,NCC028,SP0193,2024-10-15 14:06:59,777,82800.0
PO001617,NCC029,SP0101,2024-10-15 18:22:43,766,197000.0
PO000715,NCC043,SP0111,2024-10-15 20:00:48,417,37300.0
PO001881,NCC018,SP0065,2024-10-15 23:32:44,921,474900.0
PO000749,NCC003,SP0021,2024-10-16 02:27:02,772,35200.0
PO001482,NCC016,SP0141,2024-10-16 04:18:36,575,46500.0
PO002913,NCC038,SP0032,2024-10-16 08:00:17,479,111100.0
PO002516,NCC007,SP0106,2024-10-16 15:42:39,315,111700.0
PO001532,NCC038,SP0163,2024-10-16 18:26:20,797,97600.0
PO001985,NCC011,SP0022,2024-10-16 19:10:54,298,869500.0
PO000008,NCC038,SP0190,2024-10-17 01:04:59,601,30800.0
PO002864,NCC043,SP0056,2024-10-17 07:30:57,94,47400.0
PO002810,NCC008,SP0086,2024-10-17 15:24:14,56,121200.0
PO003069,NCC030,SP0220,2024-10-17 21:57:20,489,44800.0
PO002305,NCC028,SP0013,2024-10-18 01:57:09,675,81300.0
PO002223,NCC002,SP0046,2024-10-18 05:54:40,753,27000.0
PO000657,NCC044,SP0038,2024-10-18 11:13:16,261,660600.0
PO002061,NCC043,SP0160,2024-10-18 11:31:16,927,51000.0
PO000622,NCC004,SP0206,2024-10-18 13:32:55,237,36900.0
PO001980,NCC044,SP0016,2024-10-18 16:37:56,636,615300.0
PO000475,NCC027,SP0178,2024-10-19 03:33:50,357,146200.0
PO000274,NCC014,SP0101,2024-10-19 06:42:03,354,243300.0
PO003456,NCC008,SP0159,2024-10-19 08:02:51,21,462600.0
PO001322,NCC006,SP0014,2024-10-19 12:32:07,136,460400.0
PO002723,NCC012,SP0065,2024-10-19 16:52:04,93,553600.0
PO001134,NCC042,SP0025,2024-10-19 17:48:07,746,27400.0
PO002447,NCC016,SP0145,2024-10-19 19:04:40,653,103400.0
PO002717,NCC010,SP0025,2024-10-20 02:15:43,797,26900.0
PO001618,NCC035,SP0195,2024-10-20 08:30:07,106,157400.0
PO003114,NCC040,SP0008,2024-10-20 12:46:25,957,859300.0
PO001667,NCC026,SP0141,2024-10-20 17:53:22,799,45500.0
PO001778,NCC024,SP0107,2024-10-21 04:28:11,336,178600.0
PO001495,NCC024,SP0047,2024-10-21 05:25:59,713,105600.0
PO000372,NCC025,SP0187,2024-10-21 11:07:45,408,129800.0
PO001478,NCC003,SP0036,2024-10-21 11:46:24,577,145100.0
PO002769,NCC004,SP0005,2024-10-21 13:41:40,262,137900.0
PO000585,NCC034,SP0127,2024-10-21 22:05:18,529,28400.0
PO001185,NCC035,SP0142,2024-10-22 06:27:34,332,308600.0
PO002065,NCC005,SP0044,2024-10-22 13:30:00,617,881800.0
PO000290,NCC008,SP0028,2024-10-22 18:24:40,31,90500.0
PO002371,NCC037,SP0208,2024-10-22 18:29:14,579,84200.0
PO000694,NCC028,SP0092,2024-10-23 06:22:03,669,33000.0
PO002120,NCC032,SP0218,2024-10-23 08:07:58,888,103100.0
PO001187,NCC008,SP0127,2024-10-23 09:25:32,530,28100.0
PO001684,NCC003,SP0105,2024-10-23 09:58:42,864,125200.0
PO000311,NCC002,SP0172,2024-10-23 11:26:53,361,505500.0
PO000593,NCC005,SP0067,2024-10-23 17:39:43,208,11100.0
PO002241,NCC007,SP0202,2024-10-23 21:13:26,254,243300.0
