MaChiTiet,MaDonHang,MaSanPham,SoLuong,GiaBanThucTe,ChietKhau
CT0000102,DH000531,SP0023,10,215000.0,0.05
CT0000103,DH008978,SP0034,9,236000.0,0.0
CT0000104,DH008978,SP0005,12,248500.0,0.0
CT0000105,DH001622,SP0072,6,719000.0,0.05
CT0000106,DH001622,SP0213,7,31000.0,0.0
CT0000107,DH006848,SP0105,291,219000.0,0.0
CT0000108,DH006848,SP0207,297,26000.0,0.0
CT0000109,DH006848,SP0104,234,1251000.0,0.0
CT0000110,DH006848,SP0187,72,258000.0,0.15
CT0000111,DH006848,SP0118,137,242000.0,0.0
CT0000112,DH006848,SP0176,119,172000.0,0.0
CT0000113,DH006848,SP0097,246,112000.0,0.0
CT0000114,DH004670,SP0048,145,54000.0,0.0
CT0000115,DH004670,SP0101,166,375000.0,0.05
CT0000116,DH004670,SP0168,227,27000.0,0.0
CT0000117,DH006201,SP0095,287,117000.0,0.05
CT0000118,DH006201,SP0108,163,172000.0,0.15
CT0000119,DH006201,SP0217,192,291000.0,0.0
CT0000120,DH006201,SP0165,235,30000.0,0.0
CT0000121,DH006201,SP0198,200,23000.0,0.15
CT0000122,DH006201,SP0215,172,112000.0,0.05
CT0000123,DH004639,SP0022,160,1403000.0,0.1
CT0000124,DH004639,SP0196,133,172000.0,0.1
CT0000125,DH004639,SP0016,55,978000.0,0.15
CT0000126,DH004639,SP0087,88,231000.0,0.0
CT0000127,DH004639,SP0001,112,38000.0,0.0
CT0000128,DH008442,SP0201,3,905300.0,0.0
CT0000129,DH008442,SP0077,5,184300.0,0.15
CT0000130,DH008442,SP0110,8,39000.0,0.15
CT0000131,DH001419,SP0108,2,172000.0,0.05
CT0000132,DH004654,SP0057,8,306000.0,0.0
CT0000133,DH004654,,1,193000.0,0.0
CT0000134,DH001736,SP0199,202,165000.0,0.0
CT0000135,DH001736,SP9011,337,112000.0,0.05
CT0000136,DH001736,SP0043,231,252000.0,0.1
CT0000137,DH001736,SP0140,77,295000.0,0.15
CT0000138,DH004169,SP0039,216,19000.0,0.05
CT0000139,DH004169,SP0149,78,1399000.0,0.0
CT0000140,DH004169,SP0052,272,37000.0,0.0
CT0000141,DH004169,SP0016,172,978000.0,0.0
CT0000142,DH004169,SP0148,269,47000.0,0.0
CT0000143,DH004169,SP0206,160,48000.0,0.05
CT0000144,DH002555,SP0102,106,885000.0,0.05
CT0000145,DH002555,SP0155,266,300000.0,0.05
CT0000146,DH002555,SP0014,64,763000.0,0.0
CT0000147,DH009344,SP0016,213,978000.0,0.15
CT0000148,DH009344,SP0069,170,82000.0,0.05
CT0000149,DH009344,SP0031,205,52000.0,0.05
CT0000150,DH009344,SP0118,255,242000.0,0.0
CT0000151,DH009344,SP0169,76,922000.0,0.1
CT0000152,DH009344,SP0216,197,101000.0,0.0
CT0000153,DH009344,SP0147,178,93000.0,0.05
CT0000154,DH003211,SP0146,222,134000.0,0.0
CT0000155,DH003211,SP0160,218,91000.0,0.05
CT0000156,DH003211,SP0100,137,289000.0,0.1
CT0000157,DH001558,SP0212,3,306000.0,0.0
CT0000158,DH001558,SP0018,10,1029000.0,0.1
CT0000159,DH010999,SP0005,201,274000.0,0.1
CT0000160,DH010999,SP0132,182,493000.0,0.0
CT0000161,DH010999,SP0172,232,803000.0,0.05
CT0000162,DH010999,SP0193,190,150000.0,0.1
CT0000163,DH004667,SP0131,139,38000.0,0.1
CT0000164,DH004667,SP9012,153,331000.0,0.1
CT0000165,DH004667,,239,258000.0,0.05
CT0000166,DH004667,SP0066,187,572000.0,0.15
CT0000167,DH004667,SP0200,160,523000.0,0.0
CT0000168,DH004667,SP0056,164,56000.0,0.0
CT0000169,DH004667,,285,42000.0,0.1
CT0000170,DH008322,SP0179,5,278000.0,0.0
CT0000171,DH010698,SP0146,8,134000.0,0.0
CT0000172,DH006452,,6,451300.0,0.1
CT0000173,DH006452,SP0125,6,231300.0,0.0
CT0000174,DH007828,SP0208,244,145000.0,0.0
CT0000175,DH007828,SP0050,148,786000.0,0.05
CT0000176,DH007828,SP0219,269,82000.0,0.0
CT0000177,DH004967,SP0169,237,922000.0,0.1
CT0000178,DH004967,SP0023,342,215000.0,0.0
CT0000179,DH004967,SP0017,120,50000.0,0.0
CT0000180,DH004967,SP0214,187,50000.0,0.0
CT0000181,DH004967,SP0084,282,187000.0,0.1
CT0000182,DH004967,SP0098,110,138000.0,0.0
CT0000183,DH004967,SP0115,242,27000.0,0.05
CT0000184,DH004967,SP0196,128,172000.0,0.1
CT0000185,DH009144,SP0213,165,31000.0,0.0
CT0000186,DH009144,SP0214,157,50000.0,0.0
CT0000187,DH009144,SP0204,64,1413000.0,0.1
CT0000188,DH009144,SP0208,121,145000.0,0.15
CT0000189,DH009144,SP0209,245,146000.0,0.0
CT0000190,DH009144,SP0031,219,52000.0,0.0
CT0000191,DH009144,SP0165,219,30000.0,0.0
CT0000192,DH009144,SP0062,145,326000.0,0.1
CT0000193,DH010927,SP0164,107,879000.0,0.0
CT0000194,DH010927,SP0061,316,251000.0,0.15
CT0000195,DH010927,SP0121,301,228000.0,0.1
CT0000196,DH010927,SP9012,66,31000.0,0.0
CT0000197,DH010927,SP0022,77,1403000.0,0.1
CT0000198,DH010927,,236,1413000.0,0.0
CT0000199,DH006091,SP0062,10,284900.0,0.0
CT0000200,DH006091,SP0098,1,104500.0,0.0
CT0000201,DH006091,SP0207,8,23700.0,0.1
CT0000202,DH006235,SP0078,147,186300.0,0.0
CT0000203,DH006235,SP0111,203,45800.0,0.0
CT0000204,DH006235,SP0188,65,206800.0,0.0
CT0000205,DH008531,SP0207,6,26000.0,0.0
CT0000206,DH008531,SP0140,12,295000.0,0.0
CT0000207,DH008531,SP0017,10,50000.0,0.0
CT0000208,DH006572,SP0127,9,37000.0,0.1
CT0000209,DH006269,SP0181,2,852000.0,0.1
CT0000210,DH006497,,209,226000.0,0.1
CT0000211,DH006497,SP0112,306,189000.0,0.05
CT0000212,DH006497,SP0203,295,1183000.0,0.15
CT0000213,DH006497,SP0216,62,101000.0,0.15
CT0000214,DH006497,SP0137,158,1093000.0,0.1
CT0000215,DH006497,SP0153,78,212000.0,0.0
CT0000216,DH006497,SP0014,128,763000.0,0.0
CT0000217,DH006497,SP0006,159,1160000.0,0.15
CT0000218,DH009151,SP0185,169,25000.0,0.15
CT0000219,DH009151,SP0100,101,289000.0,0.1
CT0000220,DH009151,SP0025,121,32000.0,0.0
CT0000221,DH009151,SP0027,343,93000.0,0.0
CT0000222,DH009151,SP0123,177,292000.0,0.05
CT0000223,DH009151,SP9004,62,282000.0,0.1
CT0000224,DH002981,SP0088,9,128000.0,0.15
CT0000225,DH011275,SP0142,5,595000.0,0.15
CT0000226,DH011275,SP0040,1,258000.0,0.0
CT0000227,DH002452,SP0166,132,396000.0,0.15
CT0000228,DH002452,SP0123,199,292000.0,0.0
CT0000229,DH002452,SP0125,122,289000.0,0.0
CT0000230,DH002452,SP0183,67,170000.0,0.0
CT0000231,DH002452,SP0176,65,172000.0,0.0
CT0000232,DH002452,SP0151,82,242000.0,0.0
CT0000233,DH002452,,66,1328000.0,0.15
CT0000234,DH001813,SP0106,6,265000.0,0.1
CT0000235,DH001813,SP0024,10,104000.0,0.1
CT0000236,DH001813,SP0115,7,27000.0,0.0
CT0000237,DH000356,SP0176,212,192600.0,0.05
CT0000238,DH000356,SP0080,181,164400.0,0.0
CT0000239,DH000356,SP0157,215,311800.0,0.0
CT0000240,DH000356,SP0078,237,201100.0,0.0
CT0000241,DH000589,SP0216,4,101000.0,0.0
CT0000242,DH000589,,7,207000.0,0.0
CT0000243,DH000589,SP0130,10,331000.0,0.1
CT0000244,DH004223,SP0022,270,1106100.0,0.05
CT0000245,DH004223,SP0003,109,46100.0,0.0
CT0000246,DH004223,SP0035,117,768000.0,0.1
CT0000247,DH005488,SP0038,228,1190000.0,0.05
CT0000248,DH005488,SP0114,74,109000.0,0.1
CT0000249,DH005488,SP0193,153,150000.0,0.1
CT0000250,DH005488,SP0125,128,289000.0,0.15
CT0000251,DH009676,,9,1045000.0,0.0
CT0000252,DH007044,SP0158,7,185000.0,0.15
CT0000253,DH009755,,5,48000.0,0.0
CT0000254,DH009755,SP0051,9,333000.0,0.0
CT0000255,DH003109,SP0062,9,326000.0,0.15
CT0000256,DH008606,SP0031,269,52000.0,0.0
CT0000257,DH008606,SP0081,172,40000.0,0.05
CT0000258,DH008606,SP0166,204,396000.0,0.0
CT0000259,DH003045,SP0173,7,169000.0,0.0
CT0000260,DH003658,SP0160,10,91000.0,0.0
CT0000261,DH011726,SP0207,3,22100.0,0.0
CT0000262,DH011726,SP0064,9,235800.0,0.0
CT0000263,DH007358,SP0130,4,331000.0,0.1
CT0000264,DH006757,SP0063,9,108000.0,0.0
CT0000265,DH006757,SP0031,3,52000.0,0.0
CT0000266,DH003589,SP0175,121,26000.0,0.0
CT0000267,DH003589,SP0184,114,293000.0,0.15
CT0000268,DH003589,SP0057,87,306000.0,0.0
CT0000269,DH003589,SP0038,239,1190000.0,0.0
CT0000270,DH006647,SP0090,8,714300.0,0.1
CT0000271,DH006647,SP0205,7,388800.0,0.0
CT0000272,DH006647,SP0190,7,41900.0,0.0
CT0000273,DH008445,SP0002,157,33000.0,0.15
CT0000274,DH008445,SP0126,116,127000.0,0.15
CT0000275,DH008445,SP0051,133,333000.0,0.0
CT0000276,DH008445,SP0058,234,41000.0,0.1
CT0000277,DH008445,SP0096,61,54000.0,0.0
CT0000278,DH008445,SP0005,288,274000.0,0.1
CT0000279,DH008445,SP0004,107,224000.0,0.1
CT0000280,DH003264,SP0011,90,36000.0,0.1
CT0000281,DH003264,SP0122,169,150000.0,0.0
CT0000282,DH003264,SP0220,143,54000.0,0.15
CT0000283,DH003264,,138,855000.0,0.1
CT0000284,DH003264,SP0139,162,257000.0,0.15
CT0000285,DH007610,SP0148,165,43700.0,0.0
CT0000286,DH007610,SP0049,283,247000.0,0.05
CT0000287,DH007610,SP0188,274,198400.0,0.0
CT0000288,DH007610,SP0192,211,451200.0,0.15
CT0000289,DH009720,SP0130,4,380600.0,0.05
CT0000290,DH009720,SP0119,1,260600.0,0.1
CT0000291,DH006712,SP0095,6,117000.0,0.1
CT0000292,DH007979,SP0212,3,306000.0,0.05
CT0000293,DH005379,SP0194,4,188000.0,0.15
CT0000294,DH002404,SP0022,100,1403000.0,0.0
CT0000295,DH002404,SP0105,244,219000.0,0.05
CT0000296,DH002404,SP0118,277,242000.0,0.0
CT0000297,DH002404,SP0096,248,54000.0,0.0
CT0000298,DH002404,SP0218,302,193000.0,0.0
CT0000299,DH002404,SP0006,246,1160000.0,0.0
CT0000300,DH002404,SP0017,262,50000.0,0.0
CT0000301,DH002404,SP0095,289,117000.0,0.05
CT0000302,DH001159,SP0087,7,231000.0,0.15
CT0000303,DH001159,SP0194,9,188000.0,0.1
CT0000304,DH006297,SP0173,9,169000.0,0.0
CT0000305,DH006297,SP0108,5,172000.0,0.05
CT0000306,DH006297,SP0055,10,297000.0,0.1
CT0000307,DH001091,SP0121,1,228000.0,0.15
CT0000308,DH001091,SP0003,6,59000.0,0.0
CT0000309,DH001091,SP9009,9,1123000.0,0.0
CT0000310,DH008380,SP0150,88,228000.0,0.15
CT0000311,DH008380,SP0141,250,103000.0,0.0
CT0000312,DH008380,SP0190,218,39000.0,0.1
CT0000313,DH008380,SP0020,149,125000.0,0.0
CT0000314,DH008380,SP0205,165,488000.0,0.15
CT0000315,DH008380,SP0046,241,34000.0,0.0
CT0000316,DH008380,SP0181,266,852000.0,0.0
CT0000317,DH000950,SP0125,7,289000.0,0.0
CT0000318,DH000950,SP0203,5,1183000.0,0.0
CT0000319,DH000950,SP0195,2,282000.0,0.0
CT0000320,DH009110,SP0084,250,187000.0,0.0
CT0000321,DH009110,SP0099,284,254000.0,0.05
CT0000322,DH009110,SP0040,262,258000.0,0.0
CT0000323,DH009110,SP0044,223,1422000.0,0.0
CT0000324,DH009110,SP0004,292,224000.0,0.0
CT0000325,DH009110,SP0139,200,257000.0,0.1
CT0000326,DH009110,SP0169,225,922000.0,0.15
CT0000327,DH009110,SP0053,148,288000.0,0.0
CT0000328,DH006360,SP0133,222,255000.0,0.15
CT0000329,DH006360,,275,119000.0,0.05
CT0000330,DH006360,SP0115,61,27000.0,0.15
CT0000331,DH006360,SP0020,160,125000.0,0.1
CT0000332,DH004519,SP0205,10,488000.0,0.1
CT0000333,DH004519,SP0167,5,38000.0,0.0
CT0000334,DH004519,SP0052,2,37000.0,0.0
CT0000335,DH011155,SP0169,9,922000.0,0.0
CT0000336,DH011155,SP0218,10,193000.0,0.15
CT0000337,DH006310,SP0158,100,202700.0,0.1
CT0000338,DH006310,SP0037,209,225900.0,0.15
CT0000339,DH006310,SP0019,168,173900.0,0.0
CT0000340,DH006310,SP0098,147,125300.0,0.15
CT0000341,DH000787,SP0125,9,289000.0,0.0
CT0000342,DH003988,SP0127,2,37000.0,0.0
CT0000343,DH003988,SP9014,4,1413000.0,0.05
CT0000344,DH003988,SP0205,4,488000.0,0.15
CT0000345,DH009659,SP0093,135,1218000.0,0.15
CT0000346,DH009659,SP0097,294,112000.0,0.15
CT0000347,DH009659,SP0154,243,31000.0,0.05
CT0000348,DH004394,SP0081,198,33900.0,0.05
CT0000349,DH004394,SP0161,238,110500.0,0.0
CT0000350,DH004394,SP0009,68,449500.0,0.0
CT0000351,DH004394,SP0176,104,156700.0,0.0
CT0000352,DH008747,SP0141,9,112100.0,0.1
CT0000353,DH010097,SP0150,277,228000.0,0.1
CT0000354,DH010097,SP0173,281,169000.0,0.1
CT0000355,DH010097,SP0204,289,1413000.0,0.05
CT0000356,DH010097,SP0211,282,265000.0,0.0
CT0000357,DH010097,SP0001,184,38000.0,0.0
CT0000358,DH010097,SP0174,73,855000.0,0.0
CT0000359,DH010097,SP0141,167,103000.0,0.0
CT0000360,DH000158,SP0153,175,212000.0,0.0
CT0000361,DH000158,SP0191,112,47000.0,0.05
CT0000362,DH000158,SP0045,207,232000.0,0.0
CT0000363,DH000158,SP0053,179,288000.0,0.15
CT0000364,DH000158,SP0181,135,852000.0,0.1
CT0000365,DH004505,SP0130,5,331000.0,0.0
CT0000366,DH004505,SP0074,8,1255000.0,0.0
CT0000367,DH004505,SP0067,2,15000.0,0.0
CT0000368,DH007722,SP0111,231,52000.0,0.05
CT0000369,DH007722,SP9013,176,54000.0,0.05
CT0000370,DH007722,SP0203,104,1183000.0,0.1
CT0000371,DH007722,SP9010,288,170000.0,0.0
CT0000372,DH005114,SP0184,10,293000.0,0.0
CT0000373,DH005430,SP0130,5,366300.0,0.0
CT0000374,DH005430,SP0015,9,128500.0,0.0
CT0000375,DH005430,SP0206,4,38200.0,0.0
CT0000376,DH000730,SP0121,7,184000.0,0.05
CT0000377,DH000730,SP0146,9,126500.0,0.15
CT0000378,DH000730,SP0125,5,302700.0,0.0
CT0000379,DH000483,SP0143,2,174000.0,0.1
CT0000380,DH002644,SP0017,267,50000.0,0.15
CT0000381,DH002644,SP0208,170,145000.0,0.0
CT0000382,DH002644,SP0135,168,1123000.0,0.0
CT0000383,DH000292,SP0024,5,82800.0,0.0
CT0000384,DH000292,SP0183,2,192800.0,0.0
CT0000385,DH000292,SP0178,7,232800.0,0.0
CT0000386,DH008801,SP0178,83,264000.0,0.15
CT0000387,DH008801,SP0113,120,216000.0,0.0
CT0000388,DH008801,SP0080,97,203000.0,0.0
CT0000389,DH008801,SP0100,201,289000.0,0.1
CT0000390,DH008801,SP0002,79,33000.0,0.05
CT0000391,DH008801,SP9002,251,56000.0,0.0
CT0000392,DH008801,SP0015,128,119000.0,0.0
CT0000393,DH001002,SP0063,84,108000.0,0.0
CT0000394,DH001002,SP0036,214,274000.0,0.0
CT0000395,DH001002,SP0127,206,37000.0,0.0
CT0000396,DH001002,SP9008,56,54000.0,0.05
CT0000397,DH001002,SP0081,105,40000.0,0.0
CT0000398,DH001002,SP0135,269,1123000.0,0.0
CT0000399,DH001002,SP0140,91,295000.0,0.05
CT0000400,DH001002,SP0142,138,595000.0,0.0
CT0000401,DH010323,SP0043,2,263800.0,0.1
CT0000402,DH010323,SP0102,10,782500.0,0.0
CT0000403,DH005242,SP0148,74,47000.0,0.0
CT0000404,DH005242,SP0089,62,207000.0,0.0
CT0000405,DH005242,SP0058,167,41000.0,0.1
CT0000406,DH007878,SP0215,93,95400.0,0.0
CT0000407,DH007878,SP0047,99,202300.0,0.1
CT0000408,DH007878,,216,157400.0,0.0
CT0000409,DH007878,SP0083,69,62400.0,0.0
CT0000410,DH007878,SP0017,219,56000.0,0.05
CT0000411,DH007878,SP0058,294,33600.0,0.0
CT0000412,DH007878,SP0102,95,767200.0,0.0
CT0000413,DH007878,SP0164,267,797700.0,0.1
CT0000414,DH011634,SP0144,312,231000.0,0.0
CT0000415,DH011634,SP0217,171,291000.0,0.1
CT0000416,DH011634,SP0024,171,104000.0,0.0
CT0000417,DH011634,SP0214,271,50000.0,0.15
CT0000418,DH011634,SP0153,126,212000.0,0.05
CT0000419,DH011634,SP0080,68,203000.0,0.05
CT0000420,DH011634,SP0002,176,33000.0,0.0
CT0000421,DH011634,SP0020,278,125000.0,0.05
CT0000422,DH008786,SP0010,5,1008000.0,0.0
CT0000423,DH011865,SP0179,338,278000.0,0.1
CT0000424,DH011865,SP0183,59,170000.0,0.05
CT0000425,DH011865,SP0147,274,93000.0,0.0
CT0000426,DH004577,SP0176,4,172000.0,0.0
CT0000427,DH004577,SP0090,6,855000.0,0.0
CT0000428,DH004577,SP0059,2,782000.0,0.05
CT0000429,DH001835,SP0048,263,54000.0,0.1
CT0000430,DH001835,SP0108,137,172000.0,0.05
CT0000431,DH001835,SP0034,334,279000.0,0.0
CT0000432,DH001835,SP0084,174,187000.0,0.0
CT0000433,DH001835,SP0018,59,1029000.0,0.0
CT0000434,DH001835,SP0010,220,1008000.0,0.0
CT0000435,DH001835,SP0080,296,203000.0,0.15
CT0000436,DH001835,SP0216,292,101000.0,0.0
CT0000437,DH002828,SP0053,82,288000.0,0.0
CT0000438,DH002828,SP0057,201,306000.0,0.05
CT0000439,DH002828,SP0169,163,922000.0,0.0
CT0000440,DH009728,SP0151,290,242000.0,0.0
CT0000441,DH009728,SP0214,125,50000.0,0.0
CT0000442,DH009728,SP0212,172,306000.0,0.0
CT0000443,DH009105,SP0164,4,879000.0,0.0
CT0000444,DH003990,SP0162,8,213300.0,0.0
CT0000445,DH003990,SP0175,4,22000.0,0.0
CT0000446,DH003990,SP0108,12,132200.0,0.0
CT0000447,DH002920,SP0204,300,1248700.0,0.1
CT0000448,DH002920,SP0099,338,228300.0,0.0
CT0000449,DH002920,SP0058,173,38600.0,0.0
CT0000450,DH002920,,101,275900.0,0.0
CT0000451,DH011880,SP0026,10,118000.0,0.0
CT0000452,DH011880,SP0151,1,242000.0,0.0
CT0000453,DH011880,SP0082,9,1015000.0,0.0
CT0000454,DH006382,SP0101,3,413800.0,0.15
CT0000455,DH010992,SP0125,1,270400.0,0.0
CT0000456,DH010992,SP0093,5,1127600.0,0.05
CT0000457,DH005163,SP0062,5,245900.0,0.05
CT0000458,DH005163,SP0166,6,407900.0,0.0
CT0000459,DH005163,SP0032,1,207000.0,0.0
CT0000460,DH003047,SP0066,233,572000.0,0.15
CT0000461,DH003047,SP0197,235,943000.0,0.15
CT0000462,DH003047,,337,207000.0,0.0
CT0000463,DH003047,SP0095,149,117000.0,0.15
CT0000464,DH003047,SP0216,123,101000.0,0.15
CT0000465,DH003047,SP0093,91,1218000.0,0.0
CT0000466,DH003047,SP0131,75,38000.0,0.1
CT0000467,DH001309,SP9009,10,172000.0,0.0
CT0000468,DH005234,SP0055,146,297000.0,0.0
CT0000469,DH005234,SP0044,76,1422000.0,0.1
CT0000470,DH005234,SP0001,183,38000.0,0.1
CT0000471,DH005234,SP0025,288,32000.0,0.1
CT0000472,DH008406,SP0104,1,1070700.0,0.1
CT0000473,DH005126,SP0219,8,69400.0,0.0
CT0000474,DH007937,SP0117,285,42000.0,0.15
CT0000475,DH007937,SP0088,198,128000.0,0.0
CT0000476,DH007937,SP0031,149,52000.0,0.05
CT0000477,DH002152,SP0163,85,207000.0,0.05
CT0000478,DH002152,SP0091,215,59000.0,0.0
CT0000479,DH002152,SP0206,219,48000.0,0.0
CT0000480,DH002152,SP0006,222,1160000.0,0.15
CT0000481,DH002152,SP0072,282,719000.0,0.1
CT0000482,DH002152,SP0103,241,255000.0,0.0
CT0000483,DH004162,SP0188,138,211200.0,0.05
CT0000484,DH004162,SP0155,187,235200.0,0.15
CT0000485,DH004162,SP0173,313,140600.0,0.15
CT0000486,DH004162,SP0111,192,55100.0,0.15
CT0000487,DH010066,SP0201,266,967000.0,0.1
CT0000488,DH010066,SP0043,300,252000.0,0.05
CT0000489,DH010066,SP0003,70,59000.0,0.0
CT0000490,DH010066,SP0037,301,202000.0,0.0
CT0000491,DH010066,SP0001,148,38000.0,0.15
CT0000492,DH010066,SP0066,136,572000.0,0.0
CT0000493,DH004703,SP0125,5,289000.0,0.0
CT0000494,DH004703,SP0097,5,112000.0,0.0
CT0000495,DH010128,SP0185,8,25000.0,0.0
CT0000496,DH001317,SP0150,6,228000.0,0.0
CT0000497,DH001317,SP0113,2,216000.0,0.0
CT0000498,DH001317,SP0076,7,112000.0,0.1
CT0000499,DH001371,SP0091,9,59000.0,0.0
CT0000500,DH001371,SP0004,1,224000.0,0.0
CT0000501,DH000332,SP0159,10,755000.0,0.0
CT0000502,DH000332,SP0005,6,274000.0,0.05
CT0000503,DH000332,SP0110,4,51000.0,0.0
CT0000504,DH002713,SP0066,201,572000.0,0.0
CT0000505,DH002713,SP0035,102,1000000.0,0.05
CT0000506,DH002713,SP0208,211,145000.0,0.0
CT0000507,DH002713,SP0115,59,27000.0,0.1
CT0000508,DH002713,SP0177,56,289000.0,0.1
CT0000509,DH002713,SP0036,210,274000.0,0.0
CT0000510,DH004354,SP0083,9,60000.0,0.0
CT0000511,DH004354,SP0015,5,119000.0,0.15
CT0000512,DH002207,SP0171,8,26000.0,0.0
CT0000513,DH002207,SP0077,3,195000.0,0.0
CT0000514,DH004907,SP0002,250,33000.0,0.05
CT0000515,DH004907,SP0113,61,216000.0,0.0
CT0000516,DH004907,SP0076,108,112000.0,0.0
