MaDonHang,MaKhachHang,NgayDatHang,KenhBan,NhanVienBanHang,TrangThai
DH001134,KH0141,11/07/2025 01:41:00,Đại lý,NV15,Đã giao
DH007254,KH0040,06/12/2025 06:27:00,Shopee,NV24,Đã giao
DH010288,KH0325,10/01/2025 10:08:00,Đại lý,NV02,Đã giao
DH009486,KH0204,31/05/2025 02:42:00,Ban le,NV01,Đã giao
DH009904,KH0171,06/11/2025 01:51:00,Sàn Lazada,NV27,Đã giao
DH011848,KH0447,15/06/2026 23:37:00,Đại lý,NV16,Đã giao
DH010691,KH0367,13/12/2025 09:28:00,Sàn Lazada,NV26,Đã giao
DH010227,KH0035,17/12/2025 11:32:00,Bán lẻ,NV09,Đã giao
DH004935,KH0018,22/08/2024 05:56:00,Showroom,NV14,Đã giao
DH002102,KH0140,03/04/2026 17:16:00,Showroom,NV01,Đã giao
DH000967,KH0194,08/01/2026 03:09:00,Đại lý,NV24,Đã giao
DH011520,KH0218,13/11/2025 16:10:00,Bán lẻ,NV07,Đã giao
DH011163,KH0367,01/07/2025 22:51:00,Sàn Lazada,NV20,Đã giao
DH009923,KH0199,07/07/2025 11:48:00,Bán lẻ,NV07,Đã giao
DH007563,KH0384,03/03/2026 11:05:00,Sàn Lazada,NV15,Đã giao
DH010315,KH0141,10/10/2024 03:17:00,Sàn Lazada,NV29,Đã giao
DH009000,KH0376,26/04/2025 17:01:00,Shopee,NV14,Đã hủy
DH006420,KH0044,13/01/2026 01:51:00,Đại lý,NV11,Đã giao
DH007705,KH0262,16/06/2025 00:35:00,Showroom,NV14,Đã hủy
DH008481,KH0256,19/12/2025 21:07:00,Bán lẻ,NV16,Đã giao
DH004643,KH0433,23/01/2026 10:08:00,Showroom,NV23,Đã giao
DH006103,KH0291,05/01/2026 12:18:00,Sàn Shopee,NV22,Đã giao
DH9900134,KH0056,07/12/2025 14:00:00,Đại lý,NV01,Đã giao
DH005165,KH0384,14/06/2025 07:15:00,TMĐT - Tiki,NV06,Đã giao
DH010547,KH0215,04/11/2025 20:44:00,Bán lẻ trực tiếp,NV19,Đã giao
DH001323,KH0274,10/12/2024 16:21:00,Đại lý,NV16,Đã giao
DH005120,KH0105,10/01/2025 20:15:00,TMĐT - Tiki,NV01,Đã giao
DH002196,KH0262,12/09/2024 04:32:00,Sàn Shopee,NV20,Đã giao
DH005587,KH0278,12/11/2024 04:25:00,Bán lẻ,NV23,Đã giao
DH003837,KH0352,01/10/2025 23:02:00,Lazada,NV01,Đã giao
DH004176,KH0192,31/12/2025 02:55:00,Ban le,NV13,Đã giao
DH010974,KH9012,07/06/2025 22:11:00,Đại lý,NV12,Đã giao
DH003199,KH0306,08/04/2026 20:11:00,Đại lý,NV19,Đã giao
DH010266,KH0089,13/04/2026 13:57:00,Bán lẻ,NV14,Đã giao
DH006560,KH0206,01/12/2025 10:12:00,Bán lẻ trực tiếp,NV28,Đã giao
DH006237,KH0116,23/03/2026 12:23:00,Showroom,NV28,Đã giao
DH003034,KH0396,08/26/2024 23:50:00,Lazada,NV19,Đã giao
DH001018,KH0242,15/07/2026 20:20:00,Bán lẻ,NV28,Đã giao
DH002880,KH0262,22/02/2026 15:16:00,TMĐT - Tiki,NV21,Đã giao
DH003240,KH0155,22/01/2025 16:33:00,Showroom,NV20,Trả hàng
DH001536,KH0428,2025-11-15 18:07:00,Sàn Lazada,NV17,Đã giao
DH004562,KH0204,04/10/2025 17:41:00,Ban le,NV02,Đã giao
DH003774,KH0194,09/12/2025 12:02:00,Showroom,NV02,Đã giao
DH008913,KH0070,26/12/2024 05:11:00,Lazada,NV19,Đã giao
DH007768,KH0012,12/03/2026 06:03:00,Shopee,NV10,Trả hàng
DH005525,KH0321,28/09/2025 14:05:00,Lazada,NV21,Đã giao
DH005701,KH0306,2025-11-15 17:44:00,TMĐT - Tiki,NV06,Đã giao
DH000692,KH0105,19/04/2025 04:28:00,Sàn Shopee,NV04,Đã giao
DH9900022,KH0262,29/01/2026 23:55:00,Lazada,NV05,Đã giao
DH005135,KH0184,09/06/2026 16:36:00,Ban le,NV11,Đã giao
DH009512,KH9012,30/07/2025 00:44:00,TMĐT - Tiki,NV28,Đã giao
DH000725,KH0157,05/09/2024 22:54:00,Đại lý,NV03,Đã giao
DH002824,KH0412,04/05/2025 04:29:00,Lazada,NV19,Đã giao
DH004139,KH0122,04/12/2025 22:25:00,Đại lý,NV04,Trả hàng
DH007513,KH0035,21/05/2026 17:14:00,Sàn Lazada,NV25,Đã giao
DH002494,KH0246,30/07/2025 01:15:00,Sàn Shopee,NV05,Đã giao
DH003389,KH0412,01/06/2025 12:05:00,Showroom,NV19,Đang xử lý
DH005310,KH0262,02/02/2026 09:00:00,TMĐT - Tiki,NV27,Đã giao
DH011153,KH0219,06/05/2026 01:00:00,Lazada,NV05,Đã giao
DH004843,KH0404,07/09/2024 04:34:00,Đại lý,NV21,Đã giao
DH002551,KH0248,05/04/2026 03:18:00,Showroom,NV10,Đã giao
DH011886,KH0249,18/09/2024 23:43:00,Lazada,NV20,Trả hàng
DH010991,KH0399,23/05/2025 06:42:00,Sàn Shopee,NV10,Đã giao
DH002085,KH0427,23/06/2025 13:19:00,TMĐT - Tiki,NV17,Đã giao
DH006334,KH9000,20/10/2024 04:56:00,Đại lý,NV04,Đã giao
DH9900177,KH0221,04/06/2026 09:01:00,Đại lý,NV23,Đang xử lý
DH009618,KH0051,30/12/2025 12:33:00,Sàn Shopee,NV02,Đang xử lý
DH006338,KH0001,24/12/2025 00:56:00,Đại lý,NV21,Đã giao
DH008240,KH0447,30/10/2024 08:59:00,TMĐT - Tiki,NV21,Đã giao
DH004057,KH0424,19/08/2024 04:12:00,Shopee,NV27,Đã giao
DH004233,KH0056,20/06/2025 19:55:00,Showroom,NV11,Đã giao
DH006620,KH0394,14/12/2025 01:53:00,Đại lý,NV25,Đã giao
DH010889,KH0056,27/05/2025 12:28:00,TMĐT - Lazada,NV03,Đã giao
DH007267,KH0248,19/12/2025 10:36:00,Showroom,NV17,Đã giao
DH005751,KH0447,08/09/2025 04:15:00,Đại lý,NV23,Đã giao
DH002512,KH0141,21/12/2024 02:45:00,Sàn Shopee,NV27,Đã giao
DH001718,KH0271,28/11/2025 13:25:00,Ban le,NV03,Đã giao
DH001982,KH0181,29/09/2025 14:07:00,Sàn Lazada,NV28,Đã giao
DH003113,KH0003,12/01/2025 11:12:00,Ban le,NV04,Đã giao
DH003032,KH0314,22/10/2024 15:20:00,Đại lý,NV04,Trả hàng
DH006011,KH0306,12/12/2024 20:15:00,Bán lẻ,NV09,Đã giao
DH008603,KH0306,14/11/2025 13:01:00,Đại lý,NV26,Đã giao
DH010325,KH9009,04/23/2025 22:59:00,Đại lý,NV24,Đã giao
DH010183,KH0281,28/02/2025 12:52:00,TMĐT - Tiki,NV04,Đã giao
DH011672,KH0155,29/01/2025 16:51:00,Đại lý,NV06,Đã giao
DH008461,KH0121,07/06/2026 18:17:00,Showroom,NV16,Đã giao
DH007057,KH0051,18/11/2024 11:00:00,TMĐT - Tiki,NV13,Đã giao
DH9900172,KH0053,15/07/2025 12:29:00,Shopee,NV23,Đã giao
DH010717,KH0024,07/10/2024 10:15:00,TMĐT - Tiki,NV27,Mới
DH011184,KH0365,24/07/2026 07:42:00,Ban le,NV19,Trả hàng
DH007120,KH0262,15/10/2025 14:59:00,Showroom,NV28,Đã giao
DH001535,,15/02/2026 03:40:00,Sàn Shopee,NV28,Đã giao
DH004161,KH0384,15/10/2025 03:47:00,Showroom,NV30,Đã giao
DH005678,KH0447,23/01/2026 04:14:00,TMĐT - Tiki,NV03,Đã giao
DH000861,KH0152,16/05/2026 08:48:00,Showroom,NV17,Đã giao
DH011507,KH0014,2025-10-04 05:38:00,TMĐT - Tiki,NV30,Đã giao
DH002857,KH0447,01/02/2026 03:11:00,Bán lẻ trực tiếp,NV24,Đã giao
DH004162,KH0356,09/08/2024 20:49:00,Showroom,NV17,Đã giao
DH005448,,14/05/2026 18:40:00,Sàn Lazada,NV09,Đã giao
DH9900151,KH0396,11/06/2026 22:50:00,TMĐT - Tiki,NV13,Đã giao
DH005866,KH0123,20/08/2025 22:03:00,TMĐT - Tiki,NV07,Mới
DH008286,KH0155,23/07/2026 14:13:00,Ban le,NV05,Đã giao
DH002226,KH0407,15/09/2024 05:08:00,TMĐT - Tiki,NV28,Đang xử lý
DH002492,KH0012,08/25/2025 09:12:00,Showroom,NV01,Đã giao
DH002356,KH0183,24/04/2026 13:23:00,Sàn Shopee,NV30,Trả hàng
DH007626,KH0393,29/11/2024 11:27:00,Sàn Shopee,NV17,Đã giao
DH011601,KH0432,18/12/2025 03:41:00,Đại lý,NV19,Đã giao
DH011654,KH0264,26/05/2025 09:43:00,Showroom,NV05,Đã giao
DH001247,KH0412,16/02/2026 05:39:00,Shopee,NV13,Đã giao
DH011529,KH0141,14/09/2024 03:51:00,Bán lẻ,NV05,Đang xử lý
DH005378,KH0246,27/11/2024 06:50:00,Sàn Lazada,NV08,Đã giao
DH001495,KH0233,17/07/2025 15:10:00,TMĐT - Tiki,NV11,Đã giao
DH007161,KH0095,02/03/2026 14:18:00,Lazada,NV18,Đã giao
DH009604,KH9013,11/06/2026 23:15:00,Sàn Shopee,NV16,Đã giao
DH005109,KH0391,09/04/2025 19:27:00,Sàn Shopee,NV17,Đã giao
DH007899,KH0227,30/04/2025 03:45:00,Showroom,NV20,Đang xử lý
DH007214,KH0412,10/12/2024 03:29:00,TMĐT - Tiki,NV12,Trả hàng
DH003697,KH0041,21/11/2025 21:25:00,Showroom,NV07,Đã giao
DH009410,KH0447,06/03/2025 05:26:00,Bán lẻ trực tiếp,NV17,Đã giao
DH000242,KH0135,03/07/2026 14:32:00,Shopee,NV26,Đang xử lý
DH002795,KH0081,19/03/2026 13:40:00,Bán lẻ trực tiếp,NV17,Đã giao
DH002886,KH0280,04/02/2026 08:43:00,Sàn Lazada,NV25,Đang xử lý
DH010524,KH0279,2024-12-12 21:10:00,Shopee,NV14,Đang xử lý
DH011988,KH0002,07/06/2025 05:09:00,Ban le,NV28,Đã giao
DH011910,KH0051,29/09/2024 03:24:00,TMĐT - Shopee,NV17,Đã hủy
DH006769,KH0140,11/12/2025 07:26:00,Bán lẻ,NV27,Đã giao
DH010479,KH0402,25/07/2026 20:31:00,Showroom,NV26,Đã giao
DH009452,,11/08/2024 04:57:00,TMĐT - Tiki,NV30,Đã giao
DH000288,KH0026,26/05/2026 22:29:00,Lazada,NV01,Trả hàng
DH004175,KH0081,15/11/2025 13:35:00,Đại lý,NV13,Đã giao
DH006955,,19/12/2024 10:53:00,TMĐT - Tiki,NV06,Đã hủy
DH004181,KH0447,24/05/2026 23:22:00,Shopee,NV08,Đã giao
DH006606,KH9014,2025-06-06 10:27:00,Bán lẻ,NV22,Trả hàng
DH001433,KH0070,03/02/2025 15:01:00,Sàn Lazada,NV09,Đã giao
DH008044,KH0211,13/08/2025 23:37:00,Shopee,NV23,Đã giao
DH9900050,KH0396,06/10/2025 14:55:00,Showroom,NV27,Mới
DH011350,KH0035,02/12/2024 00:51:00,Bán lẻ,NV07,Đang xử lý
DH008032,KH0391,18/03/2025 19:29:00,Lazada,NV25,Đã giao
DH009574,KH0155,23/12/2025 03:38:00,Sàn Shopee,NV28,Đã giao
DH000067,KH0192,15/12/2024 17:08:00,Shopee,NV26,Đã giao
DH003588,KH0227,31/10/2024 00:49:00,Ban le,NV25,Đã giao
DH001709,KH0227,18/02/2025 05:02:00,Ban le,NV30,Trả hàng
DH010412,KH0155,03/02/2026 13:31:00,Ban le,NV22,Đã giao
DH001356,KH0130,21/04/2025 13:28:00,Đại lý,NV21,Đang xử lý
DH009096,KH0108,07/12/2026 23:50:00,Bán lẻ,NV30,Đã giao
DH008654,KH0213,30/07/2026 03:51:00,Bán lẻ trực tiếp,NV09,Đang xử lý
DH005498,KH0447,06/09/2025 12:51:00,Đại lý,NV02,Đã giao
DH001930,KH0064,19/07/2026 06:11:00,Bán lẻ trực tiếp,NV16,Đã giao
DH009338,KH0297,28/05/2026 00:29:00,TMĐT - Tiki,NV28,Đã giao
DH001445,KH0306,31/01/2025 17:28:00,Sàn Lazada,NV06,Đang xử lý
DH003747,KH0201,26/07/2026 07:44:00,Đại lý,NV02,Đã giao
DH003834,,26/06/2025 19:53:00,Lazada,NV28,Đã hủy
DH007862,KH0009,16/10/2025 15:20:00,Đại lý,NV28,Đang xử lý
DH011029,,31/05/2026 20:12:00,Bán lẻ,NV10,Đã giao
DH007929,KH0248,07/07/2026 03:18:00,Sàn Shopee,NV20,Đang xử lý
DH9900132,KH0264,15/03/2025 22:46:00,Đại lý,NV27,Đã giao
DH002864,KH0141,31/10/2024 00:42:00,Bán lẻ,NV28,Đã giao
DH010870,KH0326,02/11/2025 19:40:00,Bán lẻ,NV01,Đã giao
DH000681,KH0403,26/05/2026 08:14:00,Đại lý,NV11,Đã giao
DH007296,KH0012,19/10/2024 19:45:00,Showroom,NV09,Đã giao
DH003221,KH0363,16/08/2024 09:39:00,Sàn Lazada,NV10,Đã giao
DH007685,KH0093,07/06/2026 09:40:00,Đại lý,NV05,Đang xử lý
DH009945,KH0192,22/08/2025 14:30:00,Showroom,NV16,Đã giao
DH006250,KH0199,16/07/2026 19:30:00,TMĐT - Tiki,NV23,Trả hàng
DH002410,KH0442,04/05/2025 08:58:00,Showroom,NV11,Đã giao
DH004892,,30/10/2025 15:11:00,TMĐT - Tiki,NV27,Đã giao
DH001195,KH0447,15/12/2025 22:25:00,TMĐT - Tiki,NV07,Đã giao
DH008101,KH0127,30/11/2024 11:10:00,Đại lý,NV07,Đã giao
DH006632,KH0214,04/12/2025 02:28:00,Đại lý,NV20,Đã giao
DH005465,KH0009,01/04/2025 16:55:00,Bán lẻ,NV04,Đã hủy
DH9900070,KH0165,04/03/2026 01:22:00,Showroom,NV06,Đã giao
DH010433,KH0367,09/01/2026 04:03:00,Ban le,NV04,Đã giao
DH010607,KH0140,01/12/2024 16:17:00,Đại lý,NV26,Đã giao
DH006681,KH0155,29/08/2024 19:59:00,Đại lý,NV16,Đã giao
DH003658,KH0447,05/08/2024 21:35:00,Sàn Lazada,NV26,Đang xử lý
DH000446,KH0262,03/08/2025 01:38:00,Sàn Shopee,NV06,Đã giao
DH009011,KH0247,04/12/2025 04:15:00,Lazada,NV07,Đã giao
DH011377,KH0193,18/12/2024 09:10:00,Đại lý,NV26,Đã giao
DH005856,KH0448,13/05/2026 09:26:00,Đại lý,NV08,Đã giao
DH006796,KH0187,26/01/2025 11:16:00,Đại lý,NV16,Đã giao
DH004339,KH0082,09/06/2026 18:53:00,Ban le,NV20,Đã giao
DH004026,KH0409,17/11/2025 11:01:00,Showroom,NV10,Đang xử lý
DH005630,KH0153,19/01/2026 14:22:00,Showroom,NV24,Đã giao
DH003819,KH0373,22/07/2026 02:23:00,Showroom,NV17,Đã giao
DH004388,KH0140,01/06/2026 10:24:00,Đại lý,NV10,Mới
DH9900027,KH0075,27/10/2024 21:01:00,Showroom,NV29,Đã giao
DH005402,KH0150,15/06/2026 04:09:00,Sàn Lazada,NV27,Đang xử lý
DH009695,KH0002,26/12/2025 10:44:00,Sàn Lazada,NV05,Đã giao
DH009773,KH0397,26/12/2024 14:00:00,Showroom,NV17,Đã giao
DH004692,KH0114,29/12/2024 21:16:00,TMĐT - Tiki,NV22,Đã giao
DH010604,KH0053,10/02/2026 18:57:00,Ban le,NV11,Đã giao
DH007975,KH0250,08/12/2024 13:35:00,Đại lý,NV30,Đã giao
DH005768,KH0053,06/10/2025 21:17:00,Bán lẻ trực tiếp,NV13,Đã giao
DH000515,KH0051,30/08/2025 19:02:00,Bán lẻ,NV13,Đã giao
DH010715,KH0140,13/05/2026 20:52:00,Shopee,NV27,Trả hàng
DH009327,KH0413,02/12/2025 06:01:00,Đại lý,NV20,Đã giao
DH007785,KH0442,29/11/2025 17:29:00,Đại lý,NV07,Đã giao
DH011396,KH9011,16/12/2025 13:30:00,Lazada,NV22,Đã hủy
DH008079,KH0056,21/05/2025 06:01:00,Showroom,NV05,Đã giao
DH008693,KH0204,09/03/2025 02:51:00,Lazada,NV16,Đã giao
DH009481,KH0412,24/11/2025 20:49:00,Bán lẻ,NV27,Đã giao
DH001744,KH0012,22/12/2024 05:44:00,TMĐT - Tiki,NV17,Mới
DH005649,KH0303,26/12/2025 07:48:00,Đại lý,NV28,Đã giao
DH005334,KH0274,16/12/2025 08:21:00,Showroom,NV17,Đã giao
DH009680,KH0242,22/01/2026 00:04:00,Showroom,NV11,Đã giao
DH001870,KH0367,25/03/2025 12:27:00,Đại lý,NV19,Đã giao
DH007997,KH0326,09/04/2026 07:49:00,Đại lý,NV25,Đã giao
DH011622,KH0199,27/11/2024 20:08:00,Lazada,NV08,Đã giao
DH007068,KH0105,24/12/2025 01:47:00,Sàn Lazada,NV20,Đã giao
DH009264,KH0002,03/12/2025 17:55:00,Showroom,NV20,Đang xử lý
DH009456,KH0391,21/10/2024 10:53:00,Sàn Shopee,NV01,Đã giao
DH002689,KH0391,01/05/2025 13:04:00,Đại lý,NV01,Đang xử lý
DH009144,KH0368,04/08/2024 06:55:00,Shopee,NV30,Đã giao
DH002125,KH0219,15/12/2024 02:16:00,Sàn Shopee,NV10,Đang xử lý
DH002896,KH0344,04/12/2024 08:56:00,TMĐT - Tiki,NV25,Đã giao
DH001151,KH0102,22/12/2024 19:08:00,TMĐT - Tiki,NV06,Đã giao
DH008357,KH0262,28/05/2025 15:07:00,TMĐT - Tiki,NV12,Đã giao
DH010869,KH0267,17/08/2024 01:12:00,Bán lẻ,NV06,Mới
DH001068,,06/03/2026 13:50:00,Lazada,NV02,Đã giao
DH005466,KH0051,31/01/2026 23:50:00,Sàn Lazada,NV27,Đã giao
DH000821,KH0119,28/04/2026 16:49:00,Bán lẻ,NV24,Đã giao
DH003323,KH0363,07/29/2026 13:31:00,TMĐT - Tiki,NV01,Đã giao
DH011262,,16/02/2025 05:34:00,Shopee,NV20,Mới
DH004885,KH0391,09/06/2026 13:41:00,Đại lý,NV30,Đã giao
DH002665,KH0412,03/08/2025 02:01:00,Showroom,NV03,Đã giao
DH008580,KH0151,20/11/2024 09:00:00,Đại lý,NV29,Đã giao
DH003619,KH0163,22/08/2024 20:11:00,Ban le,NV08,Đã giao
DH011953,KH0442,20/03/2025 18:06:00,Đại lý,NV07,Đã giao
DH010219,KH0391,2025-12-27 10:13:00,Ban le,NV13,Đã giao
DH002484,KH0212,02/12/2024 11:41:00,Ban le,NV27,Đã giao
DH009183,KH0034,08/10/2025 12:53:00,TMĐT - Tiki,NV21,Đã giao
DH005719,KH0140,13/01/2026 00:10:00,Đại lý,NV07,Đã giao
DH000598,KH0241,14/01/2026 16:31:00,Ban le,NV26,Đã giao
DH007850,KH0396,12/07/2025 19:43:00,Sàn Lazada,NV11,Đã giao
DH008588,KH0074,06/01/2025 07:22:00,Showroom,NV16,Đã giao
DH008050,KH0243,22/07/2025 20:32:00,Sàn Shopee,NV27,Đã giao
DH009817,KH0003,07/06/2026 04:08:00,Ban le,NV07,Đã giao
DH008037,KH0359,13/01/2026 08:04:00,Sàn Shopee,NV19,Đã hủy
DH004711,KH0113,15/12/2025 14:20:00,Sàn Lazada,NV15,Đã giao
DH011518,KH0274,19/12/2025 20:37:00,Showroom,NV05,Đã giao
DH001143,KH0135,09/02/2025 05:15:00,Đại lý,NV02,Đã giao
DH008081,KH0274,10/05/2026 03:35:00,Showroom,NV06,Đã giao
DH001442,KH0096,07/10/2025 04:23:00,Đại lý,NV22,Đã hủy
DH001298,KH0179,25/06/2026 05:27:00,Đại lý,NV23,Đã giao
DH001380,,02/08/2024 13:30:00,Đại lý,NV20,Đã giao
DH003686,KH0273,27/07/2026 15:02:00,Ban le,NV10,Đã giao
DH006983,KH0035,13/12/2025 17:46:00,Bán lẻ,NV25,Đã giao
DH008791,KH0314,14/12/2025 19:51:00,Đại lý,NV13,Đã giao
DH000993,KH0428,10/13/2025 23:47:00,Showroom,NV07,Đã giao
DH000461,KH0341,13/11/2025 10:03:00,TMĐT - Tiki,NV05,Đã giao
DH011555,KH0377,06/07/2025 03:52:00,TMĐT - Tiki,NV18,Đã giao
DH000738,KH0390,16/04/2026 16:21:00,Showroom,NV29,Đã hủy
DH011476,KH0304,24/05/2025 21:09:00,Showroom,NV14,Đã giao
DH008084,KH0076,22/01/2026 09:27:00,TMĐT - Tiki,NV17,Đã giao
DH008230,KH0442,08/15/2025 23:34:00,Lazada,NV16,Đã giao
DH000956,KH0317,19/05/2025 23:40:00,Showroom,NV16,Đang xử lý
DH004456,KH9003,02/09/2025 12:13:00,Bán lẻ,NV11,Đã hủy
DH000906,KH0051,25/01/2026 20:21:00,Đại lý,NV26,Đang xử lý
DH009789,KH0010,14/11/2025 04:23:00,Lazada,NV19,Đã giao
DH006000,KH0062,18/07/2026 01:26:00,Đại lý,NV13,Đã giao
DH006298,KH9013,10/12/2024 19:58:00,Lazada,NV08,Đã giao
DH001242,KH0409,15/11/2024 04:56:00,Shopee,NV08,Đã giao
DH011281,KH0447,01/05/2026 07:59:00,Bán lẻ,NV29,Mới
DH007972,KH0208,04/04/2025 20:34:00,TMĐT - Tiki,NV20,Mới
DH007332,KH0315,03/12/2024 06:07:00,Sàn Lazada,NV22,Mới
DH004345,KH0093,12/02/2025 15:55:00,Shopee,NV03,Đã giao
DH000980,KH0327,03/12/2025 13:57:00,Showroom,NV01,Đã giao
DH004910,KH0220,07/12/2025 07:44:00,Ban le,NV20,Đã giao
DH007957,KH0140,14/06/2026 19:10:00,Showroom,NV12,Đã giao
DH009257,KH0226,21/09/2024 10:54:00,Shopee,NV10,Đã hủy
DH003117,KH0262,08/01/2025 13:47:00,TMĐT - Tiki,NV19,Đang xử lý
DH008455,KH0192,27/03/2026 07:48:00,TMĐT - Tiki,NV11,Đang xử lý
DH007606,KH0359,31/01/2025 16:43:00,Lazada,NV01,Đang xử lý
DH008094,KH0413,02/01/2026 07:17:00,Lazada,NV24,Đã giao
DH005967,KH0419,20/11/2025 23:07:00,Bán lẻ,NV05,Đã giao
DH000106,KH0070,25/05/2025 01:38:00,TMĐT - Tiki,NV19,Đã giao
DH005770,KH0249,02/01/2026 00:49:00,TMĐT - Tiki,NV11,Đã giao
DH001099,KH0183,12/01/2026 13:18:00,TMĐT - Tiki,NV16,Đã giao
DH001527,KH0228,14/11/2024 00:37:00,Sàn Lazada,NV06,Đã giao
DH003859,KH0262,16/10/2024 06:16:00,TMĐT - Shopee,NV29,Đã giao
DH010738,KH0262,12/02/2026 19:42:00,Sàn Lazada,NV21,Đã hủy
DH006773,KH0064,20/11/2024 01:24:00,Shopee,NV15,Đã giao
DH007592,KH0084,06/04/2026 04:28:00,Bán lẻ,NV22,Đang xử lý
DH009459,KH0271,22/08/2025 22:08:00,TMĐT - Lazada,NV19,Đã giao
DH010924,KH0141,02/09/2024 05:20:00,Bán lẻ,NV23,Đã giao
DH005268,KH0105,21/07/2025 09:25:00,Bán lẻ,NV12,Đã giao
DH008151,KH0044,09/06/2026 14:29:00,Bán lẻ trực tiếp,NV26,Mới
DH004418,KH0035,30/01/2025 15:51:00,TMĐT - Tiki,NV15,Đã giao
DH005718,KH0359,29/08/2024 05:30:00,Sàn Lazada,NV22,Đã giao
DH003364,KH0447,29/05/2025 09:26:00,TMĐT - Tiki,NV08,Mới
DH006263,KH0212,24/07/2025 16:06:00,TMĐT - Tiki,NV20,Trả hàng
DH005018,KH0421,06/04/2026 12:02:00,Sàn Shopee,NV26,Đã hủy
DH011487,KH0006,20/10/2025 23:50:00,Showroom,NV05,Đã giao
DH003638,KH0282,13/11/2024 09:02:00,Đại lý,NV16,Mới
DH008541,KH0420,20/05/2025 01:24:00,Đại lý,NV30,Đang xử lý
DH011686,KH0105,19/07/2026 18:21:00,Lazada,NV15,Đã giao
